time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,17,0,0,17,0,0,0,2.411764705882353,0,0.0,0,0,0.0,0.0
100,388,218,0,170,0,32.87868019414507,5.019361774880861,2.6649484536082473,4.2673031026252985,18.432989690721648,19.761467889908257,15.362385321100918,0.2851054358173635,0.0854177556698419
200,754,584,0,170,0,38.87221245833695,4.986472962060998,2.679045092838196,4.288941736028537,23.919098143236074,25.561643835616437,15.832191780821917,0.3283245885931621,0.10272417515116423
300,1114,966,0,148,0,39.6849962916203,4.97805981812035,2.683123877917415,4.3369397217928904,25.18850987432675,26.367494824016564,16.15424430641822,0.3305232273470783,0.10158236959123194
400,1495,1337,0,158,0,39.825659004759586,4.988392106886682,2.671571906354515,4.357142857142857,25.46086956521739,26.49663425579656,16.25205684367988,0.33091098262672003,0.10181337393981092
500,1850,1692,0,158,0,40.02281442779636,5.001400842585175,2.6686486486486487,4.371340243680669,25.987027027027025,26.715721040189127,16.19858156028369,0.3315213158240506,0.10228307875343919
600,2235,2060,0,175,0,40.58128831933741,5.005729681760248,2.6675615212527966,4.383789349808767,26.667561521252797,27.233009708737864,16.214563106796117,0.3357970178074966,0.1061965874707965
700,2592,2457,0,135,0,40.76799902343677,5.007709309882864,2.6628086419753085,4.3942611553533055,26.823302469135804,27.437118437118436,16.31013431013431,0.33626883245761313,0.10472486190666401
800,2980,2823,0,157,0,40.53106025214932,5.011461776486102,2.6651006711409395,4.399115044247788,26.68993288590604,27.20155862557563,16.30216082182076,0.33606323770418073,0.10395443369652342
900,3368,3194,0,174,0,40.57043403162516,5.010518334661885,2.66270783847981,4.399425427277596,26.826306413301662,27.246712586098937,16.328428303068254,0.3379940962671132,0.10488329336446593
1000,3740,3591,0,149,0,40.69606652664827,5.005630294545785,2.663101604278075,4.397101196193137,26.93048128342246,27.390698969646337,16.34168755221387,0.3390939568459458,0.10518172664572228
