time,node,sf
100,pop2,a
100,pop2,c
100,pop2,d
100,pop2,e
100,pop2,b
100,pop15,b
100,pop15,a
100,pop15,d
100,pop15,e
100,pop50,b
100,pop50,a
100,pop50,e
100,pop50,c
100,pop50,d
100,pop52,a
100,pop52,d
100,pop52,e
100,pop52,b
100,pop19,e
100,pop19,a
100,pop30,c
100,pop30,a
100,pop30,b
100,pop21,b
100,pop21,a
100,pop21,c
100,pop46,d
100,pop46,e
100,pop29,a
100,pop29,c
100,pop0,a
100,pop0,b
100,pop44,a
200,pop2,c
200,pop2,e
200,pop2,a
200,pop2,b
200,pop15,d
200,pop15,b
200,pop15,a
200,pop50,d
200,pop50,e
200,pop50,a
200,pop50,b
200,pop50,c
200,pop52,a
200,pop52,b
200,pop52,e
200,pop52,c
200,pop19,e
200,pop19,b
200,pop30,b
200,pop30,c
200,pop46,b
200,pop46,c
200,pop42,c
200,pop0,c
200,pop34,b
200,pop34,c
200,pop40,a
200,pop28,d
200,pop28,e
300,pop2,b
300,pop2,e
300,pop2,a
300,pop15,b
300,pop15,c
300,pop15,a
300,pop50,c
300,pop50,e
300,pop50,a
300,pop50,d
300,pop50,b
300,pop52,b
300,pop52,d
300,pop52,a
300,pop52,e
300,pop19,c
300,pop19,a
300,pop19,b
300,pop30,c
300,pop21,a
300,pop46,b
300,pop46,d
300,pop46,a
300,pop42,c
300,pop42,a
300,pop29,d
300,pop29,e
300,pop31,c
300,pop31,b
300,pop39,e
300,pop34,c
400,pop2,e
400,pop2,a
400,pop2,b
400,pop15,b
400,pop15,a
400,pop15,c
400,pop50,c
400,pop50,e
400,pop50,b
400,pop50,a
400,pop50,d
400,pop52,e
400,pop52,b
400,pop52,d
400,pop52,a
400,pop52,c
400,pop19,a
400,pop19,e
400,pop19,c
400,pop30,a
400,pop30,c
400,pop21,d
400,pop21,e
400,pop29,a
400,pop29,b
400,pop0,a
400,pop0,c
400,pop0,b
500,pop2,a
500,pop2,b
500,pop2,d
500,pop2,e
500,pop2,c
500,pop15,b
500,pop15,a
500,pop15,c
500,pop15,d
500,pop50,b
500,pop50,c
500,pop50,a
500,pop52,c
500,pop52,d
500,pop52,b
500,pop19,e
500,pop19,a
500,pop19,b
500,pop19,c
500,pop30,d
500,pop30,a
500,pop30,e
500,pop30,b
500,pop30,c
500,pop21,c
500,pop46,a
500,pop46,d
500,pop31,c
500,pop0,d
500,pop0,e
500,pop34,a
500,pop34,c
600,pop2,b
600,pop2,c
600,pop2,a
600,pop15,b
600,pop15,a
600,pop15,c
600,pop50,c
600,pop50,a
600,pop50,b
600,pop50,d
600,pop50,e
600,pop52,b
600,pop52,a
600,pop52,c
600,pop52,d
600,pop19,c
600,pop19,b
600,pop19,a
600,pop30,e
600,pop30,a
600,pop21,d
600,pop21,e
600,pop46,a
600,pop46,c
600,pop46,b
600,pop0,a
600,pop0,c
600,pop0,b
700,pop2,d
700,pop2,b
700,pop2,a
700,pop2,e
700,pop2,c
700,pop15,a
700,pop15,b
700,pop15,c
700,pop50,c
700,pop50,e
700,pop50,b
700,pop50,d
700,pop50,a
700,pop52,a
700,pop52,d
700,pop52,e
700,pop52,b
700,pop52,c
700,pop19,c
700,pop19,e
700,pop19,a
700,pop30,e
700,pop30,b
700,pop30,c
700,pop21,a
700,pop46,b
700,pop46,d
700,pop46,a
700,pop46,e
700,pop46,c
700,pop31,c
700,pop0,a
700,pop0,c
700,pop39,b
700,pop44,a
700,pop40,b
700,pop40,c
800,pop2,c
800,pop2,a
800,pop2,b
800,pop2,d
800,pop15,a
800,pop15,c
800,pop15,b
800,pop50,c
800,pop50,b
800,pop50,a
800,pop50,d
800,pop50,e
800,pop52,d
800,pop52,b
800,pop52,c
800,pop52,a
800,pop52,e
800,pop19,c
800,pop19,a
800,pop19,b
800,pop30,c
800,pop30,d
800,pop30,e
800,pop21,c
800,pop21,d
800,pop46,c
800,pop46,a
800,pop31,a
800,pop31,c
800,pop0,b
800,pop0,a
800,pop0,c
800,pop39,a
800,pop39,b
800,pop39,c
900,pop2,c
900,pop2,b
900,pop2,a
900,pop15,d
900,pop15,c
900,pop15,e
900,pop15,b
900,pop15,a
900,pop50,a
900,pop50,e
900,pop50,b
900,pop50,c
900,pop50,d
900,pop52,b
900,pop52,a
900,pop52,d
900,pop52,e
900,pop19,c
900,pop19,e
900,pop19,d
900,pop19,a
900,pop30,c
900,pop30,a
900,pop30,b
900,pop30,d
900,pop46,a
900,pop0,a
900,pop0,b
1000.0,pop2,b
1000.0,pop2,a
1000.0,pop15,d
1000.0,pop15,e
1000.0,pop50,a
1000.0,pop50,c
1000.0,pop50,b
1000.0,pop50,d
1000.0,pop50,e
1000.0,pop52,c
1000.0,pop52,a
1000.0,pop52,e
1000.0,pop19,d
1000.0,pop19,e
1000.0,pop21,a
1000.0,pop21,b
1000.0,pop21,c
1000.0,pop44,c
1000.0,pop28,a
1000.0,pop28,c
