time,node,decisions
1000,pop0,175
1000,pop1,705
1000,pop2,651
1000,pop3,487
1000,pop4,208
1000,pop5,437
1000,pop6,294
1000,pop7,263
1000,pop8,153
1000,pop9,0
1000,pop10,853
1000,pop11,647
1000,pop12,180
1000,pop13,358
1000,pop14,212
1000,pop15,796
1000,pop16,683
1000,pop17,116
1000,pop18,354
1000,pop19,2956
1000,pop20,238
1000,pop21,71
1000,pop22,947
1000,pop23,194
1000,pop24,0
1000,pop25,189
1000,pop26,413
1000,pop27,431
1000,pop28,332
1000,pop29,960
1000,pop30,230
1000,pop31,598
1000,pop32,604
1000,pop33,627
1000,pop34,0
1000,pop35,0
1000,pop36,222
1000,pop37,854
1000,pop38,604
1000,pop39,153
1000,pop40,1710
1000,pop41,1101
1000,pop42,194
1000,pop43,261
1000,pop44,561
1000,pop45,254
1000,pop46,1154
1000,pop47,221
1000,pop48,2316
1000,pop49,771
1000,pop50,1830
1000,pop51,3303
1000,pop52,2666
1000,pop53,3538
1000,pop54,0
1000,pop55,1087
1000,pop56,1243
1000,pop57,182
