time,node,sf
100,pop3,b
100,pop3,d
100,pop3,a
100,pop3,e
100,pop11,b
100,pop11,a
100,pop11,c
100,pop11,d
100,pop18,a
100,pop18,b
100,pop18,d
100,pop18,c
100,pop34,d
100,pop34,b
100,pop34,e
100,pop34,a
100,pop52,a
100,pop52,b
100,pop52,d
100,pop52,e
100,pop52,c
100,pop53,a
100,pop53,b
100,pop53,c
100,pop53,d
100,pop53,e
100,pop56,a
100,pop56,b
100,pop56,d
100,pop56,c
100,pop51,b
100,pop51,a
100,pop51,c
100,pop51,e
100,pop51,d
100,pop19,a
100,pop19,b
100,pop19,d
100,pop19,e
100,pop14,d
100,pop14,e
100,pop14,a
100,pop14,b
100,pop14,c
100,pop42,d
100,pop42,e
100,pop42,b
100,pop42,a
100,pop7,c
100,pop48,b
100,pop48,a
100,pop48,c
100,pop48,e
100,pop48,d
100,pop55,b
100,pop55,e
100,pop55,a
100,pop23,b
100,pop23,a
100,pop23,c
100,pop16,d
100,pop16,c
100,pop16,a
100,pop16,e
100,pop17,b
100,pop31,a
200,pop3,b
200,pop3,d
200,pop3,a
200,pop3,e
200,pop11,b
200,pop11,a
200,pop11,c
200,pop11,d
200,pop18,a
200,pop18,b
200,pop18,d
200,pop18,c
200,pop18,e
200,pop34,d
200,pop34,b
200,pop34,e
200,pop34,a
200,pop52,a
200,pop52,b
200,pop52,d
200,pop52,e
200,pop52,c
200,pop53,a
200,pop53,b
200,pop53,c
200,pop53,d
200,pop53,e
200,pop56,a
200,pop56,b
200,pop56,d
200,pop56,c
200,pop51,b
200,pop51,a
200,pop51,c
200,pop51,e
200,pop51,d
200,pop19,a
200,pop19,b
200,pop19,d
200,pop19,e
200,pop14,d
200,pop14,e
200,pop14,a
200,pop14,b
200,pop14,c
200,pop42,d
200,pop42,e
200,pop42,b
200,pop42,a
200,pop7,c
200,pop7,b
200,pop48,b
200,pop48,a
200,pop48,c
200,pop48,e
200,pop48,d
200,pop55,b
200,pop55,e
200,pop55,a
200,pop55,d
200,pop23,b
200,pop23,a
200,pop23,c
200,pop16,d
200,pop16,c
200,pop16,a
200,pop16,e
200,pop17,b
200,pop17,e
200,pop17,c
200,pop31,a
200,pop31,c
200,pop8,b
300,pop3,b
300,pop3,d
300,pop3,a
300,pop3,e
300,pop11,b
300,pop11,a
300,pop11,c
300,pop11,d
300,pop18,a
300,pop18,b
300,pop18,d
300,pop18,c
300,pop18,e
300,pop34,d
300,pop34,b
300,pop34,e
300,pop34,a
300,pop52,a
300,pop52,b
300,pop52,d
300,pop52,e
300,pop52,c
300,pop53,a
300,pop53,b
300,pop53,c
300,pop53,d
300,pop53,e
300,pop56,a
300,pop56,b
300,pop56,d
300,pop56,c
300,pop51,b
300,pop51,a
300,pop51,c
300,pop51,e
300,pop51,d
300,pop19,a
300,pop19,b
300,pop19,d
300,pop19,e
300,pop14,d
300,pop14,e
300,pop14,a
300,pop14,b
300,pop14,c
300,pop42,d
300,pop42,e
300,pop42,b
300,pop42,a
300,pop7,c
300,pop7,b
300,pop7,a
300,pop48,b
300,pop48,a
300,pop48,c
300,pop48,e
300,pop48,d
300,pop55,b
300,pop55,e
300,pop55,a
300,pop55,d
300,pop23,b
300,pop23,a
300,pop23,c
300,pop16,d
300,pop16,c
300,pop16,a
300,pop16,e
300,pop16,b
300,pop17,b
300,pop17,e
300,pop17,c
300,pop31,a
300,pop31,c
300,pop8,b
300,pop44,a
400,pop3,b
400,pop3,d
400,pop3,a
400,pop3,e
400,pop11,b
400,pop11,a
400,pop11,c
400,pop11,d
400,pop18,a
400,pop18,b
400,pop18,d
400,pop18,c
400,pop18,e
400,pop34,d
400,pop34,b
400,pop34,e
400,pop34,a
400,pop52,a
400,pop52,b
400,pop52,d
400,pop52,e
400,pop52,c
400,pop53,a
400,pop53,b
400,pop53,c
400,pop53,d
400,pop53,e
400,pop56,a
400,pop56,b
400,pop56,d
400,pop56,c
400,pop51,b
400,pop51,a
400,pop51,c
400,pop51,e
400,pop51,d
400,pop19,a
400,pop19,b
400,pop19,d
400,pop19,e
400,pop14,d
400,pop14,e
400,pop14,a
400,pop14,b
400,pop14,c
400,pop42,d
400,pop42,e
400,pop42,b
400,pop42,a
400,pop7,c
400,pop7,b
400,pop7,a
400,pop48,b
400,pop48,a
400,pop48,c
400,pop48,e
400,pop48,d
400,pop55,b
400,pop55,e
400,pop55,a
400,pop55,d
400,pop23,b
400,pop23,a
400,pop23,c
400,pop16,d
400,pop16,c
400,pop16,a
400,pop16,e
400,pop16,b
400,pop17,b
400,pop17,e
400,pop17,c
400,pop31,a
400,pop31,c
400,pop8,b
400,pop44,a
500,pop3,b
500,pop3,d
500,pop3,a
500,pop3,e
500,pop11,b
500,pop11,a
500,pop11,c
500,pop11,d
500,pop18,a
500,pop18,b
500,pop18,d
500,pop18,c
500,pop18,e
500,pop34,d
500,pop34,b
500,pop34,e
500,pop34,a
500,pop34,c
500,pop52,a
500,pop52,b
500,pop52,d
500,pop52,e
500,pop52,c
500,pop53,a
500,pop53,b
500,pop53,c
500,pop53,d
500,pop53,e
500,pop56,a
500,pop56,b
500,pop56,d
500,pop56,c
500,pop51,b
500,pop51,a
500,pop51,c
500,pop51,e
500,pop51,d
500,pop19,a
500,pop19,b
500,pop19,d
500,pop19,e
500,pop14,d
500,pop14,e
500,pop14,a
500,pop14,b
500,pop14,c
500,pop42,d
500,pop42,e
500,pop42,b
500,pop42,a
500,pop7,c
500,pop7,b
500,pop7,a
500,pop48,b
500,pop48,a
500,pop48,c
500,pop48,e
500,pop48,d
500,pop55,b
500,pop55,e
500,pop55,a
500,pop55,d
500,pop23,b
500,pop23,a
500,pop23,c
500,pop16,d
500,pop16,c
500,pop16,a
500,pop16,e
500,pop16,b
500,pop17,b
500,pop17,e
500,pop17,c
500,pop31,a
500,pop31,c
500,pop8,b
500,pop44,a
600,pop3,b
600,pop3,d
600,pop3,a
600,pop3,e
600,pop11,b
600,pop11,a
600,pop11,c
600,pop11,d
600,pop18,a
600,pop18,b
600,pop18,d
600,pop18,c
600,pop18,e
600,pop34,d
600,pop34,b
600,pop34,e
600,pop34,a
600,pop34,c
600,pop52,a
600,pop52,b
600,pop52,d
600,pop52,e
600,pop52,c
600,pop53,a
600,pop53,b
600,pop53,c
600,pop53,d
600,pop53,e
600,pop56,a
600,pop56,b
600,pop56,d
600,pop56,c
600,pop51,b
600,pop51,a
600,pop51,c
600,pop51,e
600,pop51,d
600,pop19,a
600,pop19,b
600,pop19,d
600,pop19,e
600,pop14,d
600,pop14,e
600,pop14,a
600,pop14,b
600,pop14,c
600,pop42,d
600,pop42,e
600,pop42,b
600,pop42,a
600,pop7,c
600,pop7,b
600,pop7,a
600,pop48,b
600,pop48,a
600,pop48,c
600,pop48,e
600,pop48,d
600,pop55,b
600,pop55,e
600,pop55,a
600,pop55,d
600,pop23,b
600,pop23,a
600,pop23,c
600,pop16,d
600,pop16,c
600,pop16,a
600,pop16,e
600,pop16,b
600,pop17,b
600,pop17,e
600,pop17,c
600,pop31,a
600,pop31,c
600,pop8,b
600,pop44,a
600,pop44,d
700,pop3,b
700,pop3,d
700,pop3,a
700,pop3,e
700,pop11,b
700,pop11,a
700,pop11,c
700,pop11,d
700,pop18,a
700,pop18,b
700,pop18,d
700,pop18,c
700,pop18,e
700,pop34,d
700,pop34,b
700,pop34,e
700,pop34,a
700,pop34,c
700,pop52,a
700,pop52,b
700,pop52,d
700,pop52,e
700,pop52,c
700,pop53,a
700,pop53,b
700,pop53,c
700,pop53,d
700,pop53,e
700,pop56,a
700,pop56,b
700,pop56,d
700,pop56,c
700,pop51,b
700,pop51,a
700,pop51,c
700,pop51,e
700,pop51,d
700,pop19,a
700,pop19,b
700,pop19,d
700,pop19,e
700,pop14,d
700,pop14,e
700,pop14,a
700,pop14,b
700,pop14,c
700,pop42,d
700,pop42,e
700,pop42,b
700,pop42,a
700,pop7,c
700,pop7,b
700,pop7,a
700,pop48,b
700,pop48,a
700,pop48,c
700,pop48,e
700,pop48,d
700,pop55,b
700,pop55,e
700,pop55,a
700,pop55,d
700,pop23,b
700,pop23,a
700,pop23,c
700,pop16,d
700,pop16,c
700,pop16,a
700,pop16,e
700,pop16,b
700,pop17,b
700,pop17,e
700,pop17,c
700,pop31,a
700,pop31,c
700,pop8,b
700,pop8,e
700,pop44,a
700,pop44,d
800,pop3,b
800,pop3,d
800,pop3,a
800,pop3,e
800,pop11,b
800,pop11,a
800,pop11,c
800,pop11,d
800,pop18,a
800,pop18,b
800,pop18,d
800,pop18,c
800,pop18,e
800,pop34,d
800,pop34,b
800,pop34,e
800,pop34,a
800,pop34,c
800,pop52,a
800,pop52,b
800,pop52,d
800,pop52,e
800,pop52,c
800,pop53,a
800,pop53,b
800,pop53,c
800,pop53,d
800,pop53,e
800,pop56,a
800,pop56,b
800,pop56,d
800,pop56,c
800,pop51,b
800,pop51,a
800,pop51,c
800,pop51,e
800,pop51,d
800,pop19,a
800,pop19,b
800,pop19,d
800,pop19,e
800,pop14,d
800,pop14,e
800,pop14,a
800,pop14,b
800,pop14,c
800,pop42,d
800,pop42,e
800,pop42,b
800,pop42,a
800,pop7,c
800,pop7,b
800,pop7,a
800,pop48,b
800,pop48,a
800,pop48,c
800,pop48,e
800,pop48,d
800,pop55,b
800,pop55,e
800,pop55,a
800,pop55,d
800,pop23,b
800,pop23,a
800,pop23,c
800,pop23,d
800,pop16,d
800,pop16,c
800,pop16,a
800,pop16,e
800,pop16,b
800,pop17,b
800,pop17,e
800,pop17,c
800,pop17,a
800,pop31,a
800,pop31,c
800,pop8,b
800,pop8,e
800,pop44,a
800,pop44,d
900,pop3,b
900,pop3,d
900,pop3,a
900,pop3,e
900,pop11,b
900,pop11,a
900,pop11,c
900,pop11,d
900,pop18,a
900,pop18,b
900,pop18,d
900,pop18,c
900,pop18,e
900,pop34,d
900,pop34,b
900,pop34,e
900,pop34,a
900,pop34,c
900,pop52,a
900,pop52,b
900,pop52,d
900,pop52,e
900,pop52,c
900,pop53,a
900,pop53,b
900,pop53,c
900,pop53,d
900,pop53,e
900,pop56,a
900,pop56,b
900,pop56,d
900,pop56,c
900,pop51,b
900,pop51,a
900,pop51,c
900,pop51,e
900,pop51,d
900,pop19,a
900,pop19,b
900,pop19,d
900,pop19,e
900,pop19,c
900,pop14,d
900,pop14,e
900,pop14,a
900,pop14,b
900,pop14,c
900,pop42,d
900,pop42,e
900,pop42,b
900,pop42,a
900,pop7,c
900,pop7,b
900,pop7,a
900,pop48,b
900,pop48,a
900,pop48,c
900,pop48,e
900,pop48,d
900,pop55,b
900,pop55,e
900,pop55,a
900,pop55,d
900,pop23,b
900,pop23,a
900,pop23,c
900,pop23,d
900,pop16,d
900,pop16,c
900,pop16,a
900,pop16,e
900,pop16,b
900,pop17,b
900,pop17,e
900,pop17,c
900,pop17,a
900,pop31,a
900,pop31,c
900,pop8,b
900,pop8,e
900,pop44,a
900,pop44,d
1000.0,pop3,b
1000.0,pop3,d
1000.0,pop3,a
1000.0,pop3,e
1000.0,pop11,b
1000.0,pop11,a
1000.0,pop11,c
1000.0,pop11,d
1000.0,pop18,a
1000.0,pop18,b
1000.0,pop18,d
1000.0,pop18,c
1000.0,pop18,e
1000.0,pop34,d
1000.0,pop34,b
1000.0,pop34,e
1000.0,pop34,a
1000.0,pop34,c
1000.0,pop52,a
1000.0,pop52,b
1000.0,pop52,d
1000.0,pop52,e
1000.0,pop52,c
1000.0,pop53,a
1000.0,pop53,b
1000.0,pop53,c
1000.0,pop53,d
1000.0,pop53,e
1000.0,pop56,a
1000.0,pop56,b
1000.0,pop56,d
1000.0,pop56,c
1000.0,pop51,b
1000.0,pop51,a
1000.0,pop51,c
1000.0,pop51,e
1000.0,pop51,d
1000.0,pop19,a
1000.0,pop19,b
1000.0,pop19,d
1000.0,pop19,e
1000.0,pop19,c
1000.0,pop14,d
1000.0,pop14,e
1000.0,pop14,a
1000.0,pop14,b
1000.0,pop14,c
1000.0,pop42,d
1000.0,pop42,e
1000.0,pop42,b
1000.0,pop42,a
1000.0,pop7,c
1000.0,pop7,b
1000.0,pop7,a
