time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,14,0,0,14,0,0,0,2.7142857142857144,0,0.0,0,0,0.0,0.0
100,319,113,83,123,13.91076507711422,42.40811662564427,5.0102825993928475,2.7021943573667713,6.729003359462486,18.836990595611287,29.47787610619469,21.734513274336283,0.3054034090909082,0.05644710031347967
200,638,302,209,127,16.077658406449373,47.63487075911276,5.003628513078645,2.6630094043887147,7.113189448441247,23.246081504702193,34.5728476821192,22.188741721854306,0.3229102300034388,0.06543260295701797
300,934,503,312,119,16.600091222626904,49.109924019570066,5.010448490986325,2.654175588865096,7.275840978593272,25.47323340471092,36.15308151093439,22.63220675944334,0.3237518784438042,0.0661012238913103
400,1240,717,419,104,16.60553590194687,49.19857390115277,5.003668056269569,2.6588709677419353,7.286481647269472,26.25483870967742,36.12691771269177,22.736401673640167,0.3287799161115188,0.06649472081131903
500,1554,924,514,116,16.739692771903396,48.820661207590376,4.998597616903817,2.655083655083655,7.285207520397304,26.43114543114543,35.76731601731602,22.564935064935064,0.3310980851895284,0.06630950937192631
600,1865,1117,623,125,16.611962890505122,48.63113502466348,5.006967870807217,2.6509383378016085,7.299210251825361,26.265415549597854,35.566696508504926,22.53715308863026,0.32952707856598706,0.06558869061709781
700,2168,1324,730,114,16.562433286865407,48.76283320998877,5.001111233369118,2.6559040590405902,7.3097019657577675,26.585332103321033,35.70468277945619,22.568731117824772,0.33197094183726417,0.06593909214450057
800,2486,1535,825,126,16.36162465540703,48.71699947248111,4.9944803528658595,2.66130329847144,7.297276436211269,26.6206757843926,35.630618892508146,22.44299674267101,0.3320881516013925,0.0655299346754548
900,2766,1732,928,106,16.497746077606532,48.671148308028684,5.000877286532881,2.665582067968185,7.314000592826796,26.762472885032537,35.53290993071594,22.45958429561201,0.33068753836711084,0.06490166194121133
1000,3078,1930,1037,111,16.36815170583277,48.478774323835694,5.001676647860311,2.661143599740091,7.307733285980644,26.74041585445094,35.34870466321244,22.492746113989636,0.3313838988689461,0.06490697886537085
