time,node,sf
100,pop1,b
100,pop1,d
100,pop1,a
100,pop1,c
100,pop1,e
100,pop2,a
100,pop2,b
100,pop2,c
100,pop2,e
100,pop7,b
100,pop7,d
100,pop7,a
100,pop7,e
100,pop11,a
100,pop11,b
100,pop11,c
100,pop11,d
100,pop11,e
100,pop12,d
100,pop12,e
100,pop12,b
100,pop30,a
100,pop30,b
100,pop30,d
100,pop30,e
100,pop42,a
100,pop42,b
100,pop42,e
100,pop44,b
100,pop44,d
100,pop44,a
100,pop44,e
100,pop44,c
100,pop53,a
100,pop53,b
100,pop53,d
100,pop53,c
100,pop53,e
100,pop56,d
100,pop56,b
100,pop56,e
100,pop56,a
100,pop56,c
100,pop50,a
100,pop50,b
100,pop50,c
100,pop50,d
100,pop50,e
100,pop16,a
100,pop16,b
100,pop16,c
100,pop16,d
100,pop16,e
100,pop36,d
100,pop36,b
100,pop36,e
100,pop36,a
100,pop41,b
100,pop41,a
100,pop41,d
100,pop41,c
100,pop41,e
100,pop45,a
100,pop45,b
100,pop45,c
100,pop45,d
100,pop45,e
100,pop19,b
100,pop19,a
100,pop19,c
100,pop9,a
100,pop9,d
100,pop9,b
100,pop9,c
100,pop9,e
100,pop5,d
100,pop5,e
100,pop33,b
100,pop33,a
100,pop33,e
100,pop0,d
100,pop0,c
100,pop0,e
100,pop13,d
100,pop13,e
100,pop13,b
100,pop13,c
100,pop54,b
100,pop54,a
100,pop25,d
200,pop1,b
200,pop1,d
200,pop1,a
200,pop1,c
200,pop1,e
200,pop2,a
200,pop2,b
200,pop2,c
200,pop2,e
200,pop7,b
200,pop7,d
200,pop7,a
200,pop7,e
200,pop7,c
200,pop11,a
200,pop11,b
200,pop11,c
200,pop11,d
200,pop11,e
200,pop12,d
200,pop12,e
200,pop12,b
200,pop12,a
200,pop30,a
200,pop30,b
200,pop30,d
200,pop30,e
200,pop30,c
200,pop42,a
200,pop42,b
200,pop42,e
200,pop42,c
200,pop44,b
200,pop44,d
200,pop44,a
200,pop44,e
200,pop44,c
200,pop53,a
200,pop53,b
200,pop53,d
200,pop53,c
200,pop53,e
200,pop56,d
200,pop56,b
200,pop56,e
200,pop56,a
200,pop56,c
200,pop50,a
200,pop50,b
200,pop50,c
200,pop50,d
200,pop50,e
200,pop16,a
200,pop16,b
200,pop16,c
200,pop16,d
200,pop16,e
200,pop36,d
200,pop36,b
200,pop36,e
200,pop36,a
200,pop41,b
200,pop41,a
200,pop41,d
200,pop41,c
200,pop41,e
200,pop45,a
200,pop45,b
200,pop45,c
200,pop45,d
200,pop45,e
200,pop19,b
200,pop19,a
200,pop19,c
200,pop9,a
200,pop9,d
200,pop9,b
200,pop9,c
200,pop9,e
200,pop5,d
200,pop5,e
200,pop5,a
200,pop33,b
200,pop33,a
200,pop33,e
200,pop33,d
200,pop0,d
200,pop0,c
200,pop0,e
200,pop13,d
200,pop13,e
200,pop13,b
200,pop13,c
200,pop54,b
200,pop54,a
200,pop54,c
200,pop25,d
200,pop25,b
200,pop25,a
300,pop1,b
300,pop1,d
300,pop1,a
300,pop1,c
300,pop1,e
300,pop2,a
300,pop2,b
300,pop2,c
300,pop2,e
300,pop7,b
300,pop7,d
300,pop7,a
300,pop7,e
300,pop7,c
300,pop11,a
300,pop11,b
300,pop11,c
300,pop11,d
300,pop11,e
300,pop12,d
300,pop12,e
300,pop12,b
300,pop12,a
300,pop30,a
300,pop30,b
300,pop30,d
300,pop30,e
300,pop30,c
300,pop42,a
300,pop42,b
300,pop42,e
300,pop42,c
300,pop42,d
300,pop44,b
300,pop44,d
300,pop44,a
300,pop44,e
300,pop44,c
