time,node,sf
100,pop13,b
100,pop13,c
100,pop13,a
100,pop37,b
100,pop37,a
100,pop37,c
100,pop37,d
100,pop37,e
100,pop38,a
100,pop38,b
100,pop38,e
100,pop38,c
100,pop38,d
100,pop53,b
100,pop53,a
100,pop53,e
100,pop53,c
100,pop53,d
100,pop6,e
100,pop6,b
100,pop6,a
100,pop6,c
100,pop6,d
100,pop46,b
100,pop46,d
100,pop46,a
100,pop46,e
100,pop46,c
100,pop2,b
100,pop2,d
100,pop2,e
100,pop2,a
100,pop2,c
100,pop12,b
100,pop12,c
100,pop12,a
100,pop56,c
100,pop56,a
100,pop56,d
100,pop3,e
100,pop3,d
100,pop3,a
100,pop3,b
100,pop3,c
100,pop32,c
100,pop32,b
100,pop32,a
100,pop55,e
100,pop55,d
100,pop55,c
100,pop7,b
100,pop7,a
100,pop7,c
100,pop1,b
100,pop1,c
100,pop1,d
100,pop1,e
100,pop1,a
200,pop13,c
200,pop13,b
200,pop13,a
200,pop13,d
200,pop37,a
200,pop37,c
200,pop37,b
200,pop37,d
200,pop37,e
200,pop38,a
200,pop38,b
200,pop38,c
200,pop38,d
200,pop38,e
200,pop53,b
200,pop53,a
200,pop53,c
200,pop53,d
200,pop53,e
200,pop6,b
200,pop6,c
200,pop6,a
200,pop6,e
200,pop6,d
200,pop46,b
200,pop46,a
200,pop46,e
200,pop46,d
200,pop46,c
200,pop2,d
200,pop2,a
200,pop2,e
200,pop2,b
200,pop2,c
200,pop12,b
200,pop12,a
200,pop12,c
200,pop56,c
200,pop56,b
200,pop56,e
200,pop56,a
200,pop3,b
200,pop3,e
200,pop3,d
200,pop3,a
200,pop32,b
200,pop32,c
200,pop32,a
200,pop55,c
200,pop55,b
200,pop55,a
200,pop7,a
200,pop7,b
200,pop5,a
200,pop5,b
200,pop5,c
200,pop1,d
300,pop13,b
300,pop13,a
300,pop13,c
300,pop37,a
300,pop37,c
300,pop37,e
300,pop37,d
300,pop37,b
300,pop38,a
300,pop38,b
300,pop38,c
300,pop38,d
300,pop38,e
300,pop53,b
300,pop53,a
300,pop53,c
300,pop53,d
300,pop53,e
300,pop6,c
300,pop6,a
300,pop6,e
300,pop6,b
300,pop6,d
300,pop46,b
300,pop46,a
300,pop46,c
300,pop46,d
300,pop46,e
300,pop2,d
300,pop2,e
300,pop2,c
300,pop2,b
300,pop2,a
300,pop12,b
300,pop12,c
300,pop12,d
300,pop12,e
300,pop56,c
300,pop56,a
300,pop56,b
300,pop3,c
300,pop3,a
300,pop3,d
300,pop3,e
300,pop3,b
300,pop32,c
300,pop32,d
300,pop32,e
300,pop32,b
300,pop55,c
300,pop55,b
300,pop7,a
300,pop1,d
300,pop1,e
400,pop13,a
400,pop13,b
400,pop13,c
400,pop37,a
400,pop37,c
400,pop37,e
400,pop37,d
400,pop37,b
400,pop38,d
400,pop38,a
400,pop38,b
400,pop38,c
400,pop38,e
400,pop53,b
400,pop53,a
400,pop53,c
400,pop53,d
400,pop53,e
400,pop6,c
400,pop6,a
400,pop6,b
400,pop6,d
400,pop6,e
400,pop46,b
400,pop46,e
400,pop46,a
400,pop46,c
400,pop46,d
400,pop2,a
400,pop2,b
