time,node,decisions
1000,pop0,425
1000,pop1,1013
1000,pop2,102
1000,pop3,1178
1000,pop4,1186
1000,pop5,980
1000,pop6,669
1000,pop7,1043
1000,pop8,548
1000,pop9,326
1000,pop10,1106
1000,pop11,532
1000,pop12,119
1000,pop13,277
1000,pop14,2143
1000,pop15,318
1000,pop16,402
1000,pop17,2076
1000,pop18,898
1000,pop19,1782
1000,pop20,465
1000,pop21,621
1000,pop22,542
1000,pop23,1241
1000,pop24,2375
1000,pop25,3229
1000,pop26,692
1000,pop27,1566
1000,pop28,122
1000,pop29,697
1000,pop30,148
1000,pop31,391
1000,pop32,825
1000,pop33,154
1000,pop34,907
1000,pop35,293
1000,pop36,283
1000,pop37,747
1000,pop38,790
1000,pop39,1067
1000,pop40,360
1000,pop41,371
1000,pop42,1410
1000,pop43,1668
1000,pop44,2088
1000,pop45,1677
1000,pop46,1983
1000,pop47,969
1000,pop48,1883
1000,pop49,729
1000,pop50,5562
1000,pop51,9012
1000,pop52,7371
1000,pop53,5115
1000,pop54,769
1000,pop55,1059
1000,pop56,1735
1000,pop57,89
