time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.6363636363636362,0,0.0,0,0,0.0,0.0
100,259,143,0,116,0,36.29483864839662,4.97917803930271,2.671814671814672,5.788036410923277,17.185328185328185,23.342657342657343,15.58041958041958,0.1609351786691692,0.04505138440631901
200,513,407,0,106,0,38.185590333539196,4.980416549762452,2.6491228070175437,6.09366823652538,22.69980506822612,24.970515970515972,16.18918918918919,0.17552042160737918,0.052245392455287434
300,756,658,0,98,0,38.731054583745575,5.005169241451087,2.6574074074074074,6.142089351696338,24.186507936507937,25.46808510638298,16.243161094224924,0.178384606992856,0.05360481099656367
400,1019,907,0,112,0,38.84313338581094,5.012271679719656,2.6673209028459275,6.083669115904243,25.188420019627085,25.48180815876516,16.458654906284455,0.1836569987883355,0.056370061362215715
500,1275,1179,0,96,0,38.7366833503537,5.015626159162765,2.665098039215686,6.061597514165601,26.010196078431374,25.363019508057675,16.411365564037318,0.18495014833165108,0.058352579009146456
600,1514,1412,0,102,0,38.69361383876834,5.014658990146598,2.657199471598415,6.014270692504131,26.4445178335535,25.38385269121813,16.591359773371106,0.18167251729751646,0.058172653256704884
700,1742,1635,0,107,0,38.6091136924402,5.007719409759148,2.6538461538461537,5.974398361495136,26.79219288174512,25.310703363914374,16.611009174311928,0.177754203991828,0.058104444065096086
800,2006,1891,0,115,0,38.61548107027271,5.012549525453903,2.6550348953140577,5.962377975211144,27.098205383848455,25.324167107350608,16.666314119513483,0.17849149794518093,0.05899149534496392
900,2251,2149,0,102,0,38.6286878035494,5.0110138587718955,2.6579298089737895,5.939955807474301,27.467347845402042,25.333178222429037,16.71800837598883,0.17874078779650357,0.05992400503907062
1000,2502,2398,0,104,0,38.569391058337715,5.008288616629559,2.659072741806555,5.921163249549627,27.58713029576339,25.272727272727273,16.69808173477898,0.17890173238553078,0.06032189936123911
