time,node,decisions
1000,pop0,376
1000,pop1,1702
1000,pop2,65
1000,pop3,473
1000,pop4,234
1000,pop5,334
1000,pop6,565
1000,pop7,766
1000,pop8,381
1000,pop9,99
1000,pop10,1124
1000,pop11,789
1000,pop12,729
1000,pop13,224
1000,pop14,818
1000,pop15,414
1000,pop16,431
1000,pop17,846
1000,pop18,457
1000,pop19,1462
1000,pop20,1096
1000,pop21,751
1000,pop22,637
1000,pop23,477
1000,pop24,701
1000,pop25,251
1000,pop26,117
1000,pop27,130
1000,pop28,724
1000,pop29,381
1000,pop30,87
1000,pop31,368
1000,pop32,760
1000,pop33,212
1000,pop34,182
1000,pop35,165
1000,pop36,527
1000,pop37,725
1000,pop38,811
1000,pop39,697
1000,pop40,260
1000,pop41,787
1000,pop42,836
1000,pop43,923
1000,pop44,1522
1000,pop45,323
1000,pop46,1639
1000,pop47,1091
1000,pop48,929
1000,pop49,137
1000,pop50,4103
1000,pop51,5514
1000,pop52,3600
1000,pop53,5493
1000,pop54,425
1000,pop55,1284
1000,pop56,546
1000,pop57,79
