time,node,sf
100,pop9,d
100,pop9,a
100,pop9,e
100,pop9,b
100,pop9,c
100,pop15,d
100,pop15,e
100,pop15,b
100,pop15,a
100,pop15,c
100,pop16,b
100,pop16,d
100,pop16,e
100,pop16,a
100,pop18,b
100,pop18,a
100,pop18,c
100,pop18,d
100,pop30,b
100,pop30,a
100,pop30,c
100,pop30,d
100,pop33,d
100,pop33,b
100,pop33,e
100,pop33,a
100,pop33,c
100,pop36,d
100,pop36,b
100,pop36,a
100,pop36,e
100,pop36,c
100,pop42,d
100,pop42,e
100,pop42,b
100,pop42,a
100,pop53,d
100,pop53,e
100,pop53,a
100,pop53,b
100,pop53,c
100,pop38,d
100,pop38,e
100,pop38,b
100,pop38,c
100,pop38,a
100,pop10,a
100,pop10,b
100,pop10,d
100,pop10,c
100,pop10,e
100,pop50,b
100,pop50,d
100,pop50,e
100,pop50,a
100,pop50,c
100,pop20,d
100,pop20,e
100,pop20,a
100,pop20,c
100,pop14,b
100,pop14,a
100,pop14,c
100,pop14,d
100,pop41,b
100,pop41,a
100,pop41,c
100,pop41,d
100,pop41,e
100,pop48,b
100,pop48,c
100,pop48,e
100,pop48,a
100,pop17,b
100,pop17,c
100,pop17,d
100,pop17,a
100,pop4,e
100,pop4,b
100,pop4,c
100,pop45,a
100,pop45,b
100,pop45,c
100,pop29,b
100,pop29,e
100,pop29,a
100,pop29,d
100,pop40,b
100,pop40,a
100,pop32,e
100,pop32,c
100,pop32,a
100,pop32,d
100,pop35,a
100,pop46,c
100,pop46,b
100,pop46,e
100,pop34,c
200,pop9,d
200,pop9,a
200,pop9,e
200,pop9,b
200,pop9,c
200,pop15,d
200,pop15,e
200,pop15,b
200,pop15,a
200,pop15,c
200,pop16,b
200,pop16,d
200,pop16,e
200,pop16,a
200,pop16,c
200,pop18,b
200,pop18,a
200,pop18,c
200,pop18,d
200,pop30,b
200,pop30,a
200,pop30,c
200,pop30,d
200,pop33,d
200,pop33,b
200,pop33,e
200,pop33,a
200,pop33,c
200,pop36,d
200,pop36,b
200,pop36,a
200,pop36,e
200,pop36,c
200,pop42,d
200,pop42,e
200,pop42,b
200,pop42,a
200,pop53,d
200,pop53,e
200,pop53,a
200,pop53,b
200,pop53,c
200,pop38,d
200,pop38,e
200,pop38,b
200,pop38,c
200,pop38,a
200,pop10,a
200,pop10,b
200,pop10,d
200,pop10,c
200,pop10,e
200,pop50,b
200,pop50,d
200,pop50,e
200,pop50,a
200,pop50,c
200,pop20,d
200,pop20,e
200,pop20,a
200,pop20,c
200,pop14,b
200,pop14,a
200,pop14,c
200,pop14,d
200,pop41,b
200,pop41,a
200,pop41,c
200,pop41,d
200,pop41,e
200,pop48,b
200,pop48,c
200,pop48,e
200,pop48,a
200,pop17,b
200,pop17,c
200,pop17,d
200,pop17,a
200,pop17,e
200,pop4,e
200,pop4,b
200,pop4,c
200,pop4,a
200,pop45,a
200,pop45,b
200,pop45,c
200,pop45,d
200,pop29,b
200,pop29,e
200,pop29,a
200,pop29,d
200,pop40,b
200,pop40,a
200,pop40,d
200,pop32,e
200,pop32,c
200,pop32,a
200,pop32,d
200,pop32,b
200,pop35,a
200,pop35,c
200,pop46,c
200,pop46,b
200,pop46,e
200,pop34,c
200,pop54,c
200,pop54,a
200,pop54,e
200,pop37,a
300,pop9,d
300,pop9,a
300,pop9,e
300,pop9,b
300,pop9,c
300,pop15,d
300,pop15,e
300,pop15,b
300,pop15,a
300,pop15,c
300,pop16,b
300,pop16,d
300,pop16,e
300,pop16,a
300,pop16,c
300,pop18,b
300,pop18,a
300,pop18,c
300,pop18,d
300,pop30,b
300,pop30,a
300,pop30,c
300,pop30,d
300,pop33,d
300,pop33,b
300,pop33,e
300,pop33,a
300,pop33,c
300,pop36,d
300,pop36,b
300,pop36,a
300,pop36,e
300,pop36,c
300,pop42,d
300,pop42,e
300,pop42,b
300,pop42,a
300,pop53,d
300,pop53,e
300,pop53,a
300,pop53,b
300,pop53,c
300,pop38,d
300,pop38,e
300,pop38,b
300,pop38,c
300,pop38,a
300,pop10,a
300,pop10,b
300,pop10,d
300,pop10,c
300,pop10,e
300,pop50,b
