time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,18,0,0,18,0,0,0,2.611111111111111,0,0.0,0,0,0.0,0.0
100,415,250,0,165,0,31.834057677322342,5.022703222370105,2.6674698795180722,4.3076452599388375,16.9710843373494,18.496,15.652,0.44713847969243703,0.07909030411139056
200,845,639,0,206,0,36.69353849435675,5.038929930530965,2.6698224852071006,4.276129032258065,23.53136094674556,23.37402190923318,15.56964006259781,0.49855101585175365,0.11526584597855095
300,1286,1075,4,207,14.75455694499254,40.47141276881574,5.02121861218124,2.6648522550544325,4.296029776674938,26.9253499222395,27.177674418604653,15.447441860465116,0.5258592485908846,0.13139536808647992
400,1673,1497,4,172,14.75455694499254,42.17241417352161,5.023502008265973,2.6592946802151824,4.302210400807117,28.03765690376569,28.791583166332664,15.57314629258517,0.527476799598701,0.13041171466066964
500,2097,1903,4,190,14.75455694499254,42.42319746301026,5.014706097562848,2.6580829756795423,4.290416122952008,28.22222222222222,29.127693116132424,15.555438780872306,0.5262836422662087,0.13030984649051602
600,2500,2308,4,188,14.75455694499254,42.473010011541454,5.019636714238941,2.6592,4.290517701476605,28.9404,29.159878682842287,15.471837088388215,0.5281360235686204,0.13300361487279852
700,2922,2727,8,187,22.91809635814881,43.02892368576036,5.012230673198026,2.662217659137577,4.301888698111302,29.1533196440794,29.705903923725707,15.534286762009534,0.528148588497321,0.13319940643965225
800,3325,3143,9,173,24.108462458928592,43.213329041193866,5.009083996443258,2.658345864661654,4.297566516667395,29.58406015037594,29.920139993636653,15.653833916640153,0.5299209557300847,0.1349882658578985
900,3745,3535,11,199,23.68943152657536,43.42103081696482,5.003688517692736,2.6590120160213617,4.302791474162364,29.593324432576768,30.114002828854314,15.632531824611032,0.5306148197181227,0.13449359794872245
1000,4140,3958,11,171,23.68943152657536,43.31391157483844,5.002978050753345,2.6579710144927535,4.308710458870204,29.643719806763286,30.021475492673066,15.64022233451238,0.5287902018204166,0.13320943479320627
