flow,node,dec_count,dec_time_avg,dec_time_std
1,global,1,0.3168606758117676,0.0
2,global,1,0.3445396423339844,0.0
3,global,1,0.35634708404541016,0.0
4,global,1,0.36739182472229004,0.0
5,global,2,0.3624989986419678,0.00954294204711914
6,global,2,0.3608337640762329,0.00209963321685791
7,global,1,0.35505080223083496,0.0
8,global,2,0.3229407072067261,0.0057801008224487305
9,global,1,0.38855719566345215,0.0
10,global,1,0.3191077709197998,0.0
11,global,2,0.49041974544525146,0.05857884883880615
12,global,1,0.37591099739074707,0.0
13,global,2,0.357202410697937,0.025362372398376465
14,global,1,0.35892772674560547,0.0
15,global,2,0.39502429962158203,0.0035970211029052734
16,global,1,0.3506007194519043,0.0
17,global,2,0.37419986724853516,0.013248920440673828
18,global,1,0.3221886157989502,0.0
19,global,2,0.4378896951675415,0.08154165744781494
20,global,1,0.35500144958496094,0.0
21,global,2,0.3411123752593994,0.020287275314331055
22,global,2,0.428072452545166,0.03204917907714844
23,global,1,0.3576674461364746,0.0
24,global,1,0.3411519527435303,0.0
25,global,1,0.32270216941833496,0.0
26,global,1,0.39542603492736816,0.0
27,global,1,0.35488414764404297,0.0
28,global,2,0.348751425743103,0.017642617225646973
29,global,2,0.33135998249053955,0.0040541887283325195
30,global,1,0.3644752502441406,0.0
31,global,2,0.3657628297805786,0.012961983680725098
32,global,2,0.38395726680755615,0.030318617820739746
33,global,1,0.37546300888061523,0.0
34,global,1,0.3570387363433838,0.0
35,global,2,0.32278966903686523,0.00012063980102539062
36,global,1,0.3367149829864502,0.0
37,global,1,0.36150288581848145,0.0
38,global,1,0.3787651062011719,0.0
39,global,2,0.4235222339630127,0.023696184158325195
40,global,1,0.3906371593475342,0.0
41,global,1,0.35364842414855957,0.0
42,global,3,0.3529314200083415,0.0226897434849698
43,global,1,0.3823366165161133,0.0
44,global,1,0.3570747375488281,0.0
45,global,1,0.3674492835998535,0.0
46,global,1,0.38787174224853516,0.0
47,global,1,0.32494568824768066,0.0
48,global,3,0.391495148340861,0.03402449852303866
49,global,1,0.39400172233581543,0.0
50,global,1,0.3686492443084717,0.0
51,global,1,0.3671591281890869,0.0
52,global,3,0.4445491631825765,0.05172979846675053
53,global,1,0.38048315048217773,0.0
54,global,2,0.3433041572570801,0.01740264892578125
55,global,1,0.3629567623138428,0.0
56,global,1,0.3167102336883545,0.0
57,global,1,0.35916733741760254,0.0
58,global,1,0.3752870559692383,0.0
59,global,1,0.3728194236755371,0.0
60,global,1,0.3744175434112549,0.0
61,global,2,0.4287259578704834,0.033934831619262695
62,global,1,0.49716734886169434,0.0
63,global,1,0.3322324752807617,0.0
64,global,1,0.3691694736480713,0.0
65,global,1,0.3556797504425049,0.0
66,global,2,0.3550792932510376,0.006336331367492676
67,global,1,0.3210718631744385,0.0
68,global,1,0.3700089454650879,0.0
69,global,1,0.39884495735168457,0.0
70,global,1,0.31845641136169434,0.0
71,global,1,0.5574417114257812,0.0
72,global,1,0.44930124282836914,0.0
73,global,1,0.44019412994384766,0.0
74,global,1,0.38210225105285645,0.0
75,global,1,0.43909502029418945,0.0
76,global,1,0.36972999572753906,0.0
77,global,1,0.3173220157623291,0.0
78,global,1,0.40048670768737793,0.0
79,global,1,0.3966200351715088,0.0
80,global,1,0.40093398094177246,0.0
81,global,1,0.35248327255249023,0.0
82,global,1,0.33250904083251953,0.0
83,global,1,0.3893306255340576,0.0
84,global,2,0.41866064071655273,0.009990453720092773
85,global,2,0.38272416591644287,0.0017017126083374023
86,global,1,0.5247030258178711,0.0
87,global,1,0.32749342918395996,0.0
88,global,1,0.41339874267578125,0.0
89,global,1,0.3853724002838135,0.0
90,global,1,0.39584898948669434,0.0
91,global,1,0.36717772483825684,0.0
92,global,2,0.2953425645828247,0.07637941837310791
93,global,2,0.42109644412994385,0.0018788576126098633
94,global,1,0.37965965270996094,0.0
95,global,3,0.32627320289611816,0.08399866766877329
96,global,1,0.4252195358276367,0.0
97,global,1,0.3852977752685547,0.0
