time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,13,0,0,13,0,0,0,2.5384615384615383,0,0.0,0,0,0.0,0.0
100,326,205,0,121,0,32.343725955465324,5.060509154451005,2.6809815950920246,4.156405990016639,15.325153374233128,18.921951219512195,14.048780487804878,0.20836889022720426,0.04641157913620278
200,631,520,0,111,0,33.62468744776511,5.042087975625125,2.6862123613312203,4.196172248803828,18.06814580031696,20.138461538461538,15.540384615384616,0.21411212994915022,0.05210571362621523
300,917,808,0,109,0,33.587042386661665,5.0311443458362515,2.6848418756815704,4.1873015873015875,18.699018538713194,20.110148514851485,15.54579207920792,0.2101184805004918,0.051703511088984994
400,1198,1111,0,87,0,33.72245364157564,5.041986760281084,2.686143572621035,4.194489758926953,19.31636060100167,20.186318631863188,15.771377137713772,0.20981090260304075,0.051677536555585914
500,1509,1407,0,102,0,33.816698290796346,5.034855826600464,2.679920477137177,4.2106392106392105,19.512922465208746,20.29140014214641,15.763326226012794,0.21267960156789334,0.05307129492812697
600,1778,1680,0,98,0,33.63591095406052,5.025603253640425,2.6709786276715413,4.216959418534222,19.578740157480315,20.20297619047619,15.714285714285714,0.2085857148227892,0.052258302898449405
700,2057,1973,0,84,0,33.634091816989184,5.021199786780602,2.6708799222168205,4.218600788872743,19.757899854156538,20.228079067410036,15.691839837810441,0.20717658037322165,0.051829690020718855
800,2352,2251,0,101,0,33.72517332168243,5.029203884567614,2.675170068027211,4.207997828643807,19.775085034013607,20.27099067081297,15.732119058196357,0.20703273256737936,0.05160374413522862
900,2635,2541,0,94,0,33.723967629195634,5.024908169018316,2.6774193548387095,4.212101705825555,19.86641366223909,20.264856355765446,15.778433687524597,0.20668147066610248,0.051390080307360524
1000,2907,2803,0,104,0,33.78142432449039,5.026372385913992,2.6790505675954592,4.21867465478191,19.862745098039216,20.32536567962897,15.82839814484481,0.20561726609957415,0.051283295790761345
