time,node,sf
100,pop5,b
100,pop5,e
100,pop5,c
100,pop5,a
100,pop5,d
100,pop19,d
100,pop19,b
100,pop19,c
100,pop19,a
100,pop19,e
100,pop38,b
100,pop38,a
100,pop38,d
100,pop38,c
100,pop36,a
100,pop36,c
100,pop36,b
100,pop31,a
100,pop31,c
100,pop31,e
100,pop31,d
100,pop31,b
100,pop57,a
100,pop57,b
100,pop57,c
100,pop57,d
100,pop57,e
100,pop28,d
100,pop28,a
100,pop28,b
100,pop28,e
100,pop28,c
100,pop22,d
100,pop22,e
100,pop22,a
100,pop26,b
100,pop26,e
100,pop26,a
100,pop24,b
100,pop24,a
100,pop24,d
100,pop24,e
100,pop24,c
100,pop44,a
100,pop44,c
100,pop44,d
100,pop44,e
100,pop44,b
100,pop37,a
100,pop37,b
100,pop37,c
100,pop37,d
100,pop37,e
100,pop43,a
100,pop43,c
100,pop43,b
100,pop43,d
100,pop39,a
100,pop39,d
100,pop39,e
100,pop50,a
100,pop50,b
100,pop50,d
100,pop50,c
100,pop50,e
100,pop35,c
100,pop35,b
100,pop27,b
200,pop5,b
200,pop5,c
200,pop5,a
200,pop19,c
200,pop19,a
200,pop19,e
200,pop19,b
200,pop19,d
200,pop38,c
200,pop38,b
200,pop38,a
200,pop38,d
200,pop36,a
200,pop36,b
200,pop36,c
200,pop36,d
200,pop36,e
200,pop31,b
200,pop31,a
200,pop31,c
200,pop31,d
200,pop31,e
200,pop57,e
200,pop57,c
200,pop57,a
200,pop57,b
200,pop57,d
200,pop28,c
200,pop28,a
200,pop28,b
200,pop22,a
200,pop22,b
200,pop22,c
200,pop22,d
200,pop22,e
200,pop26,d
200,pop26,e
200,pop26,a
200,pop26,b
200,pop26,c
200,pop24,c
200,pop24,a
200,pop24,b
200,pop24,d
200,pop24,e
200,pop44,d
200,pop37,b
200,pop37,a
200,pop37,c
200,pop43,a
200,pop43,b
200,pop43,c
200,pop39,a
200,pop39,c
200,pop39,d
200,pop39,b
200,pop39,e
200,pop50,b
200,pop50,c
200,pop50,a
200,pop35,a
200,pop35,c
200,pop17,b
200,pop17,a
200,pop34,a
200,pop56,b
200,pop56,c
300,pop5,b
300,pop5,a
300,pop5,d
300,pop5,e
300,pop5,c
300,pop19,c
300,pop19,a
300,pop19,e
300,pop19,d
300,pop19,b
300,pop38,b
300,pop38,c
300,pop38,a
300,pop38,d
300,pop36,d
300,pop36,a
300,pop36,b
300,pop36,e
300,pop36,c
300,pop31,a
300,pop31,e
300,pop31,b
300,pop31,c
300,pop57,a
300,pop57,b
300,pop57,c
300,pop28,b
300,pop28,a
300,pop28,c
300,pop28,e
300,pop22,c
300,pop22,a
300,pop22,e
300,pop22,b
300,pop26,e
300,pop26,d
300,pop26,c
300,pop26,b
300,pop24,a
300,pop24,c
300,pop24,e
300,pop24,b
300,pop24,d
300,pop44,b
300,pop44,d
300,pop44,a
300,pop44,e
300,pop37,a
300,pop37,d
300,pop37,e
300,pop37,b
300,pop37,c
300,pop43,d
300,pop43,a
300,pop43,e
300,pop43,b
300,pop43,c
300,pop50,b
300,pop50,a
300,pop50,e
300,pop50,c
300,pop35,c
300,pop35,d
300,pop35,e
300,pop27,c
300,pop34,c
300,pop56,a
300,pop56,d
300,pop56,b
400,pop5,b
400,pop5,c
400,pop5,a
400,pop5,d
400,pop5,e
400,pop19,a
400,pop19,c
400,pop19,b
400,pop19,d
400,pop19,e
400,pop38,c
400,pop38,b
400,pop38,d
400,pop38,e
400,pop36,c
400,pop36,d
400,pop36,e
400,pop36,a
400,pop36,b
400,pop31,a
400,pop31,b
400,pop31,c
400,pop31,e
400,pop31,d
400,pop57,b
400,pop57,c
400,pop57,d
400,pop57,e
400,pop57,a
400,pop28,b
400,pop28,c
400,pop28,a
400,pop28,d
400,pop28,e
400,pop22,d
400,pop22,e
400,pop22,a
400,pop22,b
400,pop22,c
400,pop26,b
400,pop26,a
400,pop26,c
400,pop26,d
400,pop24,b
400,pop24,e
400,pop24,c
400,pop24,d
400,pop24,a
400,pop44,b
400,pop44,c
400,pop44,d
400,pop44,a
400,pop44,e
400,pop37,c
400,pop37,b
400,pop37,e
400,pop43,b
400,pop43,a
400,pop43,c
400,pop21,e
400,pop21,b
400,pop21,c
400,pop21,a
400,pop39,b
400,pop39,e
400,pop39,a
400,pop39,c
400,pop50,a
400,pop50,b
400,pop50,d
400,pop50,c
400,pop35,b
400,pop35,a
400,pop27,e
400,pop25,b
400,pop25,c
400,pop25,a
400,pop17,b
400,pop17,a
400,pop17,c
500,pop5,a
500,pop5,b
500,pop5,d
500,pop5,e
500,pop5,c
500,pop19,b
500,pop19,a
500,pop19,c
500,pop19,d
500,pop19,e
500,pop38,a
500,pop38,b
500,pop38,c
500,pop36,b
500,pop36,d
500,pop36,e
500,pop36,a
500,pop36,c
500,pop31,a
500,pop31,c
500,pop31,b
500,pop31,d
500,pop31,e
500,pop57,d
500,pop57,a
500,pop57,e
500,pop57,b
500,pop57,c
500,pop28,a
500,pop28,c
500,pop28,d
500,pop28,e
500,pop28,b
500,pop22,b
500,pop22,c
500,pop22,a
500,pop26,a
500,pop26,c
500,pop26,d
500,pop26,e
500,pop26,b
500,pop24,a
500,pop24,b
500,pop24,c
500,pop24,d
500,pop24,e
500,pop44,b
500,pop44,c
500,pop44,a
500,pop44,d
500,pop44,e
500,pop37,a
500,pop37,b
500,pop37,e
500,pop37,c
500,pop43,c
500,pop43,e
500,pop43,d
500,pop43,a
500,pop43,b
500,pop21,c
500,pop39,a
500,pop39,b
500,pop50,d
500,pop50,c
500,pop50,a
500,pop50,b
500,pop35,c
500,pop35,d
500,pop35,e
500,pop35,b
500,pop25,b
500,pop25,c
500,pop17,a
500,pop17,b
500,pop17,c
600,pop5,b
600,pop5,c
600,pop5,d
600,pop5,e
600,pop5,a
600,pop19,a
600,pop19,c
600,pop19,b
600,pop19,d
600,pop19,e
600,pop38,c
600,pop38,d
600,pop38,e
600,pop36,c
600,pop36,a
600,pop36,b
600,pop31,a
600,pop31,b
600,pop31,c
600,pop31,d
600,pop57,a
600,pop57,c
600,pop57,d
600,pop57,e
600,pop57,b
600,pop28,d
600,pop28,a
600,pop28,b
600,pop28,e
600,pop28,c
600,pop22,a
600,pop22,b
600,pop22,c
600,pop22,d
600,pop22,e
600,pop26,b
600,pop26,a
600,pop26,c
600,pop24,c
600,pop24,a
600,pop24,e
600,pop24,d
600,pop24,b
600,pop44,a
600,pop44,d
600,pop44,e
600,pop44,b
600,pop37,c
600,pop43,c
600,pop43,b
600,pop43,a
600,pop21,a
600,pop50,d
600,pop50,e
600,pop50,b
600,pop50,a
600,pop50,c
600,pop35,a
600,pop35,c
600,pop27,b
600,pop27,c
600,pop25,c
600,pop17,c
700,pop5,a
700,pop5,d
700,pop5,e
700,pop5,b
700,pop5,c
700,pop19,b
700,pop19,d
700,pop19,a
700,pop19,c
700,pop19,e
700,pop38,d
700,pop38,b
700,pop38,a
700,pop38,c
700,pop38,e
700,pop36,d
700,pop36,a
700,pop36,e
700,pop36,b
700,pop36,c
700,pop31,d
700,pop31,e
700,pop31,a
700,pop31,b
700,pop31,c
700,pop57,a
700,pop57,c
700,pop57,b
700,pop57,d
700,pop57,e
700,pop28,c
700,pop28,a
700,pop28,d
700,pop28,e
700,pop28,b
700,pop22,d
700,pop22,b
700,pop22,e
700,pop22,c
700,pop26,b
700,pop26,a
700,pop26,c
700,pop24,b
700,pop24,c
700,pop24,d
700,pop24,a
700,pop24,e
700,pop44,a
700,pop44,c
700,pop44,d
700,pop37,b
700,pop37,d
700,pop37,a
700,pop37,c
700,pop37,e
700,pop43,b
700,pop43,d
700,pop43,a
700,pop43,e
700,pop43,c
700,pop39,a
700,pop39,c
700,pop39,e
700,pop39,b
700,pop50,d
700,pop50,b
700,pop50,e
700,pop50,a
700,pop35,a
700,pop35,b
700,pop35,c
700,pop27,c
800,pop5,a
800,pop5,d
800,pop5,e
800,pop5,b
800,pop5,c
800,pop19,a
800,pop19,c
800,pop19,d
800,pop19,b
800,pop19,e
800,pop38,a
800,pop38,b
800,pop38,c
800,pop36,b
800,pop36,c
800,pop36,a
800,pop36,d
800,pop36,e
800,pop31,a
800,pop31,b
800,pop31,c
800,pop31,d
800,pop31,e
800,pop57,d
800,pop57,e
800,pop57,a
800,pop57,b
800,pop57,c
800,pop28,c
800,pop28,e
800,pop28,b
800,pop28,a
800,pop28,d
800,pop22,b
800,pop22,d
800,pop22,c
800,pop22,e
800,pop22,a
800,pop26,a
800,pop26,e
800,pop26,c
800,pop26,d
800,pop26,b
800,pop24,b
800,pop24,c
800,pop24,a
800,pop44,b
800,pop44,a
800,pop44,d
800,pop44,c
800,pop37,d
800,pop37,c
800,pop37,e
800,pop37,b
800,pop37,a
800,pop43,a
800,pop43,d
800,pop43,b
800,pop43,e
800,pop43,c
800,pop21,d
800,pop21,e
800,pop39,a
800,pop39,c
800,pop50,b
800,pop50,e
800,pop50,d
800,pop50,a
800,pop50,c
800,pop35,a
800,pop35,b
800,pop35,e
800,pop27,c
800,pop25,a
800,pop17,c
800,pop56,a
900,pop5,a
900,pop5,b
900,pop5,c
900,pop5,e
900,pop5,d
900,pop19,e
900,pop19,b
900,pop19,a
900,pop19,c
900,pop19,d
900,pop38,c
900,pop38,a
900,pop38,b
900,pop38,e
900,pop38,d
900,pop36,a
900,pop36,d
900,pop36,b
900,pop36,e
900,pop36,c
900,pop31,a
900,pop31,b
900,pop31,c
900,pop31,d
900,pop31,e
900,pop57,b
900,pop57,c
900,pop57,a
900,pop28,b
900,pop28,e
900,pop28,a
900,pop28,d
900,pop28,c
900,pop22,d
900,pop22,e
900,pop22,b
900,pop22,a
900,pop26,a
900,pop26,c
900,pop26,b
900,pop26,d
900,pop24,c
900,pop24,b
900,pop24,a
900,pop24,e
900,pop24,d
900,pop44,d
900,pop44,a
900,pop44,b
900,pop44,e
900,pop44,c
900,pop37,b
900,pop37,a
900,pop37,d
900,pop37,c
900,pop37,e
900,pop43,a
900,pop43,c
900,pop39,a
900,pop39,c
900,pop50,a
900,pop50,b
900,pop50,e
900,pop50,c
900,pop35,b
900,pop35,a
900,pop35,c
900,pop27,b
900,pop27,d
900,pop34,b
1000.0,pop5,a
1000.0,pop5,b
1000.0,pop5,c
1000.0,pop5,d
1000.0,pop5,e
1000.0,pop19,b
1000.0,pop19,e
1000.0,pop19,a
1000.0,pop19,c
1000.0,pop19,d
1000.0,pop38,c
1000.0,pop38,d
1000.0,pop38,e
1000.0,pop38,a
1000.0,pop38,b
1000.0,pop36,a
1000.0,pop36,c
1000.0,pop36,e
1000.0,pop36,b
1000.0,pop36,d
1000.0,pop31,a
1000.0,pop31,e
1000.0,pop31,d
1000.0,pop31,b
1000.0,pop31,c
1000.0,pop57,c
1000.0,pop57,d
1000.0,pop57,a
1000.0,pop57,b
1000.0,pop57,e
1000.0,pop28,e
1000.0,pop28,b
1000.0,pop28,d
1000.0,pop28,a
1000.0,pop28,c
1000.0,pop22,d
1000.0,pop22,e
1000.0,pop22,b
1000.0,pop26,a
1000.0,pop26,b
1000.0,pop26,d
1000.0,pop26,e
1000.0,pop26,c
1000.0,pop24,c
1000.0,pop24,a
1000.0,pop24,b
1000.0,pop24,d
1000.0,pop24,e
1000.0,pop44,a
1000.0,pop44,c
1000.0,pop44,d
1000.0,pop44,e
1000.0,pop44,b
1000.0,pop37,b
1000.0,pop37,d
1000.0,pop37,c
1000.0,pop37,e
1000.0,pop37,a
1000.0,pop43,a
1000.0,pop43,c
1000.0,pop43,d
1000.0,pop21,a
1000.0,pop21,b
1000.0,pop21,d
1000.0,pop21,e
1000.0,pop21,c
1000.0,pop39,b
1000.0,pop50,a
1000.0,pop50,c
1000.0,pop50,b
1000.0,pop35,b
1000.0,pop35,c
1000.0,pop35,a
1000.0,pop27,a
1000.0,pop27,b
1000.0,pop27,c
1000.0,pop25,b
1000.0,pop25,c
1000.0,pop17,b
1000.0,pop17,a
1000.0,pop17,c
1000.0,pop34,b
1000.0,pop34,c
1000.0,pop56,c
