time,node,sf
100,pop11,a
100,pop11,b
100,pop11,c
100,pop14,a
100,pop14,e
100,pop14,c
100,pop14,b
100,pop14,d
100,pop31,b
100,pop31,a
100,pop31,c
100,pop36,c
100,pop36,a
100,pop36,b
100,pop36,d
100,pop36,e
100,pop37,e
100,pop37,b
100,pop37,a
100,pop37,c
100,pop38,a
100,pop38,d
100,pop38,e
100,pop38,b
100,pop38,c
100,pop42,b
100,pop42,a
100,pop42,c
100,pop42,e
100,pop42,d
100,pop50,b
100,pop50,d
100,pop50,a
100,pop50,c
100,pop50,e
100,pop24,a
100,pop24,b
100,pop24,c
100,pop48,e
100,pop48,a
100,pop48,d
100,pop48,b
100,pop48,c
100,pop19,a
100,pop19,b
100,pop19,c
100,pop44,c
100,pop44,b
100,pop44,a
100,pop52,a
100,pop52,e
100,pop52,d
100,pop52,b
100,pop52,c
100,pop55,a
100,pop6,b
100,pop6,c
100,pop6,a
100,pop6,d
100,pop13,b
100,pop13,c
100,pop13,a
100,pop22,b
100,pop22,a
100,pop22,d
100,pop22,e
100,pop22,c
100,pop21,b
100,pop21,c
100,pop27,d
100,pop27,e
100,pop27,b
100,pop28,a
100,pop28,b
100,pop28,c
100,pop25,a
100,pop25,c
100,pop12,e
100,pop3,b
100,pop3,c
100,pop3,a
100,pop8,a
100,pop40,b
200,pop11,b
200,pop11,a
200,pop11,c
200,pop11,d
200,pop11,e
200,pop14,a
200,pop14,c
200,pop14,e
200,pop14,b
200,pop31,a
200,pop31,d
200,pop31,b
200,pop31,c
200,pop36,c
200,pop36,a
200,pop36,b
200,pop36,d
200,pop36,e
200,pop37,b
200,pop37,c
200,pop37,a
200,pop37,e
200,pop37,d
200,pop38,b
200,pop38,c
200,pop38,a
200,pop38,d
200,pop38,e
200,pop42,a
200,pop42,c
200,pop42,b
200,pop50,b
200,pop50,d
200,pop50,a
200,pop50,e
200,pop50,c
200,pop24,c
200,pop24,b
200,pop24,a
200,pop48,b
200,pop48,e
200,pop48,d
200,pop48,a
200,pop48,c
200,pop19,b
200,pop19,d
200,pop19,e
200,pop19,a
200,pop19,c
200,pop44,a
200,pop44,b
200,pop44,c
200,pop44,e
200,pop52,b
200,pop52,d
200,pop52,c
200,pop52,a
200,pop52,e
200,pop55,a
200,pop55,c
200,pop6,a
200,pop6,c
200,pop6,d
200,pop6,b
200,pop13,a
200,pop13,c
200,pop13,b
200,pop49,a
200,pop49,b
200,pop22,a
200,pop22,b
200,pop22,e
200,pop22,c
200,pop21,a
200,pop21,c
200,pop21,b
200,pop27,c
200,pop28,a
200,pop28,b
200,pop28,c
200,pop25,a
200,pop12,b
200,pop12,a
200,pop3,c
200,pop3,d
200,pop3,e
200,pop3,b
200,pop8,b
200,pop8,a
200,pop40,a
200,pop40,c
200,pop41,d
200,pop41,b
200,pop41,e
200,pop41,a
200,pop41,c
200,pop5,c
200,pop5,e
200,pop5,b
300,pop11,c
300,pop11,b
300,pop11,a
300,pop11,d
300,pop14,a
300,pop14,b
300,pop14,c
300,pop14,d
300,pop14,e
300,pop31,c
300,pop31,e
300,pop31,b
300,pop31,d
300,pop31,a
300,pop36,c
300,pop36,b
300,pop36,a
300,pop36,d
300,pop36,e
300,pop37,a
300,pop37,b
300,pop37,c
300,pop38,d
300,pop38,e
300,pop38,b
300,pop38,a
300,pop42,a
300,pop42,c
300,pop42,b
300,pop42,e
300,pop42,d
300,pop50,b
300,pop50,d
300,pop50,a
300,pop50,e
300,pop50,c
300,pop24,b
300,pop24,c
300,pop48,a
300,pop48,b
300,pop48,c
300,pop19,b
300,pop19,a
300,pop19,d
300,pop19,e
300,pop44,c
300,pop44,b
300,pop44,d
300,pop52,b
300,pop52,c
300,pop52,d
300,pop52,e
300,pop52,a
300,pop55,e
300,pop55,a
300,pop55,b
300,pop55,c
300,pop6,a
300,pop6,b
300,pop6,c
300,pop13,a
300,pop13,c
300,pop13,d
300,pop13,e
300,pop49,c
300,pop49,b
300,pop49,a
300,pop22,c
300,pop22,b
300,pop22,a
300,pop21,c
300,pop21,a
300,pop21,b
300,pop27,d
300,pop28,b
300,pop28,a
300,pop28,c
300,pop28,e
300,pop25,c
300,pop25,b
300,pop12,d
300,pop12,e
300,pop12,a
300,pop3,d
300,pop3,b
300,pop3,e
300,pop3,c
300,pop8,b
300,pop8,c
300,pop8,e
300,pop8,a
300,pop40,c
300,pop40,b
300,pop40,a
300,pop41,a
300,pop41,c
300,pop41,b
300,pop41,e
300,pop5,a
400,pop11,a
400,pop11,b
400,pop11,d
400,pop14,e
400,pop14,b
400,pop14,a
400,pop14,d
400,pop31,b
400,pop31,a
400,pop31,d
400,pop31,e
400,pop31,c
400,pop36,b
400,pop36,a
400,pop36,c
400,pop36,d
400,pop36,e
400,pop37,e
400,pop37,d
400,pop38,d
400,pop38,e
400,pop42,a
400,pop42,c
400,pop42,b
400,pop42,e
400,pop42,d
400,pop50,b
400,pop50,a
400,pop50,c
400,pop50,e
400,pop50,d
400,pop24,c
400,pop24,a
400,pop24,d
400,pop24,e
400,pop24,b
400,pop48,d
400,pop48,b
400,pop48,a
400,pop48,c
400,pop48,e
400,pop19,b
400,pop19,a
400,pop19,c
400,pop19,d
400,pop44,b
400,pop44,e
400,pop44,d
400,pop44,c
400,pop52,d
400,pop52,c
400,pop52,e
400,pop52,a
400,pop52,b
400,pop55,b
400,pop55,e
400,pop55,a
400,pop55,c
400,pop6,a
400,pop6,c
400,pop6,d
400,pop6,e
400,pop6,b
400,pop13,e
400,pop13,b
400,pop49,a
400,pop49,e
400,pop49,b
400,pop49,d
400,pop49,c
400,pop22,a
400,pop22,e
400,pop22,b
400,pop22,c
400,pop21,b
