time,node,decisions
1000,pop0,1193
1000,pop1,973
1000,pop2,0
1000,pop3,1421
1000,pop4,1799
1000,pop5,935
1000,pop6,519
1000,pop7,1
1000,pop8,455
1000,pop9,0
1000,pop10,1807
1000,pop11,0
1000,pop12,0
1000,pop13,17
1000,pop14,1849
1000,pop15,241
1000,pop16,741
1000,pop17,698
1000,pop18,231
1000,pop19,95
1000,pop20,600
1000,pop21,238
1000,pop22,16
1000,pop23,2907
1000,pop24,1640
1000,pop25,401
1000,pop26,0
1000,pop27,1172
1000,pop28,1491
1000,pop29,124
1000,pop30,0
1000,pop31,507
1000,pop32,266
1000,pop33,33
1000,pop34,365
1000,pop35,473
1000,pop36,635
1000,pop37,1015
1000,pop38,247
1000,pop39,2302
1000,pop40,0
1000,pop41,227
1000,pop42,2706
1000,pop43,125
1000,pop44,1966
1000,pop45,268
1000,pop46,796
1000,pop47,645
1000,pop48,1401
1000,pop49,476
1000,pop50,3988
1000,pop51,2913
1000,pop52,2149
1000,pop53,4530
1000,pop54,1225
1000,pop55,941
1000,pop56,637
1000,pop57,224
