time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,19,0,0,19,0,0,0,2.6842105263157894,0,0.0,0,0,0.0,0.0
100,432,168,145,119,11.695028960829267,32.73747848253338,4.937146978814077,2.6550925925925926,4.817561807331629,13.081018518518519,20.083333333333332,13.494047619047619,0.236974628171478,0.05196096177632964
200,841,422,298,121,11.36067240841967,34.40677557948874,4.957868511930309,2.67538644470868,4.964328180737217,14.892984542211654,21.40521327014218,13.445497630331754,0.24654436152570475,0.05519776595947467
300,1249,691,451,107,11.776828629124356,34.7686125357249,4.975779844937904,2.6733386709367495,5.052740434332988,15.647718174539632,21.683068017366136,13.562952243125904,0.24997915538711388,0.05527490991916022
400,1676,939,629,108,11.57502739961225,34.54192236306765,4.983762281995796,2.6575178997613365,5.0291243533243914,15.660501193317423,21.43982960596379,13.401490947816827,0.25138059851375594,0.05528714855265644
500,2100,1208,772,120,11.74157244080914,34.863741391302646,4.989871264704087,2.662857142857143,5.07937696570316,16.15,21.73592715231788,13.610927152317881,0.253472811932757,0.05637214854809149
600,2518,1474,937,107,11.86689705064729,35.060739812147716,4.991624163808633,2.659650516282764,5.056798623063683,16.33518665607625,21.89009497964722,13.62754409769335,0.2547429428254746,0.057033929739608434
700,2954,1756,1085,113,11.839517252343455,35.15543135031991,4.996486543925134,2.660460392687881,5.090500574772704,16.489844278943806,21.988041002277903,13.73006833712984,0.2545785536159566,0.0573289509304636
800,3349,2015,1222,112,11.861592166943124,35.18653531165196,4.991807987494561,2.663780232905345,5.0743643488562835,16.626157061809494,21.988089330024813,13.835235732009926,0.2557159173401693,0.057080839147767445
900,3747,2285,1349,113,11.840702826273786,35.277523298157504,4.995483138976899,2.663464104617027,5.073642469855143,16.732052308513477,22.070459518599563,13.843763676148797,0.2565113836883975,0.057106861675681284
1000,4183,2543,1524,116,11.81621542555578,35.30709383345138,4.997703817193622,2.6633994740616784,5.068289139120959,16.678221372220893,22.101454974439637,13.861580810066851,0.25893274199768235,0.05730783586224525
