time,node,sf
100,pop9,b
100,pop9,c
100,pop9,d
100,pop9,e
100,pop9,a
100,pop11,e
100,pop11,b
100,pop11,c
100,pop11,a
100,pop11,d
100,pop19,a
100,pop19,b
100,pop19,d
100,pop19,e
100,pop19,c
100,pop45,e
100,pop45,a
100,pop45,d
100,pop45,b
100,pop45,c
100,pop54,a
100,pop54,b
100,pop54,c
100,pop54,e
100,pop54,d
100,pop56,d
100,pop56,e
100,pop60,a
100,pop60,e
100,pop60,b
100,pop76,b
100,pop76,d
100,pop76,e
100,pop76,a
100,pop76,c
100,pop81,e
100,pop81,a
100,pop81,b
100,pop81,d
100,pop81,c
100,pop96,d
100,pop96,e
100,pop96,b
100,pop96,a
100,pop100,d
100,pop100,a
100,pop100,b
100,pop100,c
100,pop100,e
100,pop110,c
100,pop110,b
100,pop110,d
100,pop110,a
100,pop110,e
100,pop112,b
100,pop112,c
100,pop112,a
100,pop112,d
100,pop112,e
100,pop120,b
100,pop120,d
100,pop120,c
100,pop120,e
100,pop120,a
100,pop130,a
100,pop130,c
100,pop130,e
100,pop130,d
100,pop130,b
100,pop133,a
100,pop133,c
100,pop133,b
100,pop133,d
100,pop140,d
100,pop140,b
100,pop140,a
100,pop140,c
100,pop146,a
100,pop146,e
100,pop146,d
100,pop146,b
100,pop146,c
100,pop5,a
100,pop5,c
100,pop5,b
100,pop5,d
100,pop41,a
100,pop41,d
100,pop41,e
100,pop41,c
100,pop41,b
100,pop50,b
100,pop50,c
100,pop50,a
100,pop50,d
100,pop50,e
100,pop36,d
100,pop36,a
100,pop36,c
100,pop36,b
100,pop36,e
100,pop92,a
100,pop92,b
100,pop92,c
100,pop25,c
100,pop25,a
100,pop25,d
100,pop25,b
100,pop25,e
100,pop16,a
100,pop16,b
100,pop16,c
100,pop144,d
100,pop144,a
100,pop144,b
100,pop144,c
100,pop144,e
100,pop79,a
100,pop79,b
100,pop79,c
100,pop79,e
100,pop79,d
100,pop33,b
100,pop33,c
100,pop33,d
100,pop33,e
100,pop33,a
100,pop141,c
100,pop141,e
100,pop141,b
100,pop141,a
100,pop141,d
100,pop101,b
100,pop101,a
100,pop101,c
100,pop128,a
100,pop128,c
100,pop128,b
100,pop128,d
100,pop128,e
100,pop44,c
100,pop44,b
100,pop44,a
100,pop124,b
100,pop124,a
100,pop124,c
100,pop124,e
100,pop124,d
100,pop72,a
100,pop72,b
100,pop72,e
100,pop72,d
100,pop86,b
100,pop86,c
100,pop86,d
100,pop86,a
100,pop86,e
100,pop77,a
100,pop77,c
100,pop95,c
100,pop95,d
100,pop95,b
100,pop95,a
100,pop2,c
100,pop2,d
100,pop2,a
100,pop2,b
100,pop2,e
100,pop70,a
100,pop70,b
100,pop70,d
100,pop70,e
100,pop70,c
100,pop109,b
100,pop109,d
100,pop42,b
100,pop42,a
100,pop42,c
100,pop148,b
100,pop148,a
100,pop148,e
100,pop148,c
100,pop91,b
100,pop91,c
100,pop91,a
100,pop91,e
100,pop98,b
100,pop98,c
100,pop66,b
100,pop66,c
100,pop66,a
100,pop66,e
100,pop0,a
100,pop0,b
100,pop53,c
100,pop53,b
100,pop53,a
100,pop119,b
100,pop119,a
100,pop119,c
100,pop134,d
100,pop82,b
100,pop82,a
200,pop9,d
200,pop9,e
200,pop9,a
200,pop9,b
200,pop11,c
200,pop11,d
200,pop11,a
200,pop11,e
200,pop11,b
200,pop19,c
200,pop19,b
200,pop19,a
200,pop19,d
200,pop19,e
200,pop45,a
200,pop45,b
200,pop45,c
200,pop45,d
200,pop45,e
200,pop54,c
200,pop54,a
200,pop54,b
200,pop54,d
200,pop56,b
200,pop56,c
200,pop56,d
200,pop56,e
200,pop56,a
200,pop60,e
200,pop60,b
200,pop60,a
200,pop60,c
200,pop76,a
200,pop76,c
200,pop76,b
200,pop81,c
200,pop81,e
200,pop81,a
200,pop81,d
200,pop81,b
200,pop96,b
200,pop96,d
200,pop96,e
200,pop96,a
200,pop96,c
200,pop100,a
200,pop100,b
200,pop100,c
200,pop100,d
200,pop100,e
200,pop110,d
200,pop110,b
200,pop110,c
200,pop110,e
200,pop110,a
200,pop112,b
200,pop112,a
200,pop112,c
200,pop120,b
200,pop120,d
