time,node,decisions
1000,pop0,0
1000,pop1,1
1000,pop2,1676
1000,pop3,1369
1000,pop4,319
1000,pop5,144
1000,pop6,188
1000,pop7,246
1000,pop8,242
1000,pop9,372
1000,pop10,604
1000,pop11,681
1000,pop12,2
1000,pop13,129
1000,pop14,422
1000,pop15,1532
1000,pop16,716
1000,pop17,1751
1000,pop18,1651
1000,pop19,255
1000,pop20,1536
1000,pop21,448
1000,pop22,258
1000,pop23,281
1000,pop24,1199
1000,pop25,1349
1000,pop26,517
1000,pop27,1211
1000,pop28,859
1000,pop29,2757
1000,pop30,599
1000,pop31,435
1000,pop32,542
1000,pop33,2496
1000,pop34,951
1000,pop35,619
1000,pop36,251
1000,pop37,246
1000,pop38,42
1000,pop39,614
1000,pop40,840
1000,pop41,2953
1000,pop42,38
1000,pop43,131
1000,pop44,1201
1000,pop45,999
1000,pop46,706
1000,pop47,0
1000,pop48,250
1000,pop49,997
1000,pop50,891
1000,pop51,1440
1000,pop52,612
1000,pop53,128
1000,pop54,713
1000,pop55,360
1000,pop56,1041
1000,pop57,494
1000,pop58,405
1000,pop59,179
1000,pop60,760
1000,pop61,2307
1000,pop62,806
1000,pop63,582
1000,pop64,793
1000,pop65,1383
1000,pop66,961
1000,pop67,848
1000,pop68,745
1000,pop69,623
1000,pop70,2917
1000,pop71,1296
1000,pop72,1189
1000,pop73,681
1000,pop74,353
1000,pop75,622
1000,pop76,17
1000,pop77,2290
1000,pop78,590
1000,pop79,1318
1000,pop80,182
1000,pop81,2157
1000,pop82,938
1000,pop83,350
1000,pop84,2
1000,pop85,489
1000,pop86,1369
1000,pop87,1167
1000,pop88,1247
1000,pop89,1163
1000,pop90,196
1000,pop91,417
1000,pop92,934
1000,pop93,1052
1000,pop94,3298
1000,pop95,1385
1000,pop96,632
1000,pop97,510
1000,pop98,715
1000,pop99,1479
1000,pop100,979
1000,pop101,552
1000,pop102,1948
1000,pop103,1558
1000,pop104,0
1000,pop105,1990
1000,pop106,251
1000,pop107,3423
1000,pop108,2151
1000,pop109,591
1000,pop110,3521
1000,pop111,367
1000,pop112,702
1000,pop113,224
1000,pop114,372
1000,pop115,19
1000,pop116,2055
1000,pop117,1360
1000,pop118,51
1000,pop119,148
1000,pop120,1312
1000,pop121,2335
1000,pop122,25
1000,pop123,3153
1000,pop124,2443
1000,pop125,4505
1000,pop126,1595
1000,pop127,1382
1000,pop128,2313
1000,pop129,2745
1000,pop130,3943
1000,pop131,5453
1000,pop132,1906
1000,pop133,1555
1000,pop134,1033
1000,pop135,475
1000,pop136,207
1000,pop137,116
1000,pop138,307
1000,pop139,4298
1000,pop140,1107
1000,pop141,2251
1000,pop142,1540
1000,pop143,2
1000,pop144,3386
1000,pop145,573
1000,pop146,401
1000,pop147,243
1000,pop148,1569
