time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,47,0,0,47,0,0,0,2.74468085106383,0,0.0,0,0,0.0,0.0
100,1107,322,17,768,37.012752376225244,51.782816858630554,4.968012423098112,2.6603432700993674,4.845521541950113,30.88527551942186,38.83229813664596,35.94409937888199,0.3484549427844876,0.1698069350338779
200,2131,1163,81,887,57.39110709653458,66.73445856783734,4.972363412075975,2.661191928671985,5.028617473262685,48.32050680431722,53.49011177987962,44.30266552020636,0.3794469932078967,0.2358782021022071
300,3158,2086,143,929,73.957721942071,73.80072304707876,4.98217852080376,2.6602279924002534,5.115303384896398,56.75427485750475,60.59779482262704,46.22722914669223,0.38435046912519877,0.26549309964786777
400,4206,3023,235,948,82.83581348667096,78.68686857117517,4.987484900791939,2.6623870660960534,5.156243185917894,61.84427009034712,65.43235196824347,47.277869665894805,0.3857189742386513,0.2813340818721945
500,5289,4027,319,943,81.4602946749146,81.2335679201431,4.984245673164642,2.667990168273776,5.187857196998408,64.70353564000756,67.96970449466104,47.880556245343925,0.3882595849667418,0.2913755581255276
600,6333,4975,417,941,85.09234296774207,82.97579983078431,4.9885476668750695,2.6685615032370125,5.1958912179078105,66.85330806884573,69.68301507537689,48.05688442211055,0.39139214802431294,0.2978347291684248
700,7352,5954,489,909,85.69768117250467,84.20670316558054,4.99622330838543,2.669069640914037,5.20311948327068,68.15152339499456,70.89553241518307,48.2979509573396,0.39202804190359447,0.2983245986062785
800,8382,6907,569,906,85.48706566525043,84.73476535609092,4.99604734587194,2.666905273204486,5.204565352781363,68.79253161536626,71.4119009700304,48.50962791371073,0.38967283208774345,0.2975190907585778
900,9404,7848,658,898,84.72642796467579,84.9830128258706,5.000601759554823,2.6655678434708636,5.214186303210635,69.32028923862187,71.64462283384302,48.593654434250766,0.3892327916897857,0.2978410941354184
1000,10471,8804,744,923,84.06194332528018,85.08816035880305,4.999185388597053,2.664310954063604,5.214839028088722,69.62763823894566,71.76374375283962,48.67526124488869,0.38831255793180514,0.29896902208137327
