time,node,sf
100,pop7,c
100,pop7,d
100,pop7,e
100,pop7,b
100,pop7,a
100,pop28,c
100,pop28,a
100,pop28,b
100,pop28,e
100,pop28,d
100,pop46,a
100,pop46,e
100,pop46,b
100,pop46,c
100,pop46,d
100,pop15,b
100,pop15,c
100,pop15,a
100,pop15,e
100,pop20,b
100,pop20,c
100,pop20,a
100,pop20,e
100,pop20,d
100,pop52,a
100,pop52,c
100,pop52,b
100,pop52,e
100,pop32,a
100,pop32,d
100,pop32,b
100,pop32,e
100,pop32,c
100,pop12,b
100,pop12,a
100,pop12,d
100,pop12,e
100,pop12,c
100,pop30,a
100,pop30,b
100,pop30,d
100,pop30,e
100,pop30,c
100,pop34,d
100,pop34,a
100,pop34,e
100,pop34,b
100,pop34,c
100,pop43,c
100,pop43,a
100,pop43,b
100,pop2,b
100,pop2,a
100,pop2,c
100,pop2,d
100,pop2,e
100,pop25,b
100,pop25,d
100,pop25,e
100,pop35,e
100,pop35,a
100,pop35,b
100,pop35,c
100,pop56,b
100,pop56,c
100,pop22,b
100,pop22,a
100,pop22,d
100,pop22,c
100,pop22,e
100,pop41,b
100,pop41,c
100,pop41,a
100,pop41,d
100,pop41,e
100,pop50,c
100,pop50,a
100,pop50,b
100,pop48,a
100,pop48,b
100,pop48,c
100,pop24,a
100,pop24,d
100,pop24,b
100,pop24,e
100,pop24,c
100,pop44,c
100,pop44,b
100,pop17,a
100,pop0,b
100,pop0,a
100,pop0,c
100,pop31,a
200,pop7,b
200,pop7,a
200,pop7,d
200,pop7,e
200,pop7,c
200,pop28,b
200,pop28,a
200,pop28,c
200,pop28,d
200,pop28,e
200,pop46,a
200,pop46,b
200,pop46,c
200,pop46,d
200,pop46,e
200,pop15,b
200,pop15,a
200,pop15,c
200,pop15,d
200,pop15,e
200,pop20,a
200,pop20,b
200,pop20,c
200,pop52,c
200,pop52,a
200,pop52,b
200,pop52,d
200,pop52,e
200,pop32,c
200,pop32,b
200,pop32,a
200,pop32,d
200,pop32,e
200,pop12,b
200,pop12,d
200,pop12,c
200,pop12,e
200,pop30,c
200,pop30,b
200,pop30,a
200,pop30,e
200,pop34,d
200,pop34,e
200,pop43,a
200,pop43,b
200,pop43,d
200,pop43,c
200,pop43,e
200,pop2,d
200,pop2,b
200,pop2,e
200,pop25,b
200,pop25,c
200,pop25,a
200,pop25,d
200,pop25,e
200,pop35,b
200,pop35,a
200,pop35,d
200,pop35,e
200,pop35,c
200,pop56,d
200,pop56,a
200,pop56,e
200,pop56,b
200,pop56,c
200,pop22,b
200,pop22,e
200,pop22,c
200,pop22,a
200,pop22,d
200,pop41,b
200,pop41,c
200,pop41,e
200,pop50,d
200,pop50,e
200,pop48,d
200,pop48,e
200,pop24,d
200,pop24,a
200,pop24,b
200,pop24,e
200,pop44,c
200,pop53,b
200,pop53,a
