time,node,sf
100,pop4,d
100,pop4,a
100,pop4,b
100,pop4,e
100,pop4,c
100,pop21,b
100,pop21,a
100,pop21,c
100,pop21,d
100,pop21,e
100,pop22,a
100,pop22,b
100,pop22,d
100,pop22,c
100,pop22,e
100,pop23,a
100,pop23,b
100,pop23,c
100,pop23,d
100,pop23,e
100,pop28,a
100,pop28,b
100,pop28,c
100,pop36,d
100,pop36,b
100,pop36,e
100,pop36,c
100,pop36,a
100,pop47,a
100,pop47,b
100,pop47,d
100,pop47,c
100,pop47,e
100,pop55,a
100,pop55,b
100,pop55,c
100,pop55,d
100,pop55,e
100,pop57,b
100,pop57,d
100,pop57,a
100,pop57,e
100,pop57,c
100,pop1,a
100,pop1,b
100,pop1,c
100,pop1,d
100,pop1,e
100,pop50,b
100,pop50,a
100,pop50,e
100,pop50,d
100,pop50,c
100,pop31,d
100,pop31,a
100,pop31,e
100,pop31,b
100,pop31,c
100,pop19,b
100,pop19,a
100,pop19,d
100,pop19,c
100,pop19,e
100,pop40,d
100,pop40,e
100,pop40,b
100,pop40,a
100,pop10,e
100,pop10,c
100,pop10,a
100,pop10,d
100,pop52,d
100,pop52,c
100,pop52,e
100,pop52,b
100,pop52,a
100,pop45,b
100,pop45,d
100,pop45,a
100,pop45,e
100,pop45,c
100,pop5,b
100,pop5,a
100,pop5,c
100,pop0,c
100,pop24,b
100,pop48,b
100,pop48,a
100,pop48,c
100,pop44,c
100,pop44,b
200,pop4,d
200,pop4,a
200,pop4,b
200,pop4,e
200,pop4,c
200,pop21,b
200,pop21,a
200,pop21,c
200,pop21,d
200,pop21,e
200,pop22,a
200,pop22,b
200,pop22,d
200,pop22,c
200,pop22,e
200,pop23,a
200,pop23,b
200,pop23,c
200,pop23,d
200,pop23,e
200,pop28,a
200,pop28,b
200,pop28,c
200,pop28,d
200,pop36,d
200,pop36,b
200,pop36,e
200,pop36,c
200,pop36,a
200,pop47,a
200,pop47,b
200,pop47,d
200,pop47,c
200,pop47,e
200,pop55,a
200,pop55,b
200,pop55,c
200,pop55,d
200,pop55,e
200,pop57,b
200,pop57,d
200,pop57,a
200,pop57,e
200,pop57,c
200,pop1,a
200,pop1,b
200,pop1,c
200,pop1,d
200,pop1,e
200,pop50,b
200,pop50,a
200,pop50,e
200,pop50,d
200,pop50,c
