time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,20,0,0,20,0,0,0,2.7,0,0.0,0,0,0.0,0.0
100,476,253,0,223,0,35.438447812655006,5.021193915177221,2.6470588235294117,5.455555555555556,18.567226890756302,22.24505928853755,14.233201581027668,0.31359682651184884,0.09578589974036374
200,934,709,0,225,0,38.73045743572352,4.998334821365166,2.6488222698072805,5.585250177851553,25.217344753747323,25.696755994358252,14.723554301833568,0.3294119458128034,0.12057392094769022
300,1376,1143,0,233,0,39.988907203664525,5.012563609857746,2.653343023255814,5.5468728235130245,28.93968023255814,26.718285214348207,14.78827646544182,0.3400895730252696,0.13752095160119054
400,1827,1572,0,255,0,40.44383161824525,5.005498993933502,2.6590038314176243,5.494317087266423,31.221674876847292,27.16412213740458,14.866412213740459,0.34273326258155823,0.1506970731142637
500,2246,2011,0,235,0,40.76088676399419,5.006721897578529,2.6607301869991096,5.431857142857143,33.858414959928766,27.487319741422176,14.891098955743411,0.3429233455384752,0.1671700025084509
600,2684,2420,0,264,0,40.72349027324655,5.007446860814697,2.6661698956780926,5.360534291166236,35.58643815201192,27.42190082644628,14.888842975206611,0.3392048820950347,0.17881214483181745
700,3126,2847,0,279,0,40.93706700600711,5.004443284509954,2.666986564299424,5.323939833272925,37.591170825335894,27.621004566210047,14.885844748858448,0.3413032120952908,0.19239913860461755
800,3589,3255,3,331,534.2281632460099,41.031715918195395,5.004409661504169,2.6620228475898577,5.29262959472196,39.11590972415715,27.746236559139785,14.91889400921659,0.3427228182359463,0.20545047674159048
900,4033,3711,3,319,534.2281632460099,41.376491952479974,5.00174992747395,2.664765683114307,5.264997924715048,40.88891643937516,28.080301805443277,14.936135812449475,0.343099582576008,0.2174595956812071
1000,4459,4146,3,310,534.2281632460099,41.5194222591463,4.996978303989799,2.665171563130747,5.238041285544533,42.5093070195111,28.22961890979257,14.915098890496864,0.34170117163923736,0.22739795832830836
