time,node,sf
100,pop7,b
100,pop7,a
100,pop7,c
100,pop7,d
100,pop7,e
100,pop17,a
100,pop17,b
100,pop17,c
100,pop17,d
100,pop17,e
100,pop19,b
100,pop19,d
100,pop19,e
100,pop19,a
100,pop19,c
100,pop36,a
100,pop36,d
100,pop36,e
100,pop36,b
100,pop36,c
100,pop39,b
100,pop39,a
100,pop39,c
100,pop39,d
100,pop39,e
100,pop18,a
100,pop18,b
100,pop18,c
100,pop18,d
100,pop28,b
100,pop51,b
100,pop51,a
100,pop51,c
100,pop38,c
100,pop38,a
100,pop10,a
100,pop10,d
100,pop10,c
100,pop10,e
100,pop31,a
100,pop31,c
100,pop6,b
100,pop6,a
100,pop22,a
100,pop22,b
100,pop11,b
100,pop11,e
100,pop53,d
100,pop53,c
100,pop53,e
100,pop53,b
100,pop43,c
100,pop1,c
100,pop4,c
100,pop44,e
100,pop44,c
100,pop29,a
100,pop40,c
100,pop20,e
100,pop20,d
100,pop20,a
100,pop52,c
100,pop3,b
100,pop30,b
100,pop42,e
100,pop48,c
200,pop7,b
200,pop7,a
200,pop7,c
200,pop7,d
200,pop7,e
200,pop17,a
200,pop17,b
200,pop17,c
200,pop17,d
200,pop17,e
200,pop19,b
200,pop19,d
200,pop19,e
200,pop19,a
200,pop19,c
200,pop36,a
200,pop36,d
200,pop36,e
200,pop36,b
200,pop36,c
200,pop39,b
200,pop39,a
200,pop39,c
200,pop39,d
200,pop39,e
200,pop18,a
200,pop18,b
200,pop18,c
200,pop18,d
200,pop28,b
200,pop28,a
200,pop51,b
200,pop51,a
200,pop51,c
200,pop51,e
200,pop51,d
200,pop38,c
200,pop38,a
200,pop38,d
200,pop38,b
200,pop10,a
200,pop10,d
200,pop10,c
200,pop10,e
200,pop10,b
200,pop31,a
200,pop31,c
200,pop31,d
200,pop31,b
200,pop6,b
200,pop6,a
200,pop22,a
200,pop22,b
200,pop11,b
200,pop11,e
200,pop53,d
200,pop53,c
200,pop53,e
200,pop53,b
200,pop53,a
200,pop43,c
200,pop43,a
200,pop1,c
200,pop4,c
200,pop4,b
200,pop44,e
200,pop44,c
200,pop29,a
200,pop40,c
200,pop20,e
200,pop20,d
200,pop20,a
200,pop52,c
200,pop52,e
200,pop3,b
200,pop3,c
200,pop30,b
200,pop30,a
200,pop42,e
200,pop48,c
200,pop25,e
200,pop46,e
200,pop45,d
200,pop45,b
200,pop50,b
200,pop50,a
200,pop14,c
300,pop7,b
300,pop7,a
300,pop7,c
300,pop7,d
300,pop7,e
300,pop17,a
300,pop17,b
300,pop17,c
300,pop17,d
300,pop17,e
300,pop19,b
300,pop19,d
300,pop19,e
300,pop19,a
300,pop19,c
300,pop36,a
300,pop36,d
300,pop36,e
300,pop36,b
300,pop36,c
300,pop39,b
300,pop39,a
300,pop39,c
300,pop39,d
300,pop39,e
300,pop18,a
300,pop18,b
300,pop18,c
300,pop18,d
300,pop28,b
300,pop28,a
300,pop51,b
300,pop51,a
300,pop51,c
300,pop51,e
300,pop51,d
300,pop38,c
300,pop38,a
300,pop38,d
300,pop38,b
300,pop10,a
300,pop10,d
300,pop10,c
300,pop10,e
300,pop10,b
300,pop31,a
300,pop31,c
300,pop31,d
300,pop31,b
300,pop31,e
300,pop6,b
300,pop6,a
300,pop22,a
300,pop22,b
300,pop11,b
300,pop11,e
300,pop53,d
300,pop53,c
300,pop53,e
300,pop53,b
300,pop53,a
300,pop43,c
300,pop43,a
300,pop1,c
300,pop4,c
300,pop4,b
300,pop44,e
300,pop44,c
300,pop44,d
300,pop29,a
300,pop40,c
300,pop20,e
300,pop20,d
300,pop20,a
300,pop52,c
300,pop52,e
300,pop3,b
300,pop3,c
300,pop3,a
300,pop30,b
300,pop30,a
300,pop42,e
300,pop48,c
300,pop25,e
300,pop46,e
