flow,node,dec_count,dec_time_avg,dec_time_std
1,global,1,0.37497949600219727,0.0
2,global,1,0.5017075538635254,0.0
3,global,1,0.3667302131652832,0.0
4,global,1,0.22119927406311035,0.0
5,global,1,0.4099271297454834,0.0
6,global,1,0.4563283920288086,0.0
7,global,1,0.40203332901000977,0.0
8,global,1,0.3862147331237793,0.0
9,global,1,0.4556450843811035,0.0
10,global,1,0.3497917652130127,0.0
11,global,1,0.3716557025909424,0.0
12,global,1,0.4259982109069824,0.0
13,global,1,0.42400097846984863,0.0
14,global,1,0.4205434322357178,0.0
15,global,1,0.5206148624420166,0.0
16,global,1,0.24477124214172363,0.0
17,global,1,0.2566659450531006,0.0
18,global,1,0.3965277671813965,0.0
19,global,1,0.4174501895904541,0.0
20,global,1,0.42816638946533203,0.0
21,global,1,0.5014057159423828,0.0
22,global,1,0.41667890548706055,0.0
23,global,1,0.33367252349853516,0.0
24,global,1,0.4779324531555176,0.0
25,global,1,0.4593229293823242,0.0
26,global,1,0.4539792537689209,0.0
27,global,1,0.6160309314727783,0.0
28,global,1,0.42281055450439453,0.0
29,global,1,0.4593358039855957,0.0
30,global,1,0.4671010971069336,0.0
31,global,1,0.5110483169555664,0.0
32,global,1,0.46865248680114746,0.0
33,global,1,0.5319390296936035,0.0
34,global,1,0.4121882915496826,0.0
35,global,1,0.518333911895752,0.0
36,global,1,0.5297861099243164,0.0
37,global,1,0.476146936416626,0.0
38,global,1,0.47287416458129883,0.0
39,global,1,0.41978001594543457,0.0
40,global,1,0.5090279579162598,0.0
41,global,1,0.41359543800354004,0.0
42,global,1,0.4281187057495117,0.0
43,global,1,0.42694616317749023,0.0
44,global,1,0.48816967010498047,0.0
45,global,1,0.489398717880249,0.0
46,global,1,0.5118532180786133,0.0
47,global,1,0.5303130149841309,0.0
48,global,1,0.46501851081848145,0.0
49,global,1,0.5232162475585938,0.0
50,global,1,0.5386159420013428,0.0
51,global,1,0.42337942123413086,0.0
52,global,1,0.4469761848449707,0.0
53,global,1,0.4985318183898926,0.0
54,global,1,0.4296133518218994,0.0
55,global,1,0.4756033420562744,0.0
56,global,1,0.4179677963256836,0.0
