time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.6363636363636362,0,0.0,0,0,0.0,0.0
100,260,123,40,97,14.172727293137722,38.77035081371692,4.965124597194403,2.6576923076923076,6.90546528803545,17.98076923076923,25.723577235772357,18.195121951219512,0.14730025773195832,0.043107161196034256
200,521,327,90,104,14.103196981806681,40.55824218306294,4.98227976287074,2.6660268714011517,6.99231262011531,20.950095969289826,27.440366972477065,19.07033639143731,0.1535254520440249,0.046876021108942456
300,784,531,145,108,15.236001056173759,40.726648421703715,4.986725923424219,2.6517857142857144,6.948820471811276,22.167091836734695,27.504708097928436,18.902071563088512,0.15553360672134414,0.0479781933398175
400,1027,740,194,93,15.045555412646918,40.83581393167812,4.983280879740781,2.6543330087633885,6.957800891530461,22.79746835443038,27.69054054054054,19.106756756756756,0.15553208826614703,0.048134651391523085
500,1243,929,229,85,15.10515316091429,40.97883435336491,4.981595370995343,2.664521319388576,6.99037072701011,23.36122284794851,27.822389666307856,19.247578040904198,0.15275958733438721,0.047319213858489605
600,1493,1119,285,89,15.601151802498702,40.98204068802498,4.992450482960635,2.6563965170797053,7.006401280256052,23.459477561955794,27.770330652368187,19.300268096514746,0.1530552003140199,0.04737234300191886
700,1771,1341,336,94,15.230453124843352,40.96651584405057,4.999707845485095,2.6595143986448333,6.997649429147079,23.533596837944664,27.739746457867263,19.360924683072334,0.15432029919080123,0.04774651941490966
800,2020,1543,387,90,15.092069192593904,40.88402063139115,5.0035806715288595,2.6653465346534655,6.997651548510201,23.60148514851485,27.61697990926766,19.206740116655865,0.15440778101999933,0.04741607041992404
900,2254,1737,426,91,15.031812059957746,41.01670290781924,5.007963431795969,2.663708961845608,7.0364877280483,23.78482697426797,27.734024179620036,19.214162348877373,0.15375837573157775,0.04728146700791722
1000,2488,1933,477,78,14.918629302024657,41.02233659970228,5.003842819127058,2.660369774919614,7.034854771784232,23.850080385852092,27.75012933264356,19.252974650801864,0.15289024500090112,0.04699550182874161
