time,node,sf
100,pop14,d
100,pop14,e
100,pop14,b
100,pop14,a
100,pop14,c
100,pop29,a
100,pop29,b
100,pop29,c
100,pop45,d
100,pop45,e
100,pop45,b
100,pop45,a
100,pop45,c
100,pop55,d
100,pop55,b
100,pop55,e
100,pop55,a
100,pop55,c
100,pop4,d
100,pop4,e
100,pop4,b
100,pop4,a
100,pop4,c
100,pop50,a
100,pop50,b
100,pop50,d
100,pop50,c
100,pop50,e
100,pop17,d
100,pop17,b
100,pop17,e
100,pop17,a
100,pop17,c
100,pop53,b
100,pop53,a
100,pop53,c
100,pop53,d
100,pop53,e
100,pop51,a
100,pop51,b
100,pop51,c
100,pop51,d
100,pop51,e
100,pop8,d
100,pop8,a
100,pop8,e
100,pop8,c
100,pop8,b
100,pop46,d
100,pop46,e
100,pop46,c
100,pop46,b
100,pop46,a
100,pop9,d
100,pop9,e
100,pop9,b
100,pop9,c
100,pop23,b
100,pop23,a
100,pop23,d
100,pop52,a
100,pop52,d
100,pop52,c
100,pop52,e
100,pop52,b
100,pop33,b
100,pop33,a
100,pop33,e
100,pop36,b
100,pop36,a
100,pop36,e
100,pop36,c
100,pop47,d
100,pop47,e
100,pop47,c
100,pop47,b
100,pop47,a
100,pop26,a
100,pop26,c
100,pop26,e
100,pop26,b
100,pop35,c
100,pop35,a
100,pop1,c
100,pop1,d
100,pop1,b
100,pop57,b
100,pop57,a
100,pop57,c
100,pop20,e
100,pop20,b
100,pop20,a
100,pop20,c
100,pop12,b
100,pop12,e
100,pop12,a
100,pop0,e
100,pop0,a
100,pop7,b
100,pop19,a
100,pop13,c
200,pop14,d
200,pop14,e
200,pop14,b
200,pop14,a
200,pop14,c
200,pop29,a
200,pop29,b
200,pop29,c
200,pop45,d
200,pop45,e
200,pop45,b
200,pop45,a
200,pop45,c
200,pop55,d
200,pop55,b
200,pop55,e
200,pop55,a
200,pop55,c
200,pop4,d
200,pop4,e
200,pop4,b
200,pop4,a
200,pop4,c
200,pop50,a
200,pop50,b
200,pop50,d
200,pop50,c
200,pop50,e
200,pop17,d
200,pop17,b
200,pop17,e
200,pop17,a
200,pop17,c
200,pop53,b
200,pop53,a
200,pop53,c
200,pop53,d
200,pop53,e
200,pop51,a
200,pop51,b
200,pop51,c
200,pop51,d
200,pop51,e
200,pop8,d
200,pop8,a
200,pop8,e
200,pop8,c
200,pop8,b
200,pop46,d
200,pop46,e
200,pop46,c
200,pop46,b
200,pop46,a
200,pop9,d
200,pop9,e
200,pop9,b
200,pop9,c
200,pop9,a
200,pop23,b
200,pop23,a
200,pop23,d
200,pop52,a
200,pop52,d
200,pop52,c
200,pop52,e
200,pop52,b
200,pop33,b
200,pop33,a
200,pop33,e
200,pop33,d
200,pop36,b
200,pop36,a
200,pop36,e
200,pop36,c
200,pop36,d
200,pop47,d
200,pop47,e
200,pop47,c
200,pop47,b
200,pop47,a
200,pop26,a
200,pop26,c
200,pop26,e
200,pop26,b
200,pop35,c
200,pop35,a
200,pop35,b
200,pop1,c
200,pop1,d
200,pop1,b
200,pop1,e
200,pop1,a
200,pop57,b
200,pop57,a
200,pop57,c
200,pop57,e
200,pop57,d
200,pop20,e
200,pop20,b
200,pop20,a
200,pop20,c
200,pop12,b
200,pop12,e
200,pop12,a
200,pop0,e
200,pop0,a
200,pop0,c
200,pop7,b
200,pop19,a
200,pop13,c
300,pop14,d
300,pop14,e
300,pop14,b
300,pop14,a
300,pop14,c
300,pop29,a
300,pop29,b
300,pop29,c
300,pop29,d
300,pop45,d
300,pop45,e
300,pop45,b
300,pop45,a
300,pop45,c
300,pop55,d
300,pop55,b
300,pop55,e
300,pop55,a
300,pop55,c
300,pop4,d
300,pop4,e
300,pop4,b
300,pop4,a
300,pop4,c
300,pop50,a
300,pop50,b
300,pop50,d
300,pop50,c
300,pop50,e
300,pop17,d
300,pop17,b
300,pop17,e
300,pop17,a
300,pop17,c
300,pop53,b
300,pop53,a
300,pop53,c
300,pop53,d
300,pop53,e
300,pop51,a
300,pop51,b
300,pop51,c
300,pop51,d
300,pop51,e
300,pop8,d
300,pop8,a
300,pop8,e
300,pop8,c
300,pop8,b
