,flow,node,dec_count,dec_time_avg,dec_time_std
0,1,pop23,2,0.0001804828643798828,3.0994415283203125e-06
1,1,pop24,1,0.00016808509826660156,0.0
2,1,pop14,1,0.0001685619354248047,0.0
3,1,pop50,4,0.00020551681518554688,6.615138196493716e-05
4,1,pop51,1,0.00016641616821289062,0.0
5,1,pop53,1,0.0001723766326904297,0.0
6,1,pop41,1,0.00018405914306640625,0.0
7,2,pop26,2,0.0001569986343383789,5.960464477539062e-07
8,2,pop50,3,0.00021918614705403647,8.120298646570665e-05
9,2,pop55,1,0.00016736984252929688,0.0
10,2,pop52,1,0.00015926361083984375,0.0
11,2,pop48,1,0.0001819133758544922,0.0
12,2,pop49,1,0.00016546249389648438,0.0
13,2,pop2,1,0.00016117095947265625,0.0
14,3,pop42,5,0.00018301010131835938,6.33295757620099e-05
15,3,pop53,1,0.0001621246337890625,0.0
16,3,pop51,1,0.0001590251922607422,0.0
17,3,pop50,1,0.00016188621520996094,0.0
18,3,pop35,1,0.0001583099365234375,0.0
19,4,pop47,2,0.000148773193359375,1.6689300537109375e-06
20,4,pop51,4,0.00020819902420043945,6.777703363418131e-05
21,4,pop50,1,0.0001678466796875,0.0
22,4,pop17,1,0.00016021728515625,0.0
23,4,pop25,1,0.00016164779663085938,0.0
24,5,pop42,5,0.00018410682678222657,5.3544672757552305e-05
25,5,pop53,1,0.00015878677368164062,0.0
26,5,pop51,1,0.00015974044799804688,0.0
27,5,pop46,1,0.00016355514526367188,0.0
28,5,pop45,1,0.00015878677368164062,0.0
29,6,pop26,2,0.00017070770263671875,7.3909759521484375e-06
30,6,pop50,1,0.000171661376953125,0.0
31,6,pop51,4,0.00020444393157958984,5.7687566464896574e-05
32,6,pop10,3,0.00018421808878580728,9.838598801888767e-06
33,6,pop11,3,0.00022904078165690103,7.4403491234533e-05
34,7,pop47,2,0.0001468658447265625,3.0279159545898438e-05
35,7,pop53,3,0.00019749005635579428,3.807554578068324e-05
36,7,pop41,1,0.0001697540283203125,0.0
37,8,pop23,2,0.00018310546875,3.0994415283203125e-06
38,8,pop24,1,0.00017070770263671875,0.0
39,8,pop14,1,0.00016880035400390625,0.0
40,8,pop50,2,0.000164031982421875,3.5762786865234375e-06
41,8,pop51,1,0.0001773834228515625,0.0
42,8,pop46,2,0.0001703500747680664,8.344650268554688e-07
43,8,pop45,2,0.0002923011779785156,6.794929504394531e-05
44,9,pop26,2,0.00017321109771728516,1.5139579772949219e-05
45,9,pop50,4,0.00019925832748413086,5.771019467300191e-05
46,9,pop51,1,0.00017499923706054688,0.0
47,9,pop53,1,0.000179290771484375,0.0
48,10,pop42,4,0.0001894235610961914,5.7868589949839254e-05
49,10,pop53,1,0.00015974044799804688,0.0
50,10,pop51,1,0.00016546249389648438,0.0
51,10,pop22,1,0.00016760826110839844,0.0
52,11,pop42,2,0.0001398324966430664,3.993511199951172e-05
53,11,pop53,2,0.0001621246337890625,2.384185791015625e-07
