,flow,node,dec_count,dec_time_avg,dec_time_std
0,1,pop23,2,0.0017158985137939453,0.0014197826385498047
1,1,pop21,1,0.0002846717834472656,0.0
2,1,pop22,4,0.0003656148910522461,7.422929953583011e-05
3,1,pop51,1,0.00033593177795410156,0.0
4,1,pop53,1,0.0003387928009033203,0.0
5,1,pop41,1,0.0003228187561035156,0.0
6,2,pop26,2,0.0014961957931518555,0.001217484474182129
7,2,pop50,1,0.0002899169921875,0.0
8,2,pop51,2,0.0003064870834350586,8.225440979003906e-06
9,2,pop22,3,0.00039196014404296875,0.00010217582984046948
10,2,pop52,1,0.0003466606140136719,0.0
11,2,pop48,1,0.000316619873046875,0.0
12,2,pop49,1,0.0003228187561035156,0.0
13,2,pop2,1,0.0003223419189453125,0.0
14,3,pop42,2,0.0014461278915405273,0.001174330711364746
15,3,pop53,2,0.00030541419982910156,2.47955322265625e-05
16,3,pop7,4,0.0003619194030761719,8.874409036447327e-05
17,3,pop51,1,0.00030922889709472656,0.0
18,3,pop50,1,0.00034236907958984375,0.0
19,3,pop35,1,0.0003185272216796875,0.0
20,4,pop47,2,0.0014209747314453125,0.0011458396911621094
21,4,pop51,2,0.00030112266540527344,2.3126602172851562e-05
22,4,pop22,4,0.0003579854965209961,8.707771461719973e-05
23,4,pop50,1,0.0003230571746826172,0.0
24,4,pop17,1,0.0003218650817871094,0.0
25,4,pop25,1,0.00032639503479003906,0.0
26,5,pop42,2,0.0015105009078979492,0.0012069940567016602
27,5,pop53,2,0.0002859830856323242,9.417533874511719e-06
28,5,pop7,4,0.0003546476364135742,7.173477810704569e-05
29,5,pop51,1,0.0003154277801513672,0.0
30,5,pop46,1,0.00032973289489746094,0.0
31,5,pop45,1,0.00031757354736328125,0.0
32,6,pop26,2,0.001465439796447754,0.0011652708053588867
33,6,pop50,4,0.0003616809844970703,8.532970635721882e-05
34,6,pop51,1,0.0003161430358886719,0.0
35,6,pop10,1,0.0003361701965332031,0.0
36,6,pop11,1,0.00031280517578125,0.0
37,7,pop47,2,0.001438736915588379,0.001125931739807129
38,7,pop51,2,0.0003134012222290039,1.7762184143066406e-05
39,7,pop22,3,0.0003712972005208333,8.036022694699047e-05
40,7,pop53,1,0.00034308433532714844,0.0
41,7,pop41,1,0.0003333091735839844,0.0
42,8,pop26,2,0.0015121698379516602,0.0012007951736450195
43,8,pop50,4,0.00036466121673583984,9.293623799723685e-05
44,8,pop51,1,0.0003170967102050781,0.0
45,8,pop46,1,0.0003170967102050781,0.0
46,8,pop45,1,0.0003342628479003906,0.0
47,9,pop47,2,0.0014775991439819336,0.0011681318283081055
