time,node,decisions
1000,pop0,14
1000,pop1,1197
1000,pop2,234
1000,pop3,14
1000,pop4,1443
1000,pop5,7
1000,pop6,1092
1000,pop7,401
1000,pop8,220
1000,pop9,626
1000,pop10,1968
1000,pop11,17
1000,pop12,1420
1000,pop13,163
1000,pop14,2083
1000,pop15,453
1000,pop16,1136
1000,pop17,3097
1000,pop18,1170
1000,pop19,1779
1000,pop20,1432
1000,pop21,940
1000,pop22,1292
1000,pop23,1418
1000,pop24,3267
1000,pop25,390
1000,pop26,0
1000,pop27,751
1000,pop28,215
1000,pop29,0
1000,pop30,226
1000,pop31,128
1000,pop32,2137
1000,pop33,1210
1000,pop34,204
1000,pop35,436
1000,pop36,299
1000,pop37,980
1000,pop38,1117
1000,pop39,314
1000,pop40,1202
1000,pop41,750
1000,pop42,206
1000,pop43,532
1000,pop44,1983
1000,pop45,501
1000,pop46,445
1000,pop47,543
1000,pop48,1246
1000,pop49,405
1000,pop50,5200
1000,pop51,4705
1000,pop52,3597
1000,pop53,4322
1000,pop54,913
1000,pop55,1288
1000,pop56,612
1000,pop57,205
