time,node,decisions
1000,pop0,535
1000,pop1,844
1000,pop2,1243
1000,pop3,781
1000,pop4,684
1000,pop5,662
1000,pop6,238
1000,pop7,62
1000,pop8,87
1000,pop9,68
1000,pop10,577
1000,pop11,2937
1000,pop12,193
1000,pop13,211
1000,pop14,501
1000,pop15,1351
1000,pop16,1118
1000,pop17,2581
1000,pop18,1245
1000,pop19,124
1000,pop20,5900
1000,pop21,568
1000,pop22,359
1000,pop23,369
1000,pop24,856
1000,pop25,684
1000,pop26,571
1000,pop27,925
1000,pop28,439
1000,pop29,1714
1000,pop30,225
1000,pop31,433
1000,pop32,1599
1000,pop33,2392
1000,pop34,1337
1000,pop35,1454
1000,pop36,474
1000,pop37,361
1000,pop38,977
1000,pop39,548
1000,pop40,1641
1000,pop41,2371
1000,pop42,488
1000,pop43,228
1000,pop44,1009
1000,pop45,871
1000,pop46,219
1000,pop47,2
1000,pop48,1024
1000,pop49,251
1000,pop50,462
1000,pop51,3632
1000,pop52,439
1000,pop53,437
1000,pop54,418
1000,pop55,829
1000,pop56,589
1000,pop57,258
1000,pop58,1269
1000,pop59,300
1000,pop60,5
1000,pop61,2426
1000,pop62,1168
1000,pop63,793
1000,pop64,715
1000,pop65,777
1000,pop66,1517
1000,pop67,1689
1000,pop68,4
1000,pop69,594
1000,pop70,3241
1000,pop71,319
1000,pop72,1138
1000,pop73,734
1000,pop74,198
1000,pop75,246
1000,pop76,261
1000,pop77,1236
1000,pop78,389
1000,pop79,2458
1000,pop80,1256
1000,pop81,2849
1000,pop82,403
1000,pop83,829
1000,pop84,508
1000,pop85,288
1000,pop86,4174
1000,pop87,1855
1000,pop88,210
1000,pop89,223
1000,pop90,60
1000,pop91,2523
1000,pop92,3100
1000,pop93,2039
1000,pop94,5010
1000,pop95,1797
1000,pop96,260
1000,pop97,758
1000,pop98,1767
1000,pop99,2565
1000,pop100,2474
1000,pop101,1479
1000,pop102,2519
1000,pop103,1918
1000,pop104,625
1000,pop105,129
1000,pop106,449
1000,pop107,2303
1000,pop108,438
1000,pop109,2396
1000,pop110,3785
1000,pop111,72
1000,pop112,290
1000,pop113,2031
1000,pop114,3599
1000,pop115,2400
1000,pop116,5257
1000,pop117,727
1000,pop118,515
1000,pop119,441
1000,pop120,3287
1000,pop121,3791
1000,pop122,339
1000,pop123,2040
1000,pop124,4389
1000,pop125,4954
1000,pop126,534
1000,pop127,351
1000,pop128,1251
1000,pop129,3775
1000,pop130,5823
1000,pop131,7275
1000,pop132,3785
1000,pop133,4064
1000,pop134,1537
1000,pop135,965
1000,pop136,223
1000,pop137,337
1000,pop138,894
1000,pop139,1314
1000,pop140,2128
1000,pop141,3975
1000,pop142,1665
1000,pop143,199
1000,pop144,5283
1000,pop145,1875
1000,pop146,874
1000,pop147,429
1000,pop148,675
