time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.727272727272727,0,0.0,0,0,0.0,0.0
100,226,130,0,96,0,35.42503646627281,5.016623107335889,2.668141592920354,4.721413721413722,20.097345132743364,22.06923076923077,17.415384615384614,0.14088426967478898,0.04378569896268002
200,489,359,0,130,0,40.125841322174026,4.986451556443891,2.670756646216769,4.977862595419848,26.67075664621677,26.846796657381617,17.72701949860724,0.17947368421052562,0.06503146079542402
300,727,610,0,117,0,43.476905847581065,4.981408078573338,2.6657496561210454,4.975521305530371,30.19532324621733,30.21639344262295,17.27377049180328,0.18440773651299805,0.07322953674677814
400,986,853,0,133,0,45.258519714307376,4.987075118975067,2.6683569979716024,5.006673021925644,31.959432048681542,31.984759671746776,17.172332942555684,0.19473055913086387,0.07926264126710819
500,1226,1104,0,122,0,46.53547115744953,4.992322739368552,2.66884176182708,5.008169327887114,33.00244698205547,33.242753623188406,17.317028985507246,0.2000823490162448,0.08123403435087388
600,1489,1362,0,127,0,47.2004944641618,4.988188140641185,2.6581598388179986,5.02375012473805,33.8099395567495,33.944199706314244,17.211453744493394,0.20193057918519053,0.08329653734133999
700,1767,1622,0,145,0,48.15519762124884,4.9861629090723145,2.661573288058857,5.014644699617241,34.106395019807586,34.87299630086313,17.233662145499384,0.204613240031421,0.08500950593580457
800,2013,1879,0,134,0,48.25490157924873,4.982399990577041,2.66120218579235,5.023316062176166,34.67660208643815,34.99042043640234,17.211282597126132,0.20496554699589256,0.08567378500392853
900,2271,2124,0,147,0,48.61218792865401,4.984430668495534,2.6635843240863055,5.054740834386852,35.21180096873624,35.35216572504708,17.256591337099813,0.20537670234475977,0.08674293439261947
1000,2498,2396,0,102,0,49.080906684876155,4.9864399852174515,2.66613290632506,5.0588235294117645,35.46036829463571,35.79757929883139,17.257095158597664,0.20627489291350665,0.08644788975468036
