flow,node,dec_count,dec_time_avg,dec_time_std
1,global,1,0.5937492847442627,0.0
2,global,1,0.5084331035614014,0.0
3,global,1,0.5914638042449951,0.0
4,global,1,0.5754361152648926,0.0
5,global,1,0.6046833992004395,0.0
6,global,1,0.503432035446167,0.0
7,global,1,0.3480198383331299,0.0
8,global,1,0.32320094108581543,0.0
9,global,1,0.2791769504547119,0.0
10,global,1,0.3265836238861084,0.0
11,global,1,0.31294894218444824,0.0
12,global,1,0.3920326232910156,0.0
13,global,1,0.5702145099639893,0.0
14,global,1,0.6408939361572266,0.0
15,global,1,0.577923059463501,0.0
16,global,1,0.5795333385467529,0.0
17,global,1,0.5545268058776855,0.0
18,global,1,0.5671312808990479,0.0
19,global,1,0.5175879001617432,0.0
20,global,1,0.5012414455413818,0.0
21,global,1,0.5918700695037842,0.0
22,global,1,0.5743732452392578,0.0
23,global,1,0.5171065330505371,0.0
24,global,1,0.5959768295288086,0.0
25,global,1,0.5576555728912354,0.0
26,global,1,0.49248170852661133,0.0
27,global,1,0.5828039646148682,0.0
28,global,1,0.5980479717254639,0.0
29,global,1,0.5599691867828369,0.0
30,global,1,0.5039827823638916,0.0
31,global,1,0.5155739784240723,0.0
32,global,1,0.5863227844238281,0.0
33,global,1,0.5788793563842773,0.0
34,global,1,0.4861619472503662,0.0
35,global,1,0.5906903743743896,0.0
36,global,1,0.517064094543457,0.0
37,global,1,0.5377860069274902,0.0
38,global,1,0.5015385150909424,0.0
39,global,1,0.7293336391448975,0.0
40,global,1,0.5862493515014648,0.0
41,global,1,0.5378830432891846,0.0
42,global,1,0.6145434379577637,0.0
43,global,1,0.5012257099151611,0.0
44,global,1,0.6038448810577393,0.0
45,global,1,0.5769309997558594,0.0
46,global,1,0.6216182708740234,0.0
47,global,1,0.5280382633209229,0.0
48,global,1,0.5294747352600098,0.0
49,global,1,0.5050661563873291,0.0
50,global,1,0.5010762214660645,0.0
51,global,1,0.5818421840667725,0.0
52,global,1,0.6110684871673584,0.0
53,global,1,0.5108387470245361,0.0
54,global,1,0.5297057628631592,0.0
55,global,1,0.5785324573516846,0.0
56,global,1,0.5954158306121826,0.0
57,global,1,0.58976149559021,0.0
58,global,1,0.5787675380706787,0.0
59,global,1,0.4956178665161133,0.0
60,global,1,0.621889591217041,0.0
61,global,1,0.5745046138763428,0.0
62,global,1,0.6201519966125488,0.0
63,global,1,0.5129666328430176,0.0
64,global,1,0.5062129497528076,0.0
65,global,1,0.5194351673126221,0.0
66,global,1,0.5994923114776611,0.0
67,global,1,0.5424742698669434,0.0
68,global,1,0.5216772556304932,0.0
69,global,1,0.5966660976409912,0.0
70,global,1,0.5001189708709717,0.0
71,global,1,0.3495175838470459,0.0
72,global,1,0.36933183670043945,0.0
73,global,1,0.3002293109893799,0.0
74,global,1,0.36814403533935547,0.0
75,global,1,0.6112706661224365,0.0
76,global,1,0.5214104652404785,0.0
77,global,1,0.6243588924407959,0.0
78,global,1,0.6140034198760986,0.0
79,global,1,0.5873713493347168,0.0
80,global,1,0.5324857234954834,0.0
81,global,1,0.5498411655426025,0.0
82,global,1,0.27267026901245117,0.0
83,global,1,0.267528772354126,0.0
84,global,1,0.3249623775482178,0.0
85,global,1,0.3274698257446289,0.0
86,global,1,0.3476119041442871,0.0
87,global,1,0.27559518814086914,0.0
88,global,1,0.3588695526123047,0.0
89,global,1,0.2731053829193115,0.0
90,global,1,0.3291008472442627,0.0
91,global,1,0.31430912017822266,0.0
92,global,1,0.3643612861633301,0.0
93,global,1,0.32799482345581055,0.0
94,global,1,0.3261425495147705,0.0
95,global,1,0.2702751159667969,0.0
96,global,1,0.4578120708465576,0.0
97,global,1,0.5991759300231934,0.0
98,global,1,0.5241930484771729,0.0
99,global,1,0.6665189266204834,0.0
100,global,1,0.6465091705322266,0.0
101,global,1,0.6449985504150391,0.0
102,global,1,0.6298060417175293,0.0
103,global,1,0.5872304439544678,0.0
104,global,1,0.5965633392333984,0.0
105,global,1,0.6341841220855713,0.0
106,global,1,0.5626251697540283,0.0
107,global,1,0.5170671939849854,0.0
108,global,1,0.5951235294342041,0.0
109,global,1,0.5084784030914307,0.0
110,global,1,0.6344509124755859,0.0
111,global,1,0.6174619197845459,0.0
112,global,1,0.6325278282165527,0.0
113,global,1,0.5006132125854492,0.0
114,global,1,0.61570143699646,0.0
115,global,1,0.6064672470092773,0.0
116,global,1,0.5212335586547852,0.0
117,global,1,0.508026123046875,0.0
118,global,1,0.6511344909667969,0.0
119,global,1,0.5274806022644043,0.0
120,global,1,0.6064479351043701,0.0
121,global,1,0.6238913536071777,0.0
122,global,1,0.615515947341919,0.0
123,global,1,0.6943025588989258,0.0
124,global,1,0.5239369869232178,0.0
125,global,1,0.6566824913024902,0.0
126,global,1,0.6228702068328857,0.0
127,global,1,0.6314473152160645,0.0
128,global,1,0.6277132034301758,0.0
129,global,1,0.6022248268127441,0.0
130,global,1,0.627882719039917,0.0
131,global,1,0.666121244430542,0.0
132,global,1,0.5390307903289795,0.0
133,global,1,0.5260896682739258,0.0
134,global,1,0.5328800678253174,0.0
135,global,1,0.6170403957366943,0.0
136,global,1,0.6153326034545898,0.0
137,global,1,0.6647217273712158,0.0
138,global,1,0.6121280193328857,0.0
139,global,1,0.5682950019836426,0.0
140,global,1,0.5336630344390869,0.0
141,global,1,0.5391240119934082,0.0
142,global,1,0.5121922492980957,0.0
143,global,1,0.5367238521575928,0.0
144,global,1,0.5725581645965576,0.0
145,global,1,0.5385496616363525,0.0
146,global,1,0.6437056064605713,0.0
147,global,1,0.5456304550170898,0.0
148,global,1,0.6419353485107422,0.0
149,global,1,0.5186610221862793,0.0
150,global,1,0.6500670909881592,0.0
151,global,1,0.6306259632110596,0.0
152,global,1,0.5417177677154541,0.0
153,global,1,0.6215066909790039,0.0
154,global,1,0.6141641139984131,0.0
155,global,1,0.6143770217895508,0.0
156,global,1,0.576209545135498,0.0
157,global,1,0.5516083240509033,0.0
158,global,1,0.5101909637451172,0.0
159,global,1,0.6293520927429199,0.0
