time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,22,0,0,22,0,0,0,2.772727272727273,0,0.0,0,0,0.0,0.0
100,523,214,114,195,26.20119598626076,32.721082051890626,4.935273583979106,2.6577437858508604,5.081081081081081,15.097514340344167,19.588785046728972,17.05607476635514,0.08051423089875617,0.36273943525425706
200,1018,581,247,190,30.273038952655018,36.27591294523501,4.978731928096284,2.638506876227898,5.226737967914438,19.202357563850686,23.184165232358005,17.9328743545611,0.07820192370607935,0.39818939811742365
300,1497,929,375,193,31.23538062043323,37.50370196858734,4.986717071230766,2.6513026052104207,5.328191218850653,20.995991983967937,24.316469321851454,18.066738428417654,0.07782933066115157,0.413223940877972
400,1999,1265,532,202,32.285591925511326,37.989072247824396,4.979396146623565,2.655327663831916,5.373593769316355,21.744372186093045,24.760474308300395,18.137549407114623,0.0780261764294953,0.4256736779956662
500,2456,1609,686,161,32.024942946182485,38.40144385401422,4.973761370591935,2.657166123778502,5.390081348622954,22.392100977198698,25.196395276569298,18.285270354257303,0.07853060849383016,0.42868049148502846
600,2928,1919,824,185,31.75410275670396,38.46940337301375,4.9751723897077635,2.6581284153005464,5.382348125102341,22.452185792349727,25.26107347576863,18.273579989577904,0.07867071419323962,0.42952842752639636
700,3423,2244,980,199,31.837674786696155,38.896331167623636,4.979389316944407,2.6596552731522056,5.379813342550985,22.734151329243353,25.66176470588235,18.439393939393938,0.07826709385572286,0.4333656754532278
800,3930,2625,1121,184,31.573741812617325,39.10073894724034,4.990732974448566,2.6603053435114505,5.381602587136184,22.865648854961833,25.83847619047619,18.54209523809524,0.07884862276753225,0.43373701928721903
900,4434,2975,1272,187,31.440200677875165,39.14450168389137,4.98943773264265,2.6648624267027516,5.38158379373849,23.066531348669372,25.87327731092437,18.532436974789917,0.07925791043665663,0.43617349687590096
1000,4915,3303,1428,184,31.495241291110577,39.31844240018253,4.989971048833243,2.661851475076297,5.3856239977360625,23.232146490335708,26.049349076597032,18.57069330911293,0.07938157776695011,0.43767271723012313
