time,node,decisions
1000,pop0,63
1000,pop1,515
1000,pop2,298
1000,pop3,131
1000,pop4,977
1000,pop5,904
1000,pop6,442
1000,pop7,540
1000,pop8,0
1000,pop9,800
1000,pop10,1527
1000,pop11,1134
1000,pop12,975
1000,pop13,759
1000,pop14,1012
1000,pop15,225
1000,pop16,870
1000,pop17,1236
1000,pop18,1347
1000,pop19,1399
1000,pop20,1291
1000,pop21,803
1000,pop22,616
1000,pop23,1273
1000,pop24,639
1000,pop25,531
1000,pop26,782
1000,pop27,937
1000,pop28,820
1000,pop29,786
1000,pop30,883
1000,pop31,918
1000,pop32,945
1000,pop33,1392
1000,pop34,996
1000,pop35,949
1000,pop36,976
1000,pop37,724
1000,pop38,967
1000,pop39,1010
1000,pop40,474
1000,pop41,697
1000,pop42,718
1000,pop43,1134
1000,pop44,1928
1000,pop45,1280
1000,pop46,1469
1000,pop47,721
1000,pop48,1463
1000,pop49,595
1000,pop50,4144
1000,pop51,3816
1000,pop52,3710
1000,pop53,2411
1000,pop54,295
1000,pop55,1209
1000,pop56,1727
1000,pop57,897
