time,node,sf
100,pop12,d
100,pop12,e
100,pop12,b
100,pop12,a
100,pop12,c
100,pop17,b
100,pop17,a
100,pop17,c
100,pop17,d
100,pop20,e
100,pop20,d
100,pop20,c
100,pop20,a
100,pop30,b
100,pop30,d
100,pop30,a
100,pop30,e
100,pop30,c
100,pop33,a
100,pop33,c
100,pop33,d
100,pop33,e
100,pop39,d
100,pop39,e
100,pop39,a
100,pop39,b
100,pop39,c
100,pop42,b
100,pop42,c
100,pop42,a
100,pop42,d
100,pop44,a
100,pop44,b
100,pop44,c
100,pop45,b
100,pop45,a
100,pop45,d
100,pop45,c
100,pop50,b
100,pop50,a
100,pop50,c
100,pop50,d
100,pop50,e
100,pop52,d
100,pop52,e
100,pop53,c
100,pop53,b
100,pop53,a
100,pop25,b
100,pop25,a
100,pop31,d
100,pop31,a
100,pop31,e
100,pop31,b
100,pop31,c
100,pop46,a
100,pop46,b
100,pop46,d
100,pop27,c
100,pop27,e
100,pop55,a
100,pop55,b
100,pop55,c
100,pop26,c
100,pop7,c
100,pop7,b
100,pop19,a
100,pop19,d
100,pop19,b
100,pop19,e
100,pop19,c
100,pop32,a
100,pop32,b
100,pop32,c
100,pop51,a
100,pop56,a
100,pop54,c
100,pop54,a
100,pop6,c
100,pop18,e
100,pop34,c
100,pop34,b
100,pop34,a
100,pop37,b
100,pop37,a
100,pop57,b
100,pop57,a
100,pop57,c
100,pop49,c
100,pop35,c
100,pop14,d
100,pop14,e
200,pop12,b
200,pop12,c
200,pop12,a
200,pop17,a
200,pop17,b
200,pop17,c
200,pop17,e
200,pop20,b
200,pop20,d
200,pop20,e
200,pop20,a
200,pop20,c
200,pop30,c
200,pop30,b
200,pop30,d
200,pop30,e
200,pop30,a
200,pop33,c
200,pop33,a
200,pop33,b
200,pop39,b
200,pop39,d
200,pop39,a
200,pop39,c
200,pop42,a
200,pop42,b
200,pop42,c
200,pop44,a
200,pop44,c
200,pop44,b
200,pop44,d
200,pop44,e
200,pop45,c
200,pop45,e
200,pop45,d
200,pop45,b
200,pop50,c
200,pop50,a
200,pop50,d
200,pop50,b
200,pop50,e
200,pop52,b
200,pop52,c
200,pop52,a
200,pop53,d
200,pop53,c
200,pop53,b
200,pop25,b
200,pop25,d
200,pop25,a
200,pop25,e
200,pop25,c
200,pop31,d
200,pop31,b
200,pop31,a
200,pop31,c
200,pop46,b
200,pop46,c
200,pop27,b
200,pop27,d
200,pop55,e
200,pop55,a
200,pop55,b
200,pop26,b
