time,node,decisions
1000,pop0,33
1000,pop1,1086
1000,pop2,549
1000,pop3,133
1000,pop4,393
1000,pop5,607
1000,pop6,757
1000,pop7,893
1000,pop8,61
1000,pop9,615
1000,pop10,1240
1000,pop11,389
1000,pop12,1150
1000,pop13,691
1000,pop14,786
1000,pop15,465
1000,pop16,1137
1000,pop17,1184
1000,pop18,1203
1000,pop19,1204
1000,pop20,1864
1000,pop21,834
1000,pop22,959
1000,pop23,861
1000,pop24,544
1000,pop25,40
1000,pop26,53
1000,pop27,636
1000,pop28,62
1000,pop29,620
1000,pop30,1180
1000,pop31,936
1000,pop32,650
1000,pop33,1213
1000,pop34,815
1000,pop35,659
1000,pop36,618
1000,pop37,54
1000,pop38,667
1000,pop39,734
1000,pop40,41
1000,pop41,636
1000,pop42,663
1000,pop43,639
1000,pop44,1551
1000,pop45,814
1000,pop46,1962
1000,pop47,613
1000,pop48,1600
1000,pop49,601
1000,pop50,4308
1000,pop51,4645
1000,pop52,4408
1000,pop53,2494
1000,pop54,75
1000,pop55,856
1000,pop56,1686
1000,pop57,1028
