time,node,decisions
1000,pop0,292
1000,pop1,1170
1000,pop2,718
1000,pop3,341
1000,pop4,886
1000,pop5,704
1000,pop6,1027
1000,pop7,1479
1000,pop8,53
1000,pop9,797
1000,pop10,1993
1000,pop11,1057
1000,pop12,1042
1000,pop13,654
1000,pop14,1172
1000,pop15,540
1000,pop16,1156
1000,pop17,1790
1000,pop18,1581
1000,pop19,1726
1000,pop20,2038
1000,pop21,1212
1000,pop22,1079
1000,pop23,1633
1000,pop24,953
1000,pop25,764
1000,pop26,590
1000,pop27,1055
1000,pop28,960
1000,pop29,796
1000,pop30,1182
1000,pop31,889
1000,pop32,1297
1000,pop33,2119
1000,pop34,1298
1000,pop35,1005
1000,pop36,885
1000,pop37,876
1000,pop38,900
1000,pop39,1135
1000,pop40,443
1000,pop41,682
1000,pop42,959
1000,pop43,871
1000,pop44,2596
1000,pop45,1334
1000,pop46,2316
1000,pop47,980
1000,pop48,2460
1000,pop49,1160
1000,pop50,6225
1000,pop51,5673
1000,pop52,5827
1000,pop53,4230
1000,pop54,718
1000,pop55,1646
1000,pop56,2695
1000,pop57,1330
