time,node,decisions
1000,pop0,1101
1000,pop1,1136
1000,pop2,888
1000,pop3,1488
1000,pop4,858
1000,pop5,27
1000,pop6,969
1000,pop7,1192
1000,pop8,0
1000,pop9,988
1000,pop10,1039
1000,pop11,77
1000,pop12,216
1000,pop13,0
1000,pop14,1502
1000,pop15,812
1000,pop16,1048
1000,pop17,425
1000,pop18,115
1000,pop19,186
1000,pop20,265
1000,pop21,416
1000,pop22,271
1000,pop23,1155
1000,pop24,228
1000,pop25,1072
1000,pop26,1039
1000,pop27,1375
1000,pop28,92
1000,pop29,214
1000,pop30,319
1000,pop31,338
1000,pop32,1098
1000,pop33,1158
1000,pop34,324
1000,pop35,409
1000,pop36,1142
1000,pop37,897
1000,pop38,124
1000,pop39,123
1000,pop40,118
1000,pop41,904
1000,pop42,411
1000,pop43,505
1000,pop44,1414
1000,pop45,1236
1000,pop46,585
1000,pop47,147
1000,pop48,546
1000,pop49,39
1000,pop50,2503
1000,pop51,2875
1000,pop52,3412
1000,pop53,2099
1000,pop54,296
1000,pop55,1235
1000,pop56,1649
1000,pop57,61
