time,node,sf
100,pop2,b
100,pop2,a
100,pop2,c
100,pop2,d
100,pop2,e
100,pop10,d
100,pop10,a
100,pop10,e
100,pop10,b
100,pop10,c
100,pop16,b
100,pop16,d
100,pop16,e
100,pop16,a
100,pop16,c
100,pop23,a
100,pop23,b
100,pop23,c
100,pop23,d
100,pop23,e
100,pop36,a
100,pop36,b
100,pop36,c
100,pop36,d
100,pop51,d
100,pop51,a
100,pop51,e
100,pop51,b
100,pop51,c
100,pop52,d
100,pop52,b
100,pop52,e
100,pop52,a
100,pop52,c
100,pop3,b
100,pop3,a
100,pop3,c
100,pop11,a
100,pop11,b
100,pop11,c
100,pop11,e
100,pop28,a
100,pop28,d
100,pop28,c
100,pop56,e
100,pop56,b
100,pop56,a
100,pop56,c
100,pop50,e
100,pop12,c
100,pop12,a
100,pop21,e
100,pop21,b
100,pop21,c
100,pop29,b
100,pop29,d
100,pop29,e
100,pop29,a
100,pop4,c
100,pop4,e
100,pop43,b
100,pop43,c
100,pop43,a
100,pop46,d
100,pop42,c
100,pop45,e
100,pop24,c
100,pop34,e
100,pop34,d
100,pop34,a
100,pop53,c
100,pop48,a
100,pop35,b
100,pop30,c
200,pop2,b
200,pop2,a
200,pop2,c
200,pop2,d
200,pop2,e
200,pop10,d
200,pop10,a
200,pop10,e
200,pop10,b
200,pop10,c
200,pop16,b
200,pop16,d
200,pop16,e
200,pop16,a
200,pop16,c
200,pop23,a
200,pop23,b
200,pop23,c
200,pop23,d
200,pop23,e
200,pop36,a
200,pop36,b
200,pop36,c
200,pop36,d
200,pop51,d
200,pop51,a
200,pop51,e
200,pop51,b
200,pop51,c
200,pop52,d
200,pop52,b
200,pop52,e
200,pop52,a
200,pop52,c
200,pop3,b
200,pop3,a
200,pop3,c
200,pop3,e
200,pop11,a
200,pop11,b
200,pop11,c
200,pop11,e
200,pop11,d
200,pop28,a
200,pop28,d
200,pop28,c
200,pop56,e
200,pop56,b
200,pop56,a
200,pop56,c
200,pop56,d
200,pop50,e
200,pop50,c
200,pop50,d
200,pop12,c
200,pop12,a
200,pop21,e
200,pop21,b
200,pop21,c
200,pop29,b
200,pop29,d
200,pop29,e
200,pop29,a
200,pop4,c
200,pop4,e
200,pop43,b
200,pop43,c
200,pop43,a
200,pop43,e
200,pop46,d
200,pop46,c
200,pop42,c
200,pop42,b
200,pop45,e
200,pop24,c
200,pop24,d
200,pop34,e
200,pop34,d
200,pop34,a
200,pop34,b
200,pop53,c
200,pop48,a
200,pop35,b
200,pop35,e
200,pop30,c
200,pop49,a
200,pop49,d
200,pop55,d
200,pop14,e
200,pop5,a
300,pop2,b
300,pop2,a
300,pop2,c
300,pop2,d
300,pop2,e
300,pop10,d
300,pop10,a
300,pop10,e
300,pop10,b
300,pop10,c
300,pop16,b
300,pop16,d
300,pop16,e
300,pop16,a
300,pop16,c
300,pop23,a
300,pop23,b
300,pop23,c
300,pop23,d
300,pop23,e
300,pop36,a
300,pop36,b
300,pop36,c
300,pop36,d
300,pop36,e
300,pop51,d
300,pop51,a
300,pop51,e
300,pop51,b
300,pop51,c
300,pop52,d
300,pop52,b
300,pop52,e
300,pop52,a
300,pop52,c
300,pop3,b
300,pop3,a
300,pop3,c
300,pop3,e
300,pop3,d
300,pop11,a
300,pop11,b
300,pop11,c
300,pop11,e
300,pop11,d
300,pop28,a
300,pop28,d
300,pop28,c
300,pop56,e
300,pop56,b
300,pop56,a
300,pop56,c
300,pop56,d
300,pop50,e
300,pop50,c
300,pop50,d
300,pop50,a
300,pop12,c
300,pop12,a
300,pop12,b
300,pop21,e
300,pop21,b
300,pop21,c
