flow,node,dec_count,dec_time_avg,dec_time_std
1,pop0,4,0.0003705024719238281,0.00012028105076473177
1,pop3,1,0.00043082237243652344,0.0
1,pop52,2,0.0006542205810546875,0.00012826919555664062
2,pop1,4,0.00043594837188720703,0.0001684124359843733
2,pop53,1,0.0004405975341796875,0.0
2,pop3,1,0.0004246234893798828,0.0
2,pop0,1,0.000438690185546875,0.0
3,pop2,3,0.00029238065083821613,0.00010616675784322868
3,pop56,1,0.00041985511779785156,0.0
3,pop52,2,0.00042998790740966797,4.887580871582031e-06
3,pop12,2,0.0006254911422729492,9.500980377197266e-05
4,pop3,5,0.0004604339599609375,0.00018688387664491515
4,pop52,1,0.0004074573516845703,0.0
4,pop50,1,0.00043773651123046875,0.0
4,pop17,1,0.0004534721374511719,0.0
4,pop25,1,0.00047707557678222656,0.0
5,pop4,5,0.00044956207275390623,0.0001653962181223754
5,pop51,1,0.00042128562927246094,0.0
5,pop46,1,0.00043201446533203125,0.0
5,pop20,1,0.00040149688720703125,0.0
6,pop6,3,0.0002807776133219401,0.00012529455250707522
6,pop7,2,0.0006759166717529297,0.00014281272888183594
7,pop7,3,0.0003546873728434245,4.929457476571513e-05
7,pop53,2,0.0006229877471923828,0.00017905235290527344
7,pop52,1,0.0004379749298095703,0.0
7,pop51,1,0.00041866302490234375,0.0
7,pop46,1,0.0004489421844482422,0.0
7,pop20,1,0.0004668235778808594,0.0
8,pop9,4,0.0004202127456665039,0.00017486930104377828
8,pop51,1,0.00043392181396484375,0.0
8,pop52,1,0.00045418739318847656,0.0
8,pop3,1,0.00046324729919433594,0.0
8,pop0,1,0.0005202293395996094,0.0
9,pop10,4,0.00037384033203125,0.00016045216107248196
9,pop36,1,0.0004334449768066406,0.0
9,pop51,1,0.00043845176696777344,0.0
9,pop52,1,0.0004153251647949219,0.0
10,pop14,4,0.000345766544342041,7.855618574127379e-05
10,pop27,2,0.0005023479461669922,7.700920104980469e-05
10,pop44,1,0.0004374980926513672,0.0
10,pop45,1,0.0004222393035888672,0.0
11,pop15,5,0.00043540000915527345,0.00016311033112955187
11,pop1,1,0.00042629241943359375,0.0
11,pop53,1,0.00043129920959472656,0.0
11,pop52,1,0.0004265308380126953,0.0
11,pop48,1,0.0004513263702392578,0.0
11,pop30,1,0.0004584789276123047,0.0
11,pop31,1,0.0004470348358154297,0.0
12,pop16,4,0.00036782026290893555,0.00016355039897946803
12,pop50,1,0.0004355907440185547,0.0
12,pop14,1,0.0004038810729980469,0.0
13,pop23,5,0.00046048164367675783,0.00017646316263454805
13,pop16,1,0.00043892860412597656,0.0
13,pop50,1,0.0004620552062988281,0.0
13,pop52,1,0.0004527568817138672,0.0
13,pop48,1,0.0004780292510986328,0.0
13,pop30,1,0.0004878044128417969,0.0
13,pop31,1,0.00044465065002441406,0.0
14,pop25,4,0.0004429817199707031,0.00018844157150399145
14,pop17,1,0.0004394054412841797,0.0
14,pop50,1,0.00046062469482421875,0.0
14,pop53,1,0.0004391670227050781,0.0
14,pop3,1,0.0004508495330810547,0.0
14,pop0,1,0.00046062469482421875,0.0
15,pop26,3,0.0003624757130940755,4.8605564608912696e-05
15,pop50,2,0.00044524669647216797,1.1563301086425781e-05
15,pop52,2,0.000626683235168457,0.0001837015151977539
15,pop51,1,0.0004699230194091797,0.0
15,pop46,1,0.00046133995056152344,0.0
15,pop20,1,0.0004734992980957031,0.0
16,pop27,3,0.00033728281656901043,6.189165486608828e-05
16,pop44,1,0.0003974437713623047,0.0
16,pop45,1,0.0004444122314453125,0.0
16,pop46,2,0.00044035911560058594,4.291534423828125e-06
16,pop51,5,0.0004944324493408204,1.740383773783665e-05
16,pop29,2,0.0005706548690795898,7.49826431274414e-05
16,pop4,1,0.0006704330444335938,0.0
16,pop36,2,0.0005054473876953125,3.5762786865234375e-06
16,pop10,1,0.0007534027099609375,0.0
16,pop52,2,0.0004932880401611328,1.1205673217773438e-05
16,pop50,2,0.0005153417587280273,3.5762786865234375e-07
16,pop26,2,0.0008333921432495117,3.9458274841308594e-05
17,pop32,3,0.00033855438232421875,5.738545841114196e-05
17,pop33,1,0.00044608116149902344,0.0
17,pop50,2,0.0004342794418334961,4.410743713378906e-06
17,pop14,2,0.0005904436111450195,0.00016057491302490234
17,pop27,1,0.00048542022705078125,0.0
17,pop44,1,0.0004470348358154297,0.0
17,pop45,1,0.0004677772521972656,0.0
18,pop33,5,0.00043025016784667967,0.00015859195281893887
18,pop50,1,0.0004401206970214844,0.0
18,pop53,1,0.00041866302490234375,0.0
18,pop3,1,0.00044465065002441406,0.0
18,pop0,1,0.00046181678771972656,0.0
19,pop36,5,0.0003955364227294922,0.00014662746491470445
19,pop51,1,0.000415802001953125,0.0
19,pop52,1,0.0003936290740966797,0.0
19,pop12,1,0.0004086494445800781,0.0
20,pop37,5,0.0004485130310058594,0.00016369649490063305
20,pop52,1,0.0004553794860839844,0.0
20,pop51,1,0.00046443939208984375,0.0
20,pop22,1,0.0004885196685791016,0.0
20,pop21,1,0.0004584789276123047,0.0
21,pop41,4,0.0003719329833984375,0.00016901186848666014
21,pop53,1,0.0004248619079589844,0.0
21,pop52,1,0.0004220008850097656,0.0
22,pop44,4,0.00032895803451538086,9.710024724132621e-05
22,pop27,2,0.000521540641784668,9.334087371826172e-05
22,pop14,1,0.00042438507080078125,0.0
22,pop50,1,0.0004074573516845703,0.0
22,pop26,1,0.00044417381286621094,0.0
23,pop45,4,0.0004470944404602051,0.00017886815639788173
23,pop46,1,0.0004260540008544922,0.0
23,pop51,1,0.00040912628173828125,0.0
23,pop52,1,0.0004284381866455078,0.0
23,pop3,1,0.0004646778106689453,0.0
23,pop0,1,0.0004582405090332031,0.0
24,pop51,4,0.0003618597984313965,5.879263299035416e-05
24,pop52,2,0.0006010532379150391,0.00016021728515625
24,pop48,1,0.0004220008850097656,0.0
24,pop30,1,0.0004391670227050781,0.0
24,pop31,1,0.000446319580078125,0.0
25,pop52,4,0.0003629326820373535,6.0245024295817396e-05
25,pop50,2,0.0005689859390258789,0.00012218952178955078
25,pop33,1,0.0004584789276123047,0.0
25,pop32,1,0.0004572868347167969,0.0
26,pop55,5,0.0004614353179931641,0.00017238105805178694
26,pop50,1,0.0004172325134277344,0.0
26,pop52,1,0.00041413307189941406,0.0
26,pop51,1,0.00044274330139160156,0.0
26,pop9,1,0.0004649162292480469,0.0
27,pop56,5,0.00045928955078125,0.00018176989940581548
27,pop52,1,0.0004315376281738281,0.0
27,pop51,1,0.0004055500030517578,0.0
27,pop22,1,0.0004494190216064453,0.0
27,pop21,1,0.0004673004150390625,0.0
28,pop1,5,0.0004344463348388672,0.00013071248534507216
28,pop53,1,0.0004322528839111328,0.0
28,pop50,1,0.000438690185546875,0.0
28,pop26,1,0.00043511390686035156,0.0
29,pop7,3,0.0003706614176432292,7.39036919895937e-05
29,pop53,3,0.0005375544230143229,0.0001238757309493937
29,pop50,1,0.0004448890686035156,0.0
29,pop35,1,0.00046515464782714844,0.0
30,pop37,3,0.0003325144449869792,0.00012386532935648923
30,pop52,4,0.00044614076614379883,3.107472020853949e-05
30,pop51,2,0.0006040334701538086,0.0001341104507446289
30,pop53,2,0.0005857944488525391,0.00013113021850585938
31,pop52,4,0.0004715919494628906,0.00015772078297921372
31,pop48,1,0.00043487548828125,0.0
31,pop30,1,0.00043964385986328125,0.0
31,pop31,1,0.0003921985626220703,0.0
32,pop2,3,0.0003790855407714844,5.9852403061370015e-05
32,pop56,3,0.0005319913228352865,0.00013605080458666186
32,pop52,1,0.0003962516784667969,0.0
32,pop51,1,0.0004360675811767578,0.0
32,pop36,1,0.0004429817199707031,0.0
32,pop10,1,0.00044798851013183594,0.0
33,pop4,5,0.0004548549652099609,0.00014771283822423033
33,pop51,1,0.0004322528839111328,0.0
33,pop52,1,0.00040435791015625,0.0
33,pop50,1,0.0004506111145019531,0.0
33,pop26,1,0.0004329681396484375,0.0
34,pop9,4,0.0005025267601013184,0.00018910113464851215
34,pop51,1,0.00045228004455566406,0.0
34,pop46,1,0.0004611015319824219,0.0
34,pop20,1,0.00046539306640625,0.0
35,pop26,3,0.0003821055094401042,4.928919316398519e-05
35,pop50,2,0.0004254579544067383,1.5497207641601562e-06
35,pop14,1,0.000446319580078125,0.0
35,pop27,2,0.0005176067352294922,9.369850158691406e-05
35,pop44,1,0.000446319580078125,0.0
35,pop45,1,0.00044345855712890625,0.0
36,pop32,3,0.00035270055135091144,8.863621973118951e-05
36,pop33,3,0.00049591064453125,9.864903042900576e-05
36,pop50,1,0.0004496574401855469,0.0
36,pop55,1,0.00046324729919433594,0.0
36,pop56,1,0.0004584789276123047,0.0
37,pop36,3,0.00040849049886067707,2.027664007385828e-05
37,pop51,3,0.0005801518758138021,0.00019887647662125338
37,pop52,1,0.00041556358337402344,0.0
37,pop50,1,0.00045013427734375,0.0
37,pop17,1,0.0004677772521972656,0.0
37,pop25,1,0.0004773139953613281,0.0
38,pop51,4,0.00041234493255615234,1.5068073061436303e-05
38,pop52,1,0.0004353523254394531,0.0
38,pop50,1,0.0004146099090576172,0.0
38,pop17,2,0.0005953311920166016,0.0001621246337890625
38,pop25,1,0.0004718303680419922,0.0
39,pop56,4,0.00045412778854370117,0.00015445396810679715
39,pop52,1,0.00044226646423339844,0.0
39,pop3,1,0.0004382133483886719,0.0
39,pop0,1,0.0004200935363769531,0.0
40,pop1,5,0.00048279762268066406,0.00016047954382221298
40,pop53,1,0.00041961669921875,0.0
40,pop52,1,0.0004253387451171875,0.0
40,pop51,1,0.00044918060302734375,0.0
40,pop46,1,0.00045108795166015625,0.0
40,pop20,1,0.0004756450653076172,0.0
41,pop52,5,0.0004014492034912109,0.00014305094083135307
