time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,4,0,0,4,0,0,0,2.75,0,0.0,0,0,0.0,0.0
100,99,51,16,32,20.700749067223885,38.12819203229468,4.944904279930849,2.6363636363636362,7.271493212669683,16.232323232323232,25.568627450980394,22.058823529411764,0.015708812260536397,0.06501652172150253
200,195,124,32,39,19.478255051881806,40.167420507396,4.942065421025491,2.6769230769230767,7.55859375,19.846153846153847,27.217741935483872,22.0,0.0159180178122859,0.07048412879652881
300,277,195,57,25,18.45922749173709,40.22923193787979,4.942293001435126,2.667870036101083,7.472258064516129,20.906137184115522,27.235897435897435,21.861538461538462,0.015571053909664873,0.07025028330904977
400,369,268,71,30,19.175664792004252,40.30162338992621,4.972562307808984,2.693766937669377,7.591549295774648,21.910569105691057,27.20149253731343,21.76492537313433,0.015502342306204642,0.07211151383178377
500,441,336,80,25,18.35702847204194,40.945766886740515,4.963955069317828,2.671201814058957,7.610769230769231,22.435374149659864,27.782738095238095,22.11904761904762,0.014731005866361497,0.07094243334764144
600,541,406,95,40,17.891407952889498,41.009098557157586,4.972754647946725,2.6672828096118297,7.658720200752823,22.56561922365989,27.92118226600985,22.364532019704434,0.014793327299093977,0.07145837185838348
700,625,481,106,38,17.814036425155216,41.24372992579782,4.98012648594829,2.6624,7.721030042918455,23.0272,28.070686070686072,22.492723492723492,0.014661908308160979,0.07201075511746656
800,712,551,126,35,18.00244748394525,41.489710845806805,4.977334739097213,2.6657303370786516,7.719517848864164,23.38623595505618,28.41016333938294,22.662431941923774,0.014493611875937902,0.0728338407897866
900,803,628,133,42,18.36649610371873,41.85619977355198,4.982266120078239,2.671232876712329,7.785306122448979,23.753424657534246,28.678343949044585,22.85031847133758,0.014377272844505259,0.07271984800419483
