time,node,sf
100,pop5,a
100,pop5,c
100,pop5,b
100,pop5,d
100,pop5,e
100,pop12,c
100,pop12,d
100,pop12,a
100,pop12,e
100,pop24,d
100,pop24,b
100,pop24,e
100,pop24,c
100,pop10,a
100,pop10,c
100,pop51,d
100,pop51,e
100,pop51,b
100,pop51,a
100,pop52,d
100,pop14,b
100,pop14,a
100,pop14,c
100,pop14,d
100,pop14,e
100,pop9,a
100,pop9,b
100,pop9,d
100,pop9,c
100,pop9,e
200,pop5,a
200,pop5,c
200,pop5,d
200,pop5,e
200,pop12,b
200,pop12,a
200,pop10,d
200,pop10,e
200,pop10,b
200,pop52,a
200,pop52,b
200,pop52,c
200,pop14,a
200,pop14,b
200,pop3,a
200,pop3,e
200,pop3,b
200,pop3,c
200,pop27,d
200,pop27,a
200,pop27,e
200,pop27,b
200,pop9,a
200,pop9,b
200,pop9,c
200,pop22,c
200,pop22,d
300,pop5,a
300,pop5,b
300,pop5,c
300,pop5,d
300,pop5,e
300,pop12,b
300,pop12,a
300,pop12,c
300,pop10,a
300,pop10,c
300,pop10,b
300,pop51,d
300,pop51,e
300,pop52,c
300,pop52,d
300,pop14,d
300,pop23,d
300,pop23,e
300,pop23,b
300,pop23,c
300,pop3,a
300,pop3,b
300,pop27,b
300,pop9,d
300,pop9,e
300,pop22,d
300,pop22,a
300,pop22,e
300,pop22,b
300,pop34,d
300,pop34,b
300,pop34,e
300,pop34,a
400,pop5,a
400,pop5,b
400,pop5,c
400,pop10,a
400,pop10,c
400,pop10,b
400,pop51,c
400,pop51,a
400,pop52,b
400,pop14,b
400,pop14,d
400,pop14,a
400,pop14,e
400,pop14,c
400,pop23,a
400,pop23,b
400,pop23,c
400,pop3,b
400,pop3,a
400,pop3,c
400,pop9,a
400,pop9,b
400,pop9,c
400,pop22,b
400,pop22,a
400,pop22,c
400,pop34,b
400,pop34,d
400,pop34,a
400,pop34,c
400,pop34,e
400,pop29,a
400,pop29,c
500,pop5,c
500,pop5,e
500,pop5,a
500,pop5,b
500,pop10,a
500,pop10,b
500,pop10,c
500,pop51,e
500,pop51,a
500,pop51,c
500,pop51,d
500,pop52,b
500,pop52,a
500,pop52,c
500,pop14,b
500,pop23,a
500,pop23,c
500,pop3,d
500,pop3,e
500,pop27,d
500,pop27,a
500,pop27,e
500,pop27,b
500,pop27,c
500,pop9,d
500,pop9,e
500,pop22,b
500,pop34,b
500,pop56,d
500,pop56,e
600,pop5,b
600,pop5,a
600,pop5,c
600,pop8,c
600,pop8,a
600,pop10,c
600,pop10,d
600,pop10,e
600,pop10,b
600,pop51,a
600,pop51,b
600,pop51,c
600,pop52,c
600,pop52,b
600,pop52,a
600,pop14,b
600,pop14,a
600,pop14,c
600,pop14,e
600,pop50,c
600,pop23,d
600,pop23,e
600,pop3,c
600,pop22,b
600,pop22,c
600,pop34,a
600,pop34,b
600,pop11,b
600,pop11,a
600,pop56,d
600,pop56,e
700,pop5,e
700,pop5,d
700,pop5,b
700,pop5,a
700,pop8,b
700,pop10,b
700,pop10,a
700,pop51,a
700,pop51,b
700,pop52,d
700,pop52,e
700,pop14,b
700,pop23,a
700,pop23,c
700,pop3,c
700,pop3,b
700,pop9,d
700,pop9,b
700,pop9,e
700,pop9,a
700,pop9,c
700,pop22,a
700,pop22,b
700,pop34,a
700,pop34,c
700,pop11,d
700,pop56,b
700,pop56,a
700,pop55,a
700,pop55,c
800,pop5,e
800,pop5,a
800,pop5,b
800,pop5,c
800,pop8,b
800,pop8,a
800,pop8,c
800,pop10,a
800,pop10,b
800,pop10,c
800,pop51,c
800,pop51,a
800,pop52,a
800,pop52,d
800,pop52,b
800,pop52,e
800,pop52,c
800,pop14,b
800,pop14,c
800,pop23,c
800,pop23,b
800,pop3,d
800,pop3,a
800,pop3,c
800,pop3,e
800,pop27,b
800,pop27,a
800,pop27,c
800,pop9,a
800,pop9,d
800,pop9,b
800,pop9,e
800,pop34,a
800,pop34,c
800,pop11,b
800,pop11,c
800,pop16,a
800,pop16,b
800,pop56,a
800,pop56,c
900,pop5,b
900,pop5,a
900,pop5,c
900,pop5,d
900,pop5,e
900,pop8,d
900,pop8,e
900,pop10,b
900,pop10,d
900,pop10,a
900,pop10,e
900,pop10,c
900,pop51,b
900,pop51,a
900,pop51,c
900,pop52,a
900,pop52,c
900,pop52,b
900,pop14,d
900,pop14,b
900,pop14,e
900,pop14,a
900,pop23,a
900,pop23,b
900,pop23,c
900,pop3,b
900,pop3,c
900,pop9,d
900,pop22,d
900,pop22,e
900,pop34,b
900,pop34,d
900,pop34,a
900,pop34,e
900,pop34,c
1000,pop5,a
1000,pop5,e
1000,pop5,b
1000,pop5,c
1000,pop8,c
1000,pop10,a
1000,pop10,b
1000,pop10,c
1000,pop51,e
1000,pop51,c
1000,pop51,d
1000,pop52,e
1000,pop52,d
1000,pop52,a
1000,pop52,b
1000,pop52,c
1000,pop14,d
1000,pop14,e
1000,pop14,a
1000,pop14,b
1000,pop14,c
1000,pop23,c
1000,pop3,a
1000,pop3,b
1000,pop9,b
1000,pop9,d
1000,pop34,c
1000,pop25,b
1000,pop25,a
