time,node,sf
100,pop2,a
100,pop2,b
100,pop2,c
100,pop2,d
100,pop2,e
100,pop5,b
100,pop5,a
100,pop5,d
100,pop5,c
100,pop5,e
100,pop8,b
100,pop8,a
100,pop8,c
100,pop8,d
100,pop8,e
100,pop9,d
100,pop9,e
100,pop12,a
100,pop12,b
100,pop12,d
100,pop12,e
100,pop12,c
100,pop15,a
100,pop15,d
100,pop15,b
100,pop15,e
100,pop15,c
100,pop16,d
100,pop16,e
100,pop16,a
100,pop16,b
100,pop16,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop24,d
100,pop24,e
100,pop29,b
100,pop29,a
100,pop29,c
100,pop35,b
100,pop35,d
100,pop35,a
100,pop35,e
100,pop35,c
100,pop39,d
100,pop39,e
100,pop39,b
100,pop39,a
100,pop39,c
100,pop41,d
100,pop41,e
100,pop41,b
100,pop41,a
100,pop41,c
100,pop43,b
100,pop43,a
100,pop43,c
100,pop43,d
100,pop43,e
100,pop46,b
100,pop46,d
100,pop46,a
100,pop46,e
100,pop46,c
100,pop55,b
100,pop55,a
100,pop55,d
100,pop55,c
100,pop55,e
100,pop57,b
100,pop57,a
100,pop57,c
100,pop57,d
100,pop57,e
100,pop51,a
100,pop51,d
100,pop51,b
100,pop51,c
100,pop51,e
100,pop40,e
100,pop23,d
100,pop23,e
100,pop14,c
100,pop56,d
100,pop20,a
200,pop2,a
200,pop2,b
200,pop2,c
200,pop2,d
200,pop2,e
200,pop5,b
200,pop5,a
200,pop5,d
200,pop5,c
200,pop5,e
200,pop8,b
200,pop8,a
200,pop8,c
200,pop8,d
200,pop8,e
200,pop9,d
200,pop9,e
200,pop12,a
200,pop12,b
200,pop12,d
200,pop12,e
200,pop12,c
200,pop15,a
200,pop15,d
200,pop15,b
200,pop15,e
200,pop15,c
200,pop16,d
200,pop16,e
200,pop16,a
200,pop16,b
200,pop16,c
200,pop24,b
200,pop24,a
200,pop24,c
200,pop24,d
200,pop24,e
200,pop29,b
200,pop29,a
200,pop29,c
200,pop35,b
200,pop35,d
200,pop35,a
200,pop35,e
200,pop35,c
200,pop39,d
200,pop39,e
200,pop39,b
200,pop39,a
200,pop39,c
200,pop41,d
200,pop41,e
200,pop41,b
200,pop41,a
200,pop41,c
200,pop43,b
200,pop43,a
200,pop43,c
200,pop43,d
200,pop43,e
200,pop46,b
200,pop46,d
200,pop46,a
200,pop46,e
200,pop46,c
200,pop55,b
200,pop55,a
200,pop55,d
200,pop55,c
200,pop55,e
200,pop57,b
200,pop57,a
200,pop57,c
200,pop57,d
200,pop57,e
200,pop51,a
200,pop51,d
200,pop51,b
200,pop51,c
200,pop51,e
200,pop40,e
200,pop23,d
200,pop23,e
200,pop23,b
200,pop23,a
200,pop23,c
200,pop14,c
200,pop56,d
200,pop20,a
200,pop20,b
200,pop20,c
300,pop2,a
300,pop2,b
300,pop2,c
300,pop2,d
300,pop2,e
300,pop5,b
300,pop5,a
300,pop5,d
300,pop5,c
300,pop5,e
300,pop8,b
300,pop8,a
300,pop8,c
300,pop8,d
300,pop8,e
300,pop9,d
300,pop9,e
300,pop12,a
300,pop12,b
300,pop12,d
300,pop12,e
300,pop12,c
300,pop15,a
300,pop15,d
300,pop15,b
300,pop15,e
300,pop15,c
300,pop16,d
300,pop16,e
300,pop16,a
300,pop16,b
300,pop16,c
300,pop24,b
300,pop24,a
300,pop24,c
300,pop24,d
300,pop24,e
300,pop29,b
300,pop29,a
300,pop29,c
300,pop35,b
300,pop35,d
300,pop35,a
300,pop35,e
300,pop35,c
300,pop39,d
300,pop39,e
300,pop39,b
300,pop39,a
300,pop39,c
300,pop41,d
300,pop41,e
300,pop41,b
300,pop41,a
300,pop41,c
