time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,26,0,0,26,0,0,0,2.730769230769231,0,0.0,0,0,0.0,0.0
100,592,207,151,234,23.915022500753942,37.52044963038846,5.020015012756389,2.6554054054054053,5.743095362167796,18.616554054054053,24.516908212560388,18.270531400966185,0.07700173869259792,0.45645165097122764
200,1189,505,424,260,28.229552661167848,45.21005909157849,5.0160472371012546,2.6576955424726663,5.906971989368228,24.29857022708158,31.980198019801982,19.788118811881187,0.07798837877707111,0.5287207420591761
300,1755,829,686,240,29.57101813099039,48.31649358856035,5.005245940242074,2.663247863247863,5.919689448899071,26.5019943019943,35.07961399276236,20.41254523522316,0.0773566051875136,0.544775688704462
400,2382,1149,962,271,29.43105551747958,49.29631679312615,5.004562681424335,2.6691855583543243,5.94916795489679,27.465575146935347,36.003481288076586,20.532637075718014,0.07849491092088892,0.5586164824673551
500,2926,1470,1219,237,28.815264461737865,50.56485480073314,5.0089327659053895,2.674641148325359,5.97880650994575,28.249145591250855,37.20612244897959,20.570748299319728,0.07782250993268995,0.5627437205716185
600,3523,1753,1511,259,29.113495747332188,50.623614379508226,5.004905164944194,2.673857507805847,5.989001793185894,28.44053363610559,37.233314318311464,20.67370222475756,0.07819855714723117,0.5663139645329274
700,4106,2080,1778,248,29.300414515928633,51.16329663366199,5.009593999801008,2.6734047735021917,6.000202901491326,28.80857282026303,37.79086538461539,20.689423076923077,0.07804145395909691,0.5676229735514836
800,4659,2382,2034,243,29.66419998720205,51.505572029066506,5.005489841224947,2.6731058166988624,5.995414057677044,29.183086499248766,38.13937867338371,20.75230898404702,0.07787125194825345,0.5686069826321546
900,5260,2689,2314,257,30.000970897321395,51.5349383200491,5.0095476683590565,2.676615969581749,6.001711396343835,29.33536121673004,38.15098549646709,20.73447378207512,0.07812793087133749,0.5712438917644477
1000,5825,2998,2589,238,30.44328030372693,51.796506071990656,5.005006182116655,2.6767381974248927,6.011215667210667,29.719656652360516,38.42528352234823,20.75683789192795,0.0781919168736593,0.5740473252376251
