time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,4,0,0,4,0,0,0,2.75,0,0.0,0,0,0.0,0.0
100,84,56,0,28,0,33.83491865236173,4.959961773703602,2.7142857142857144,5.924302788844622,17.702380952380953,20.410714285714285,20.125,0.07083699059561127,0.01522382445141064
200,176,146,0,30,0,35.680797331848055,4.9841114742492705,2.6420454545454546,6.042589437819421,20.15340909090909,22.623287671232877,21.828767123287673,0.07273121346869157,0.016565707413932925
300,267,232,0,35,0,36.09409614368974,4.973236221390451,2.644194756554307,5.875664187035069,20.707865168539325,22.93103448275862,22.137931034482758,0.07227348766931052,0.01604470586824477
400,343,321,0,22,0,35.86779563445333,4.956145266212876,2.6588921282798834,5.9228321400159105,21.705539358600582,22.74454828660436,21.947040498442366,0.07041896211657415,0.015830964202316875
500,429,398,0,31,0,35.867410655694876,4.95745327736089,2.6433566433566433,5.875237492083597,21.624708624708624,22.77386934673367,21.984924623115578,0.06981071490769673,0.015767952513642117
600,517,485,0,32,0,36.093826049058265,4.9564896419920546,2.6518375241779495,5.844262295081967,22.065764023210832,23.008247422680412,22.2,0.07028593508500733,0.015978965694895916
700,610,569,0,41,0,36.36825394971287,4.969486051176374,2.6573770491803277,5.869375273044998,22.024590163934427,23.2091388400703,22.439367311072058,0.07054849989404101,0.016151393135741078
800,705,660,0,45,0,36.510711584975375,4.976053364519555,2.6609929078014183,5.864482501861504,22.343262411347517,23.246969696969696,22.568181818181817,0.07179557760564148,0.016474476886275038
900,784,754,0,30,0,36.613267825997774,4.977809898438721,2.6619897959183674,5.8740936058009225,22.732142857142858,23.381962864721487,22.724137931034484,0.07057480882989976,0.01635250324628475
1000,858,831,0,27,0,36.62079597203291,4.987519858233813,2.6585081585081585,5.864345738295318,22.773892773892776,23.363417569193743,22.766546329723226,0.0693638806645233,0.01605805149888066
