time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,50,0,0,50,0,0,0,2.74,0,0.0,0,0,0.0,0.0
100,1090,368,27,695,33.80657726383154,46.983572403236046,4.974808937734092,2.6706422018348626,4.335718216840947,28.910091743119267,33.733695652173914,31.41576086956522,0.2932914419317786,0.16053775388502733
200,2222,1213,150,859,50.34049532924343,60.663746142346106,4.987680709184468,2.667866786678668,4.455112683926243,43.05940594059406,47.42456718878813,38.07996702390767,0.31948947801669586,0.21624056625546742
300,3332,2152,329,851,60.692916738951844,67.42340107617048,4.998441699487942,2.6725690276110443,4.517023786660814,49.41206482593037,54.171933085501855,40.43076208178439,0.32458094737133847,0.23504214351603975
400,4406,3054,524,828,62.839625014593764,69.67869277919236,4.994950442862817,2.673172945982751,4.5362425178605905,53.32092600998638,56.36214800261951,41.03765553372626,0.3224438493777303,0.24470554601565186
500,5508,3963,687,858,64.49901403548216,71.58487177711608,4.998067697487609,2.673747276688453,4.55198657637682,55.162672476397965,58.260408781226346,41.38304314912945,0.326275313397775,0.2511191657832105
600,6595,4907,870,818,65.41245871316397,73.06543005270072,5.00307216266525,2.672327520849128,4.564300411522634,56.50735405610311,59.72182596291013,41.64723863867944,0.3268397929605206,0.25299917577145
700,7715,5848,1038,829,64.6313970181402,73.4704069537556,5.002896864626944,2.6742709008425147,4.565891955238896,57.0650680492547,60.114740082079344,41.71015731874145,0.32914822093457785,0.25526666782271357
800,8825,6725,1253,847,65.50253450328887,73.62089448182374,5.00516644084769,2.6707082152974504,4.574007478575135,57.93881019830028,60.270631970260226,41.57680297397769,0.3309434405093048,0.2595598310726642
900,9930,7666,1405,859,66.23323832798528,74.19265459496505,5.006513363329687,2.6710976837865057,4.573610848908187,58.553272910372606,60.83850769632142,41.78228541612314,0.3322739147952682,0.2617309580244608
1000,11037,8598,1608,831,66.90457328906004,74.56418448399137,5.009471320274686,2.6702908399021474,4.57785588260005,59.24127933315212,61.208071644568506,41.86299139334729,0.3330183827442438,0.2643039466921948
