time,node,sf
100,pop32,b
100,pop32,a
100,pop32,e
100,pop32,c
100,pop32,d
100,pop41,a
100,pop41,b
100,pop41,d
100,pop41,c
100,pop41,e
100,pop45,a
100,pop45,c
100,pop45,b
100,pop45,d
100,pop46,a
100,pop46,b
100,pop46,d
100,pop46,e
100,pop46,c
100,pop55,b
100,pop55,a
100,pop55,c
100,pop55,d
100,pop58,a
100,pop58,c
100,pop58,e
100,pop58,b
100,pop58,d
100,pop60,b
100,pop60,d
100,pop60,e
100,pop61,b
100,pop61,a
100,pop61,c
100,pop61,d
100,pop61,e
100,pop65,a
100,pop65,b
100,pop65,c
100,pop65,d
100,pop65,e
100,pop77,c
100,pop77,b
100,pop77,e
100,pop77,a
100,pop77,d
100,pop79,b
100,pop79,a
100,pop79,d
100,pop79,c
100,pop87,a
100,pop87,e
100,pop87,b
100,pop87,c
100,pop89,b
100,pop89,a
100,pop89,c
100,pop99,a
100,pop99,b
100,pop99,c
100,pop99,d
100,pop99,e
100,pop101,b
100,pop101,e
100,pop101,d
100,pop101,a
100,pop101,c
100,pop106,b
100,pop106,c
100,pop106,d
100,pop106,e
100,pop113,a
100,pop113,c
100,pop113,e
100,pop113,b
100,pop113,d
100,pop117,d
100,pop117,e
100,pop117,b
100,pop125,a
100,pop125,b
100,pop125,d
100,pop132,a
100,pop132,b
100,pop132,c
100,pop132,d
100,pop132,e
100,pop136,b
100,pop136,c
100,pop136,d
100,pop136,e
100,pop136,a
100,pop144,b
100,pop144,a
100,pop144,c
100,pop144,d
100,pop14,b
100,pop14,a
100,pop14,d
100,pop14,e
100,pop14,c
100,pop142,c
100,pop142,a
100,pop142,d
100,pop142,e
100,pop142,b
100,pop26,b
100,pop26,d
100,pop26,e
100,pop26,a
100,pop148,a
100,pop148,b
100,pop148,c
100,pop148,d
100,pop148,e
100,pop96,b
100,pop96,a
100,pop96,c
100,pop96,d
100,pop130,a
100,pop130,b
100,pop130,c
100,pop130,d
100,pop130,e
100,pop70,e
100,pop70,c
100,pop70,d
100,pop98,c
100,pop98,a
100,pop98,b
100,pop20,e
100,pop20,b
100,pop20,c
100,pop20,a
100,pop116,c
100,pop116,b
100,pop116,d
100,pop116,e
100,pop116,a
100,pop27,a
100,pop27,c
100,pop27,d
100,pop27,b
100,pop27,e
100,pop102,c
100,pop102,b
100,pop102,a
100,pop29,a
100,pop29,d
100,pop29,e
100,pop29,c
100,pop140,b
100,pop140,d
100,pop140,c
100,pop140,a
100,pop10,c
100,pop10,a
100,pop54,c
100,pop67,c
100,pop67,a
100,pop18,c
100,pop18,d
100,pop18,b
100,pop25,a
100,pop5,e
100,pop56,b
100,pop56,c
100,pop28,c
100,pop28,b
100,pop28,a
100,pop92,b
100,pop92,a
100,pop92,c
100,pop133,e
100,pop133,a
100,pop141,a
100,pop141,b
100,pop33,c
100,pop97,b
100,pop52,d
100,pop52,e
100,pop52,b
100,pop52,a
100,pop52,c
100,pop43,d
100,pop48,d
200,pop32,b
200,pop32,a
200,pop32,c
200,pop41,a
200,pop41,b
200,pop41,c
200,pop41,e
200,pop41,d
200,pop45,b
200,pop45,c
200,pop45,d
200,pop45,e
200,pop46,a
200,pop46,b
200,pop46,c
200,pop46,d
200,pop55,b
200,pop55,a
200,pop55,c
200,pop55,d
200,pop55,e
200,pop58,e
200,pop58,b
200,pop58,a
200,pop58,c
200,pop58,d
200,pop60,d
200,pop60,a
200,pop60,b
200,pop60,c
200,pop61,a
200,pop61,b
200,pop61,c
200,pop61,d
200,pop61,e
200,pop65,a
200,pop65,d
200,pop65,e
200,pop65,b
200,pop65,c
200,pop77,c
200,pop77,b
200,pop77,e
200,pop77,a
200,pop77,d
200,pop79,c
200,pop79,d
200,pop79,a
200,pop79,e
200,pop79,b
200,pop87,b
200,pop87,c
200,pop87,d
200,pop87,e
200,pop87,a
200,pop89,a
200,pop89,b
200,pop89,c
200,pop99,a
200,pop99,d
200,pop99,e
200,pop99,c
200,pop99,b
200,pop101,b
200,pop101,a
200,pop101,c
200,pop106,a
200,pop106,d
200,pop106,b
200,pop113,a
200,pop113,b
200,pop113,c
200,pop113,d
200,pop117,d
200,pop117,e
200,pop125,a
200,pop125,b
200,pop125,c
200,pop125,d
200,pop132,a
200,pop132,b
200,pop132,c
200,pop132,d
200,pop132,e
200,pop136,c
200,pop136,d
200,pop136,b
200,pop136,e
200,pop136,a
200,pop144,d
200,pop144,e
200,pop144,b
200,pop144,a
200,pop14,b
200,pop14,a
200,pop14,c
200,pop14,e
200,pop14,d
200,pop142,a
