time,node,decisions
1000,pop0,148
1000,pop1,496
1000,pop2,417
1000,pop3,566
1000,pop4,163
1000,pop5,72
1000,pop6,1134
1000,pop7,1659
1000,pop8,528
1000,pop9,68
1000,pop10,521
1000,pop11,111
1000,pop12,1099
1000,pop13,282
1000,pop14,954
1000,pop15,735
1000,pop16,356
1000,pop17,749
1000,pop18,1043
1000,pop19,811
1000,pop20,1290
1000,pop21,410
1000,pop22,1211
1000,pop23,932
1000,pop24,214
1000,pop25,289
1000,pop26,698
1000,pop27,490
1000,pop28,231
1000,pop29,273
1000,pop30,658
1000,pop31,90
1000,pop32,672
1000,pop33,63
1000,pop34,31
1000,pop35,384
1000,pop36,56
1000,pop37,326
1000,pop38,246
1000,pop39,543
1000,pop40,336
1000,pop41,1050
1000,pop42,2479
1000,pop43,876
1000,pop44,2466
1000,pop45,864
1000,pop46,928
1000,pop47,590
1000,pop48,1365
1000,pop49,958
1000,pop50,4521
1000,pop51,4925
1000,pop52,3414
1000,pop53,3895
1000,pop54,1363
1000,pop55,298
1000,pop56,3364
1000,pop57,33
