time,node,sf
100,pop0,a
100,pop0,b
100,pop0,c
100,pop0,d
100,pop4,c
100,pop4,a
100,pop4,b
100,pop6,a
100,pop6,c
100,pop6,b
100,pop6,d
100,pop6,e
100,pop13,b
100,pop13,c
100,pop13,a
100,pop13,d
100,pop13,e
100,pop20,b
100,pop20,a
100,pop20,c
100,pop22,d
100,pop22,e
100,pop22,a
100,pop22,c
100,pop22,b
100,pop29,a
100,pop29,b
100,pop29,c
100,pop29,d
100,pop29,e
100,pop33,b
100,pop33,c
100,pop33,a
100,pop33,d
100,pop50,a
100,pop50,b
100,pop50,d
100,pop50,c
100,pop50,e
100,pop46,b
100,pop46,d
100,pop46,c
100,pop46,a
100,pop27,a
100,pop27,c
100,pop27,e
100,pop27,d
100,pop27,b
100,pop55,d
100,pop55,e
100,pop55,c
100,pop1,a
100,pop1,b
100,pop1,c
100,pop1,d
100,pop1,e
100,pop42,c
100,pop42,d
100,pop42,a
100,pop48,d
100,pop48,e
100,pop48,c
100,pop43,b
100,pop43,c
100,pop43,a
100,pop32,c
100,pop32,b
100,pop32,a
100,pop32,d
100,pop32,e
100,pop18,c
100,pop18,b
100,pop18,d
100,pop18,e
100,pop18,a
100,pop3,b
100,pop3,c
100,pop15,c
100,pop31,d
100,pop31,e
100,pop31,c
100,pop49,b
100,pop49,a
100,pop36,e
200,pop0,b
200,pop0,a
200,pop0,c
200,pop0,d
200,pop0,e
200,pop4,e
200,pop4,a
200,pop4,d
200,pop4,b
200,pop6,a
200,pop6,b
200,pop6,e
200,pop6,c
200,pop13,a
200,pop13,b
200,pop13,c
200,pop13,d
200,pop20,b
200,pop20,a
200,pop20,c
200,pop20,d
200,pop20,e
200,pop22,a
200,pop22,b
200,pop22,c
200,pop22,d
200,pop29,b
200,pop29,c
200,pop29,a
200,pop29,d
200,pop29,e
200,pop33,a
200,pop33,b
200,pop33,c
200,pop50,b
200,pop50,d
200,pop50,c
200,pop50,e
200,pop50,a
200,pop46,a
200,pop46,b
200,pop46,e
200,pop46,d
200,pop46,c
200,pop27,b
200,pop27,a
200,pop27,c
