time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,19,0,0,19,0,0,0,2.8421052631578947,0,0.0,0,0,0.0,0.0
100,413,274,0,139,0,34.7314132994224,5.055131957538237,2.6610169491525424,4.189285714285714,17.041162227602907,21.31021897810219,16.73722627737226,0.32449341174719043,0.07197645872961696
200,845,690,0,155,0,34.70533075373223,5.012583752830938,2.6568047337278107,4.201356285863328,19.062721893491123,21.405797101449274,16.54057971014493,0.3308764711057571,0.07527672964340779
300,1250,1093,0,157,0,34.81167152002959,5.011528537248619,2.648,4.178523489932886,19.9232,21.501372369624885,16.626715462031108,0.3304473897962267,0.07599274474182109
400,1661,1505,0,156,0,34.86789946202935,5.012431280821713,2.653822998193859,4.195464629036234,20.494882600842868,21.561461794019934,16.64451827242525,0.33193480991691815,0.07734479678587833
500,2081,1938,0,143,0,34.876968716745424,5.0015501425905455,2.6554541086016337,4.213771639758802,20.81979817395483,21.607843137254903,16.640866873065015,0.33273028744639793,0.07778987838101578
600,2505,2347,0,158,0,34.93656809605772,5.011326187876379,2.658682634730539,4.217208814270724,20.857085828343312,21.654452492543673,16.662121857690668,0.33346418591971494,0.07811687899660885
700,2929,2767,0,162,0,35.00067145663551,5.005991656491424,2.6626835097302832,4.219515542441502,20.99385455786958,21.68413444163354,16.697867726779904,0.33592186173754957,0.07854065796896223
800,3367,3221,0,146,0,34.97800078411424,5.0045096935456606,2.6611226611226613,4.2154256897063185,21.1021681021681,21.663148090655078,16.730208009934803,0.337855172337221,0.07926278383549923
900,3787,3629,0,158,0,35.01860116089853,5.011382415217514,2.6598890942698707,4.208477237048665,21.236862952204913,21.69413061449435,16.707632956737392,0.3409327455799621,0.08028299571528402
1000,4214,4065,0,149,0,35.12274154116448,5.009171201210329,2.661129568106312,4.214091887339759,21.374466065495966,21.798277982779826,16.707257072570727,0.3440476175545047,0.0810347758465935
