time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,37,0,0,37,0,0,0,2.7027027027027026,0,0.0,0,0,0.0,0.0
100,879,207,168,504,21.05709505992932,50.531063566563354,4.998269255630352,2.6791808873720138,5.7723995880535535,25.506257110352674,37.67632850241546,30.381642512077295,0.206194245159299,0.09388540686478879
200,1712,802,368,542,22.91812032443431,65.71529104041842,5.024730764950786,2.6875,5.846871321198949,37.714369158878505,52.38403990024938,40.596009975062344,0.21708844370542876,0.12168709994178724
300,2557,1455,580,522,24.75355647146497,70.15081289519951,5.018918751058889,2.670316777473602,5.782589935817917,41.92999608916699,56.822680412371135,43.312027491408934,0.21787572243474537,0.12889123425916835
400,3373,2055,800,518,24.017393012864957,71.63300416818572,5.021986824068178,2.6688407945449155,5.790978374405199,44.37918766676549,58.30170316301703,44.404866180048664,0.21811741337372478,0.13335913823111253
500,4234,2658,1018,558,24.35086843379823,72.5305618610155,5.014806396527382,2.668398677373642,5.790701875884496,45.421587151629666,59.22385252069225,44.980812641083524,0.22139082520802617,0.13632308030184148
600,5081,3311,1250,520,24.22935275493734,73.18766348640185,5.013273315383811,2.673883093879158,5.784033757758642,46.40090533359575,59.85200845665962,45.45514950166113,0.22369222432210073,0.1385539930015363
700,5889,3928,1486,475,24.66726082653794,73.5397607118518,5.012431619360586,2.675326880624894,5.774934834740903,47.02615044999151,60.16675152749491,45.59139511201629,0.2232391325505334,0.1390875797325749
800,6715,4502,1688,525,24.99844340166772,73.56975049760734,5.0070127228177626,2.6720774385703647,5.7789269790220015,47.09545793000745,60.220124389160375,45.64326965792981,0.22264452646783234,0.13845646022012142
900,7527,5096,1912,519,25.18473158310722,73.56872951910664,5.003449763290522,2.671582303706656,5.7711364149543565,47.53846153846154,60.24803767660911,45.67562794348509,0.2232040231828041,0.13908682388150592
1000,8368,5703,2106,559,25.246061496878593,73.84140414136773,5.001316688962488,2.6692160611854683,5.774976630473862,47.98793021032505,60.541820094687004,45.828160617219005,0.22344911830138522,0.14027377721817344
