time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,47,0,0,47,0,0,0,2.74468085106383,0,0.0,0,0,0.0,0.0
100,1061,258,53,750,45.809377492758635,51.222717035079455,4.988012772814236,2.6814326107445807,6.04380664652568,30.167766258246935,38.32170542635659,31.686046511627907,0.3519627394696782,0.14089746362473443
200,2111,1045,193,873,54.604232479004985,71.33320598033603,5.001012190735733,2.678351492183799,6.154001098699871,47.759829464708666,58.004784688995215,43.3732057416268,0.3900062457531868,0.20683906805436564
300,3134,1855,390,889,61.79608657581332,77.21330057122475,4.999778614931559,2.673580089342693,6.139713743748922,56.803126994256544,63.87601078167116,45.41509433962264,0.4051085037383318,0.23973384156090036
400,4160,2628,579,953,63.08799393271653,80.63911829596131,5.001784664552332,2.6742788461538463,6.111190595416935,61.60697115384615,67.34627092846272,46.916666666666664,0.40668613692916056,0.2578365787536461
500,5242,3419,781,1042,65.80240899360413,82.91182033642221,5.000975420243846,2.6741701640595195,6.097983741002041,64.96528042731782,69.57882421760749,47.745247148288975,0.4117572051230633,0.27312272053103376
600,6291,4312,971,1008,67.18044869041913,84.35356663744642,5.0021625673872965,2.668574153552694,6.077180446864013,68.13861071371801,71.0143784786642,48.34995361781076,0.4108856497406951,0.2835301179389386
700,7300,5186,1144,970,68.92206807684695,85.1088018351797,5.006595653314985,2.6697260273972603,6.070166510846282,70.26342465753424,71.79733898958735,48.56652526031623,0.41051727458138304,0.28858720972871016
800,8407,6041,1324,1042,71.3297074739314,85.44695802089466,5.0038867498046296,2.669085286071131,6.061327568615963,71.37254668728441,72.12646912762787,48.69740109253435,0.4121653251529217,0.29462956488465963
900,9452,6903,1532,1017,72.11189442074807,85.54655562332717,5.000003599694773,2.6677951756242066,6.0415706613633775,72.95842149809565,72.23395625090541,48.81326959293061,0.4132986088406558,0.3018318252551409
1000,10511,7740,1761,1010,75.7136005858322,85.94532969713144,4.9968880127449555,2.6680620302540197,6.021770412663046,74.05213585767291,72.65,49.025839793281655,0.41461703458523286,0.3068292612006086
