time,node,sf
100,pop1,b
100,pop1,a
100,pop1,c
100,pop1,d
100,pop2,d
100,pop2,e
100,pop2,b
100,pop2,a
100,pop3,d
100,pop3,a
100,pop3,b
100,pop3,c
100,pop11,d
100,pop11,e
100,pop11,b
100,pop11,a
100,pop13,d
100,pop13,e
100,pop13,a
100,pop13,b
100,pop13,c
100,pop15,a
100,pop15,b
100,pop15,d
100,pop15,c
100,pop15,e
100,pop18,b
100,pop18,a
100,pop18,d
100,pop18,e
100,pop18,c
100,pop20,a
100,pop20,b
100,pop20,d
100,pop20,c
100,pop20,e
100,pop30,a
100,pop30,d
100,pop30,e
100,pop30,b
100,pop51,d
100,pop51,e
100,pop51,a
100,pop51,b
100,pop51,c
100,pop53,b
100,pop53,a
100,pop53,d
100,pop53,e
100,pop53,c
100,pop55,b
100,pop55,d
100,pop55,e
100,pop55,a
100,pop55,c
100,pop67,b
100,pop67,a
100,pop67,c
100,pop67,e
100,pop78,a
100,pop78,b
100,pop78,c
100,pop78,d
100,pop78,e
100,pop81,d
100,pop81,e
100,pop81,a
100,pop81,c
100,pop81,b
100,pop84,b
100,pop84,a
100,pop84,d
100,pop84,e
100,pop84,c
100,pop87,d
100,pop87,e
100,pop87,b
100,pop87,a
100,pop87,c
100,pop91,a
100,pop91,b
100,pop91,c
100,pop91,d
100,pop93,a
100,pop93,b
100,pop93,d
100,pop93,c
100,pop93,e
100,pop95,b
100,pop95,a
100,pop95,c
100,pop96,d
100,pop96,e
100,pop96,b
100,pop96,a
100,pop96,c
100,pop128,a
100,pop128,b
100,pop128,d
100,pop128,c
100,pop128,e
100,pop140,b
100,pop140,a
100,pop140,d
100,pop102,a
100,pop102,b
100,pop102,c
100,pop102,d
100,pop102,e
100,pop123,a
100,pop123,b
100,pop123,c
100,pop123,d
100,pop135,d
100,pop135,a
100,pop135,e
100,pop135,b
100,pop135,c
100,pop124,d
100,pop124,c
100,pop124,e
100,pop124,b
100,pop124,a
100,pop34,a
100,pop34,d
100,pop34,b
100,pop34,e
100,pop34,c
100,pop108,a
100,pop108,b
100,pop28,b
100,pop28,a
100,pop28,c
100,pop28,e
100,pop61,a
100,pop61,b
100,pop61,c
100,pop61,e
100,pop71,a
100,pop71,b
100,pop71,c
100,pop71,d
100,pop71,e
100,pop23,a
100,pop23,b
100,pop23,c
100,pop23,d
100,pop23,e
100,pop144,d
100,pop144,b
100,pop144,c
100,pop144,a
100,pop77,d
100,pop77,b
100,pop77,a
100,pop77,c
100,pop47,a
100,pop47,d
100,pop47,b
100,pop118,b
100,pop118,a
100,pop118,d
100,pop118,e
100,pop118,c
100,pop17,a
100,pop17,d
100,pop17,c
100,pop17,e
100,pop116,a
100,pop116,b
100,pop116,d
100,pop116,c
100,pop116,e
100,pop69,a
100,pop69,d
100,pop69,b
100,pop69,c
100,pop58,b
100,pop58,a
100,pop58,d
100,pop58,c
100,pop72,b
100,pop72,e
100,pop72,a
100,pop72,c
100,pop94,d
100,pop94,b
100,pop94,a
100,pop94,e
100,pop94,c
100,pop33,b
100,pop33,c
100,pop33,e
100,pop33,a
100,pop62,b
100,pop62,a
100,pop62,c
100,pop62,d
100,pop56,a
100,pop56,b
100,pop56,c
100,pop56,d
100,pop56,e
100,pop99,b
100,pop99,d
100,pop99,a
100,pop99,e
100,pop99,c
100,pop66,a
100,pop66,b
100,pop66,c
100,pop66,d
100,pop66,e
100,pop65,b
100,pop65,c
100,pop65,d
100,pop148,e
100,pop148,b
100,pop148,c
100,pop35,d
100,pop35,b
100,pop133,b
100,pop133,c
100,pop133,a
100,pop133,e
100,pop133,d
100,pop146,a
100,pop146,b
100,pop146,c
100,pop146,e
100,pop60,d
100,pop60,e
100,pop38,e
100,pop38,b
100,pop38,a
100,pop38,c
100,pop38,d
100,pop48,b
100,pop48,e
100,pop48,d
100,pop48,a
100,pop141,e
100,pop141,a
100,pop141,c
100,pop31,d
100,pop31,c
100,pop31,a
100,pop29,d
100,pop29,b
100,pop29,c
100,pop86,b
100,pop86,a
100,pop139,a
100,pop139,b
100,pop134,e
100,pop7,a
100,pop8,b
200,pop1,b
200,pop1,a
200,pop1,c
200,pop1,d
200,pop2,d
200,pop2,e
200,pop2,b
200,pop2,a
200,pop2,c
200,pop3,d
200,pop3,a
200,pop3,b
200,pop3,c
