flow,node,dec_count,dec_time_avg,dec_time_std
1,global,1,2.486525297164917,0.0
2,global,1,2.6350109577178955,0.0
3,global,1,2.7575151920318604,0.0
4,global,1,2.778790235519409,0.0
5,global,1,2.730412006378174,0.0
6,global,1,2.744553327560425,0.0
7,global,1,2.7582204341888428,0.0
8,global,1,2.848140239715576,0.0
9,global,1,2.9044907093048096,0.0
10,global,1,2.88275408744812,0.0
11,global,1,2.9282329082489014,0.0
12,global,1,2.8346335887908936,0.0
13,global,1,2.8325345516204834,0.0
14,global,1,2.88995623588562,0.0
15,global,1,2.8929548263549805,0.0
16,global,1,2.890120029449463,0.0
17,global,1,2.8906519412994385,0.0
18,global,1,2.8940818309783936,0.0
19,global,1,2.9040818214416504,0.0
20,global,1,2.902890205383301,0.0
21,global,1,2.8847649097442627,0.0
22,global,1,2.86360239982605,0.0
23,global,1,2.908034324645996,0.0
24,global,1,2.9588170051574707,0.0
25,global,1,2.8645684719085693,0.0
26,global,1,2.9340243339538574,0.0
27,global,1,2.951101303100586,0.0
28,global,1,2.9286060333251953,0.0
29,global,1,2.9753501415252686,0.0
30,global,1,2.9508140087127686,0.0
31,global,1,2.9587650299072266,0.0
32,global,1,2.94158935546875,0.0
33,global,1,2.942117929458618,0.0
34,global,1,2.9785635471343994,0.0
35,global,1,2.9248406887054443,0.0
36,global,1,2.9559314250946045,0.0
37,global,1,2.9580042362213135,0.0
38,global,1,2.9227395057678223,0.0
39,global,1,2.910421848297119,0.0
40,global,1,2.9204001426696777,0.0
41,global,1,2.918269634246826,0.0
42,global,1,2.941667318344116,0.0
43,global,1,2.9573638439178467,0.0
44,global,1,2.9044082164764404,0.0
45,global,1,2.9250409603118896,0.0
46,global,1,2.918046712875366,0.0
47,global,1,2.9369935989379883,0.0
48,global,1,2.937706708908081,0.0
49,global,1,2.933314323425293,0.0
50,global,1,2.918684482574463,0.0
51,global,1,2.9255940914154053,0.0
52,global,1,2.9122262001037598,0.0
53,global,1,2.8592867851257324,0.0
54,global,1,3.0421502590179443,0.0
55,global,1,2.931183338165283,0.0
56,global,1,2.870800495147705,0.0
57,global,1,2.9258244037628174,0.0
58,global,1,2.9068610668182373,0.0
59,global,1,2.870556354522705,0.0
60,global,1,2.908456802368164,0.0
61,global,1,2.890272378921509,0.0
62,global,1,2.9293737411499023,0.0
63,global,1,2.9325945377349854,0.0
64,global,1,2.9083118438720703,0.0
65,global,1,2.9368722438812256,0.0
66,global,1,2.9515879154205322,0.0
67,global,1,2.9131271839141846,0.0
68,global,1,3.0204217433929443,0.0
69,global,1,2.867947816848755,0.0
70,global,1,2.845513343811035,0.0
71,global,1,2.930612087249756,0.0
72,global,1,2.862985610961914,0.0
73,global,1,2.899825096130371,0.0
74,global,1,2.9622766971588135,0.0
75,global,1,2.857595682144165,0.0
76,global,1,2.9356887340545654,0.0
77,global,1,2.9012184143066406,0.0
78,global,1,2.9288535118103027,0.0
79,global,1,2.9338855743408203,0.0
80,global,1,2.9482109546661377,0.0
81,global,1,2.926072597503662,0.0
82,global,1,2.950549840927124,0.0
83,global,1,3.1214051246643066,0.0
84,global,1,2.9654738903045654,0.0
85,global,1,2.9659810066223145,0.0
86,global,1,2.9853904247283936,0.0
87,global,1,2.9144039154052734,0.0
88,global,1,2.903203248977661,0.0
89,global,1,2.9641201496124268,0.0
90,global,1,2.9477295875549316,0.0
91,global,1,2.933310031890869,0.0
92,global,1,2.9203085899353027,0.0
93,global,1,2.9361424446105957,0.0
94,global,1,2.9700963497161865,0.0
95,global,1,2.9016106128692627,0.0
96,global,1,2.893782615661621,0.0
97,global,1,2.8896665573120117,0.0
98,global,1,2.8756330013275146,0.0
99,global,1,2.929943323135376,0.0
100,global,1,2.977419376373291,0.0
101,global,1,2.9583511352539062,0.0
102,global,1,2.84359073638916,0.0
103,global,1,2.9754855632781982,0.0
104,global,1,2.8955748081207275,0.0
105,global,1,2.9054174423217773,0.0
106,global,1,2.872138738632202,0.0
107,global,1,2.926452875137329,0.0
108,global,1,2.9041361808776855,0.0
109,global,1,2.906486988067627,0.0
110,global,1,2.8981876373291016,0.0
111,global,1,2.87060809135437,0.0
112,global,1,2.8823256492614746,0.0
113,global,1,2.929332971572876,0.0
114,global,1,2.896589756011963,0.0
115,global,1,3.0866029262542725,0.0
116,global,1,2.8860034942626953,0.0
117,global,1,2.9483418464660645,0.0
118,global,1,2.980217695236206,0.0
119,global,1,2.9793381690979004,0.0
120,global,1,2.9343976974487305,0.0
121,global,1,2.9304211139678955,0.0
122,global,1,3.032748222351074,0.0
123,global,1,2.9301881790161133,0.0
124,global,1,2.9352407455444336,0.0
125,global,1,2.953516960144043,0.0
126,global,1,2.9892847537994385,0.0
127,global,1,2.9959981441497803,0.0
128,global,1,3.018711805343628,0.0
129,global,1,2.9820468425750732,0.0
130,global,1,2.937175750732422,0.0
131,global,1,3.012636661529541,0.0
132,global,1,2.944546699523926,0.0
133,global,1,2.922689437866211,0.0
134,global,1,3.145358085632324,0.0
135,global,1,2.9617953300476074,0.0
136,global,1,2.957862138748169,0.0
137,global,1,3.025897741317749,0.0
138,global,1,2.974569082260132,0.0
139,global,1,2.8800535202026367,0.0
140,global,1,2.879850149154663,0.0
141,global,1,2.9570963382720947,0.0
142,global,1,2.9382481575012207,0.0
143,global,1,2.957318067550659,0.0
144,global,1,2.96199893951416,0.0
145,global,1,2.9049222469329834,0.0
146,global,1,2.960392713546753,0.0
147,global,1,2.862032651901245,0.0
148,global,1,2.908385753631592,0.0
149,global,1,2.8916661739349365,0.0
150,global,1,2.9494194984436035,0.0
151,global,1,2.9354074001312256,0.0
152,global,1,2.949532985687256,0.0
153,global,1,2.980097532272339,0.0
154,global,1,2.9112260341644287,0.0
155,global,1,3.150876045227051,0.0
156,global,1,2.9554197788238525,0.0
157,global,1,2.9388039112091064,0.0
158,global,1,2.9499309062957764,0.0
159,global,1,2.8722469806671143,0.0
160,global,1,2.9352328777313232,0.0
161,global,1,2.86498761177063,0.0
162,global,1,2.966883420944214,0.0
163,global,1,2.9702646732330322,0.0
164,global,1,2.890331983566284,0.0
165,global,1,2.938335418701172,0.0
166,global,1,2.8873608112335205,0.0
167,global,1,2.9322731494903564,0.0
168,global,1,2.942897081375122,0.0
169,global,1,2.9500038623809814,0.0
170,global,1,2.897587776184082,0.0
171,global,1,3.028047800064087,0.0
172,global,1,2.9380223751068115,0.0
173,global,1,2.8602607250213623,0.0
174,global,1,2.919908285140991,0.0
175,global,1,2.9018163681030273,0.0
176,global,1,2.8455235958099365,0.0
177,global,1,2.9084408283233643,0.0
178,global,1,2.9134621620178223,0.0
179,global,1,2.8957314491271973,0.0
180,global,1,2.9170339107513428,0.0
181,global,1,2.9097747802734375,0.0
182,global,1,2.840959310531616,0.0
183,global,1,2.8492307662963867,0.0
184,global,1,2.8448989391326904,0.0
185,global,1,2.825310707092285,0.0
186,global,1,2.951054334640503,0.0
187,global,1,2.9420876502990723,0.0
188,global,1,3.0078508853912354,0.0
189,global,1,2.9414620399475098,0.0
190,global,1,2.8887341022491455,0.0
191,global,1,2.9408304691314697,0.0
192,global,1,2.912036180496216,0.0
193,global,1,2.969355583190918,0.0
194,global,1,2.9413576126098633,0.0
195,global,1,2.9316258430480957,0.0
196,global,1,2.9475948810577393,0.0
197,global,1,2.871131420135498,0.0
198,global,1,2.9209320545196533,0.0
199,global,1,2.828416347503662,0.0
200,global,1,3.0206921100616455,0.0
201,global,1,2.864999532699585,0.0
202,global,1,2.928356409072876,0.0
203,global,1,2.8808326721191406,0.0
204,global,1,2.9600882530212402,0.0
205,global,1,2.936612367630005,0.0
206,global,1,2.961158275604248,0.0
207,global,1,2.919348955154419,0.0
208,global,1,2.934619426727295,0.0
209,global,1,2.9684464931488037,0.0
210,global,1,2.9346742630004883,0.0
211,global,1,2.8769617080688477,0.0
212,global,1,2.9851276874542236,0.0
213,global,1,2.9433510303497314,0.0
214,global,1,2.847338914871216,0.0
215,global,1,2.9300990104675293,0.0
216,global,1,2.920149564743042,0.0
217,global,1,2.931344509124756,0.0
218,global,1,2.9993784427642822,0.0
219,global,1,2.9333176612854004,0.0
220,global,1,2.9072744846343994,0.0
221,global,1,2.9112608432769775,0.0
222,global,1,3.1521718502044678,0.0
223,global,1,2.891632556915283,0.0
224,global,1,3.0082390308380127,0.0
225,global,1,2.896376609802246,0.0
226,global,1,3.0141549110412598,0.0
227,global,1,2.985328435897827,0.0
228,global,1,2.9384987354278564,0.0
229,global,1,2.9057705402374268,0.0
230,global,1,2.8613369464874268,0.0
231,global,1,2.941842794418335,0.0
232,global,1,2.9065604209899902,0.0
233,global,1,2.9399518966674805,0.0
234,global,1,2.995664596557617,0.0
235,global,1,3.057255268096924,0.0
236,global,1,2.9165642261505127,0.0
237,global,1,3.046766519546509,0.0
238,global,1,2.890151023864746,0.0
239,global,1,2.876753807067871,0.0
240,global,1,2.932769775390625,0.0
241,global,1,2.9028754234313965,0.0
242,global,1,2.976905345916748,0.0
243,global,1,2.9867727756500244,0.0
244,global,1,2.9769997596740723,0.0
245,global,1,2.8928606510162354,0.0
246,global,1,2.964334011077881,0.0
247,global,1,3.0721728801727295,0.0
